verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
169390,<BR[,MT,2_Samuel,15,22,<BR,W J>MR DWD >L >TJ LK W <BR W J<BR >TJ H GTJ W KL >NCJW W KL H VP >CR >TW,,qal,impv,W <BR,,no complement,no complement,,,,,,,,,,,,,,,,,,
169392,<BR[,MT,2_Samuel,15,22,J<BR,W J>MR DWD >L >TJ LK W <BR W J<BR >TJ H GTJ W KL >NCJW W KL H VP >CR >TW,,qal,wayq,W J<BR >TJ H GTJ W KL >NCJW W KL H VP,>TJ H GTJ W KL >NCJW W KL H VP,no complement,no complement,,,,,,,,,,,,,,,,,,
2007549,<BR[,4Q51,2_Samuel,15,22,<BR,W J>MR DWD >L >TJ LK W <BR W J<BR >TJ H GTJ W KL >NCJW W KL H VP >CR >TW,1 1111 111 11 111 11 1 111 1 1111 111 1 111 1 11 11111 1 11 1 11 111 111,qal,impv,None,None,,,,,,,,,,,,,,,,,,,,[W J>MR DWD >L >TJ LK W <BR W J<BR >TJ H GTJ W KL >NCJW W KL H VP >CR >TW]
2007551,<BR[,4Q51,2_Samuel,15,22,J<BR,W J>MR DWD >L >TJ LK W <BR W J<BR >TJ H GTJ W KL >NCJW W KL H VP >CR >TW,1 1111 111 11 111 11 1 111 1 1111 111 1 111 1 11 11111 1 11 1 11 111 111,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[W J>MR DWD >L >TJ LK W <BR W J<BR >TJ H GTJ W KL >NCJW W KL H VP >CR >TW]
169416,<BR[,MT,2_Samuel,15,23,<BRJM,W KL H >RY BWKJM QWL GDWL W KL H <M <BRJM W H MLK <BR B NXL QDRWN W KL H <M <BRJM <L PNJ DRK >T H MDBR,,qal,ptca,W KL H <M <BRJM,KL H <M,no complement,no complement,,,,,,,,,,,,,,,,,,
169420,<BR[,MT,2_Samuel,15,23,<BR,W KL H >RY BWKJM QWL GDWL W KL H <M <BRJM W H MLK <BR B NXL QDRWN W KL H <M <BRJM <L PNJ DRK >T H MDBR,,qal,ptca,W H MLK <BR B NXL QDRWN,H MLK,B NXL QDRWN,B NXL/ QDRWN/,,0,prep,topo,inanim,det,subs,complex,,,B,,,,,,,
169428,<BR[,MT,2_Samuel,15,23,<BRJM,W KL H >RY BWKJM QWL GDWL W KL H <M <BRJM W H MLK <BR B NXL QDRWN W KL H <M <BRJM <L PNJ DRK >T H MDBR,,qal,ptca,W KL H <M <BRJM <L PNJ DRK >T H MDBR,KL H <M,<L PNJ DRK >T H MDBR,<L PNH/ DRK/ >T H MDBR/,,0,prep + prep,,,det,subs,complex,,,<L,>T,,,,,,
169457,<LH[,MT,2_Samuel,15,24,J<L,W HNH GM YDWQ W KL H LWJM >TW NF>JM >T >RWN BRJT H >LHJM W JYQW >T >RWN H >LHJM W J<L >BJTR <D TM KL H <M L <BWR MN H <JR,,qal,wayq,W J<L >BJTR,>BJTR,no complement,no complement,,,,,,,,,,,,,,,,,,
169475,CWB[,MT,2_Samuel,15,25,HCB,W J>MR H MLK L YDWQ HCB >T >RWN H >LHJM H <JR >M >MY> XN B <JNJ JHWH W HCBNJ W HR>NJ >TW W >T NWHW,,hif,impv,HCB >T >RWN H >LHJM H <JR,,H <JR,H <JR/,,0,vc,,,det,subs,simple,,,,,,,,,,
169489,CWB[,MT,2_Samuel,15,25,HCBNJ,W J>MR H MLK L YDWQ HCB >T >RWN H >LHJM H <JR >M >MY> XN B <JNJ JHWH W HCBNJ W HR>NJ >TW W >T NWHW,,hif,perf,W HCBNJ,,no complement,no complement,,,,,,,,,,,,,,,,,,
169522,CWB[,MT,2_Samuel,15,27,CBH,W J>MR H MLK >L YDWQ H KHN H RW>H >TH CBH H <JR B CLWM W >XJM<Y BNK W JHWNTN BN >BJTR CNJ BNJKM >TKM,,qal,impv,CBH H <JR B CLWM,,H <JR,H <JR/,,0,vc,,,det,subs,simple,,,,,,,,,,
2007590,CWB[,4Q51,2_Samuel,15,27,CWBH,W J>MR H MLK >L YDWQ H KWHN R>H >TH CWBH H <JRH B CLWM W >XJM<Y BNK W JHWNTN BN >BJTR CNJ BNJKM >TKM,1 1111 1 110 00 0000 0 0011 111 111 1111 1 1111 1 1111 1 111111 111 1 100000 00 01100 111 11111 1111,qal,impv,None,None,,,,,,,,,,,,,,,,,,,,[W J>MR H ML]K >L YDWQ H KW[HN R>H >TH CWBH H <JRH B CLWM W >XJM<Y BNK W J]HWNTN BN >[BJ]TR [CNJ BNJKM >TKM]
169545,BW>[,MT,2_Samuel,15,28,BW>,R>W >NKJ MTMHMH B <BRWT H MDBR <D BW> DBR M <MKM L HGJD LJ,,qal,infc,<D BW> DBR M <MKM,DBR,M <MKM,MN <M,,0,prep + prep,,,det,,simple,,,MN,<M,,,,,,
2007614,BW>[,4Q51,2_Samuel,15,28,BW>,R>W >NKJ MTMHMH B <RBWT H MDBR <D BW> M <MKM DBR L HGJD LJ,111 1111 111111 1 11111 1 1111 01 000 0 1111 111 1 1111 11,qal,infc,None,None,,,,,,,,,,,,,,,,,,,,[R>W >NKJ MTMHMH B <RBWT H MDBR] <[D] BW> M [<MKM DBR L HGJD LJ]
169553,CWB[,MT,2_Samuel,15,29,JCB,W JCB YDWQ W >BJTR >T >RWN H >LHJM JRWCLM W JCBW CM,,hif,wayq,W JCB YDWQ W >BJTR >T >RWN H >LHJM JRWCLM,YDWQ W >BJTR,JRWCLM,JRWCLM/,,0,vc,topo,inanim,det,nmpr,simple,,,,,,,,,,
2007623,CWB[,4Q51,2_Samuel,15,29,JCB,W JCB YDWQ W >BJTR >T >RWN H >LWHJM JRWCLJMH W JCBW CM,1 111 1111 1 11111 11 1111 1 111111 11100000 1 1111 11,hif,wayq,W JCB YDWQ W >BJTR >T >RWN H >LWHJM JRWCLJMH,YDWQ W >BJTR,JRWCLJMH,,,1,,,,,,,,,,,,,,,,[W JCB YDWQ W >BJTR >T >RWN H >LWHJM JRW]CLJMH [W JCBW CM]
169567,<LH[,MT,2_Samuel,15,30,<LH,W DWD <LH B M<LH H ZJTJM <LH W BWKH W R>C LW XPWJ W HW> HLK JXP W KL H <M >CR >TW XPW >JC R>CW W <LW <LH W BKH,,qal,ptca,W DWD <LH B M<LH H ZJTJM <LH W BWKH,DWD,B M<LH H ZJTJM,B M<LH/ H ZJT/,,0,prep,,,det,subs,complex,,,B,,,,,,,
169572,<LH[,MT,2_Samuel,15,30,<LH,W DWD <LH B M<LH H ZJTJM <LH W BWKH W R>C LW XPWJ W HW> HLK JXP W KL H <M >CR >TW XPW >JC R>CW W <LW <LH W BKH,,qal,ptca,W DWD <LH B M<LH H ZJTJM <LH W BWKH,DWD,B M<LH H ZJTJM,B M<LH/ H ZJT/,,0,prep,,,det,subs,complex,,,B,,,,,,,
169581,HLK[,MT,2_Samuel,15,30,HLK,W DWD <LH B M<LH H ZJTJM <LH W BWKH W R>C LW XPWJ W HW> HLK JXP W KL H <M >CR >TW XPW >JC R>CW W <LW <LH W BKH,,qal,ptca,W HW> HLK JXP,HW>,no complement,no complement,,,,,,,,,,,,,,,,,,
