verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
2056223,<LH[,4Q106,Song_of_songs,4,2,<LW,K <DR H QYWBWT CNJK <LW MN H RXYH C KLM MT>JMWT W CKLH >JNH BHM,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
358308,NWS[,MT,Song_of_songs,4,6,NSW,<D C JPWX H JWM W NSW H YLLJM >LK LJ >L HR H MWR W >L GB<T H LBWNH,W NSW H YLLJM,H YLLJM,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
358311,HLK[,MT,Song_of_songs,4,6,>LK,<D C JPWX H JWM W NSW H YLLJM >LK LJ >L HR H MWR W >L GB<T H LBWNH,>LK LJ >L HR H MWR W >L GB<T H LBWNH,,>L HR H MWR W >L GB<T H LBWNH,>L HR/ H MR==/ W >L GB<H/ H LBNH=/,,0,prep + prep,,,det,subs,complex,,,qal,impf,,,>L,>L,,,,,
2056287,NWS[,4Q106,Song_of_songs,4,6,NSW,<D C JPWX H JWM W NSW H YLLJM >LK LJ >L HR H MWR >L GB<T H LBWNH,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
2056290,HLK[,4Q106,Song_of_songs,4,6,>LK,<D C JPWX H JWM W NSW H YLLJM >LK LJ >L HR H MWR >L GB<T H LBWNH,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
358336,BW>[,MT,Song_of_songs,4,8,TBW>J,>TJ M LBNWN KLH >TJ M LBNWN TBW>J TCWRJ M R>C >MNH M R>C FNJR W XRMWN M M<NWT >RJWT M HRRJ NMRJM,>TJ M LBNWN TBW>J,,>TJ,>T==,,0,prep,prsf,,det,prsf,simple,,,qal,impf,,,>T==,,,,,,
2056736,BW>[,4Q107,Song_of_songs,4,8,>B>J,>T MN LBNWN KLH >T MN LBNWN >B>J TCWRJ MN R>CJ >WMNWN M M<NWT >RJWT MN HRRJ NMRJM,None,None,,,,,,,,,,,0,,qal,impv,,,,,,,,,
2056737,CWR=[,4Q107,Song_of_songs,4,8,TCWRJ,>T MN LBNWN KLH >T MN LBNWN >B>J TCWRJ MN R>CJ >WMNWN M M<NWT >RJWT MN HRRJ NMRJM,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
358382,NVP[,MT,Song_of_songs,4,11,TVPNH,NPT TVPNH FPTWTJK KLH DBC W XLB TXT LCWNK W RJX FLMTJK K RJX LBNWN,NPT TVPNH FPTWTJK,FPTWTJK,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
2056780,NVP[,4Q107,Song_of_songs,4,11,TVPNH,NPT TVPNH FPTWTJK >XWTJ KLH DBC W XLB,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
358442,BW>[,MT,Song_of_songs,4,16,BW>J,<WRJ YPWN W BW>J TJMN HPJXJ GNJ JZLW BFMJW JB> DWDJ L GNW W J>KL PRJ MGDJW,W BW>J,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
358448,BW>[,MT,Song_of_songs,4,16,JB>,<WRJ YPWN W BW>J TJMN HPJXJ GNJ JZLW BFMJW JB> DWDJ L GNW W J>KL PRJ MGDJW,JB> DWDJ L GNW,DWDJ,L GNW,L GN/,,0,prep,,,det,subs,complex,,,qal,impf,,,L,,,,,,
2056818,BW>[,4Q107,Song_of_songs,4,16,BW>J,<WRJ YPWN W BW>J TJMN HPJXJ GNJ JZLW BFMJW JB> DWDJ L GNW W J>KL MN GDJW,None,None,,,,,,,,,,,0,,qal,impv,,,,,,,,,
2056824,BW>[,4Q107,Song_of_songs,4,16,JB>,<WRJ YPWN W BW>J TJMN HPJXJ GNJ JZLW BFMJW JB> DWDJ L GNW W J>KL MN GDJW,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
358456,BW>[,MT,Song_of_songs,5,1,B>TJ,B>TJ L GNJ >XTJ KLH >RJTJ MWRJ <M BFMJ >KLTJ J<RJ <M DBCJ CTJTJ JJNJ <M XLBJ >KLW R<JM CTW W CKRW DWDJM,B>TJ L GNJ,,L GNJ,L GN/,,0,prep,,,det,subs,complex,,,qal,perf,,,L,,,,,,
2056833,BW>[,4Q107,Song_of_songs,5,1,B>TJ,B>TJ L GNJ >XWTJ KLH >RJTJ MRJ <M BFMJ CTJTJ JJNJ <M XLBJ >KLTJ J<RJ <M DBCJ >KLW R<JM CTW W CKRW DWDJM,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
358528,NVP[,MT,Song_of_songs,5,5,NVPW,QMTJ >NJ L PTX L DWDJ W JDJ NVPW MWR W >YB<TJ MWR <BR <L KPWT H MN<WL,W JDJ NVPW MWR,JDJ,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
358545,<BR[,MT,Song_of_songs,5,6,<BR,PTXTJ >NJ L DWDJ W DWDJ XMQ <BR NPCJ JY>H B DBRW BQCTJHW W L> MY>TJHW QR>TJW W L> <NNJ,<BR,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
358547,JY>[,MT,Song_of_songs,5,6,JY>H,PTXTJ >NJ L DWDJ W DWDJ XMQ <BR NPCJ JY>H B DBRW BQCTJHW W L> MY>TJHW QR>TJW W L> <NNJ,NPCJ JY>H,NPCJ,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
358688,HLK[,MT,Song_of_songs,6,1,HLK,>NH HLK DWDK H JPH B NCJM >NH PNH DWDK W NBQCNW <MK,>NH HLK DWDK,DWDK,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
358696,PNH[,MT,Song_of_songs,6,1,PNH,>NH HLK DWDK H JPH B NCJM >NH PNH DWDK W NBQCNW <MK,>NH PNH DWDK,DWDK,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
358702,JRD[,MT,Song_of_songs,6,2,JRD,DWDJ JRD L GNW L <RWGWT H BFM L R<WT B GNJM W L LQV CWCNJM,DWDJ JRD L GNW L <RWGWT H BFM,DWDJ,L GNW L <RWGWT H BFM,L GN/ L <RWGH/ H BFM/,,0,prep + prep,,,det,subs,complex,,,qal,perf,,,L,L,,,,,
358836,JRD[,MT,Song_of_songs,6,11,JRDTJ,>L GNT >GWZ JRDTJ L R>WT B >BJ H NXL L R>WT H PRXH H GPN HNYW H RMNJM,>L GNT >GWZ JRDTJ,,>L GNT >GWZ,>L GNH/ >GWZ/,,0,prep,,,und,subs,complex,,,qal,perf,,,>L,,,,,,
2056312,JRD[,4Q106,Song_of_songs,6,11,JRDTJ,>L GNT >GWZ JRDTJ L R>WT B >BJ H NXL L R>WT >M PRXH H GPN HNYW H RMNJM,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
358859,CWB[,MT,Song_of_songs,7,1,CWBJ,CWBJ CWBJ H CWLMJT CWBJ CWBJ W NXZH BK MH TXZW B CWLMJT K MXLT H MXNJM,CWBJ,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
