verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
379038,BW>[,MT,Ezra,2,68,BW>M,W M R>CJ H >BWT B BW>M L BJT JHWH >CR B JRWCLM HTNDBW L BJT H >LHJM L H<MJDW <L MKWNW,B BW>M L BJT JHWH,,L BJT JHWH,L BJT/ JHWH/,,0,prep,pers,anim,det,subs,complex,,,qal,infc,,,L,,,,,,
379146,<LH[,MT,Ezra,3,2,H<LWT,W JQM JCW< BN JWYDQ W >XJW H KHNJM W ZRBBL BN C>LTJ>L W >XJW W JBNW >T MZBX >LHJ JFR>L L H<LWT <LJW <LWT K KTWB B TWRT MCH >JC H >LHJM,L H<LWT <LJW <LWT,,<LJW,<L,,0,prep,prsf,,det,prsf,simple,,,hif,infc,,,<L,,,,,,
379173,<LH[,MT,Ezra,3,3,J<L,W JKJNW H MZBX <L MKWNTJW KJ B >JMH <LJHM M <MJ H >RYWT W J<L <LJW <LWT L JHWH <LWT L BQR W L <RB,W J<L <LJW <LWT L JHWH,,<LJW,<L,,0,prep,prsf,,det,prsf,simple,,,hif,wayq,,,<L,,,,,,
379241,<LH[,MT,Ezra,3,6,H<LWT,M JWM >XD L XDC H CBJ<J HXLW L H<LWT <LWT L JHWH W HJKL JHWH L> JSD,L H<LWT <LWT L JHWH,,no complement,no complement,,,,,,,,,,,hif,infc,,,,,,,,,
379274,BW>[,MT,Ezra,3,7,HBJ>,W JTNW KSP L XYBJM W L XRCJM W M>KL W MCTH W CMN L YDNJM W L YRJM L HBJ> <YJ >RZJM MN H LBNWN >L JM JPW> K RCJWN KWRC MLK PRS <LJHM,L HBJ> <YJ >RZJM MN H LBNWN >L JM JPW> K RCJWN KWRC MLK PRS <LJHM,,>L JM JPW>,>L JM/ JPW/,,0,prep,topo,inanim,det,subs,complex,,,hif,infc,,,>L,,,,,,
379296,BW>[,MT,Ezra,3,8,BW>M,W B CNH H CNJT L BW>M >L BJT H >LHJM L JRWCLM B XDC H CNJ HXLW ZRBBL BN C>LTJ>L W JCW< BN JWYDQ W C>R >XJHM H KHNJM W H LWJM W KL H B>JM M H CBJ JRWCLM W J<MJDW >T H LWJM M BN <FRJM CNH W M<LH L NYX <L ML>KT BJT JHWH,L BW>M >L BJT H >LHJM L JRWCLM,,>L BJT H >LHJM L JRWCLM,>L BJT/ H >LHJM/ L JRWCLM/,,0,prep + prep,topo,inanim,det,subs,complex,,,qal,infc,,,>L,L,,,,,
379529,NGC[,MT,Ezra,4,2,JGCW,W JGCW >L ZRBBL W >L R>CJ H >BWT W J>MRW LHM NBNH <MKM KJ KKM NDRWC L >LHJKM W L> >NXNW ZBXJM M JMJ >SR_XDN MLK >CWR H M<LH >TNW PH,W JGCW >L ZRBBL W >L R>CJ H >BWT,,>L ZRBBL W >L R>CJ H >BWT,>L ZRBBL/ W >L R>C/ H >B/,,0,prep + prep,pers,anim,det,nmpr,complex,,,qal,wayq,,,>L,>L,,,,,
2062256,<LH[,4Q117,Ezra,4,2,M<LH,KKM NDRWC L >LHJKM W L> >NXNW ZBXJM M JMJ >SR XDN MLK >CWR H M<LH >TNW PH,None,None,,,,,,,,,,,0,,hif,ptca,,,,,,,,,
379707,GLH[,MT,Ezra,4,10,HGLJ,W C>R >MJ> DJ HGLJ >SNPR RB> W JQJR> W HWTB HMW B QRJH DJ CMRJN W C>R <BR NHRH W K<NT,DJ HGLJ >SNPR RB> W JQJR>,>SNPR RB> W JQJR>,no complement,no complement,,,,,,,,,,,haf,perf,,,,,,,,,
2062377,GLH[,4Q117,Ezra,4,10,HGLJ,W C>R >MJ > DJ HGLJ >SNPR RB > W JQJR > W HWTB HMW B QRJH DJ CMRJN W C>R <BR NHR > W K<NT,None,None,,,,,,,,,,,0,,haf,perf,,,,,,,,,
379747,SLQ[,MT,Ezra,4,12,SLQW,JDJ< LHW> L MLK> DJ JHWDJ> DJ SLQW MN LWTK <LJN> >TW L JRWCLM QRJT> MRDT> W B>JCT> BNJN W CWRJ >CKLLW W >CJ> JXJVW,DJ SLQW MN LWTK,,MN LWTK,MN LWT,,0,prep + prep,,,det,,simple,,,peal,perf,,,MN,LWT,,,,,
379751,>TH[,MT,Ezra,4,12,>TW,JDJ< LHW> L MLK> DJ JHWDJ> DJ SLQW MN LWTK <LJN> >TW L JRWCLM QRJT> MRDT> W B>JCT> BNJN W CWRJ >CKLLW W >CJ> JXJVW,DJ JHWDJ> <LJN> >TW L JRWCLM,JHWDJ>,<LJN>,<L,,0,prep,prsf,,det,prsf,simple,,,peal,perf,,,<L,,,,,,
380074,>TH[,MT,Ezra,5,3,>T>,BH ZMN> >T> <LJHWN TTNJ PXT <BR NHRH W CTR_BWZNJ W KNWTHWN W KN >MRJN LHM MN FM LKM V<M BJT> DNH L BN> W >CRN> DNH L CKLLH,BH ZMN> >T> <LJHWN TTNJ PXT <BR NHRH W CTR_BWZNJ W KNWTHWN,TTNJ PXT <BR NHRH W CTR_BWZNJ W KNWTHWN,<LJHWN,<L,,0,prep,prsf,,det,prsf,simple,,,peal,perf,,,<L,,,,,,
380128,HLK[,MT,Ezra,5,5,JHK,W <JN >LHHM HWT <L FBJ JHWDJ> W L> BVLW HMW <D V<M> L DRJWC JHK W >DJN JTJBWN NCTWN> <L DNH,<D V<M> L DRJWC JHK,V<M>,L DRJWC,L DRJWC/,,0,prep,pers,anim,det,nmpr,simple,,,peal,impf,,,L,,,,,,
380291,GLH[,MT,Ezra,5,12,HGLJ,LHN MN DJ HRGZW >BHTN> L >LH CMJ> JHB HMW B JD NBWKDNYR MLK BBL KSDJ> W BJTH DNH STRH W <MH HGLJ L BBL,W <MH HGLJ L BBL,,L BBL,L BBL/,,0,prep,topo,inanim,det,nmpr,simple,,,haf,perf,,,L,,,,,,
380360,NXT[,MT,Ezra,5,15,>XT,W >MR LH >LH M>NJ> F> >ZL >XT HMW B HJKL> DJ B JRWCLM W BJT >LH> JTBN> <L >TRH,>XT HMW B HJKL>,,B HJKL>,B HJKL/,,0,prep,,,det,subs,simple,,,afel,impv,,,B,,,,,,
380376,>TH[,MT,Ezra,5,16,>T>,>DJN CCBYR DK >T> JHB >CJ> DJ BJT >LH> DJ B JRWCLM W MN >DJN W <D K<N MTBN> W L> CLM,>DJN CCBYR DK >T>,CCBYR DK,no complement,no complement,,,,,,,,,,,peal,perf,,,,,,,,,
2062464,NXT[,4Q117,Ezra,6,1,MHXTJN,B >DJN DRJWC MLK > FM V<M W BQR B BJT SPRJ > DJ GNZJ > MHXTJN TMH B BBL,None,None,,,,,,,,,,,0,,haf,ptcp,,,,,,,,,
