verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
2092213,CWB[,Mur88,Amos,1,13,>CJBNW,KH >MR JHWH <L CLCH PC<J BNJ <MWN W <L >RB<H L> >CJBNW <L BQ<M HRWT H GL<D LM<N HRXJB >T GBWLM,<L CLCH PC<J BNJ <MWN W <L >RB<H L> >CJBNW,,<L CLCH PC<J BNJ <MWN W <L >RB<H,,,0,,,,,,,0,,hif,impf,,,<L,<L,,,,,
295624,CWB[,MT,Amos,1,13,>CJBNW,KH >MR JHWH <L CLCH PC<J BNJ <MWN W <L >RB<H L> >CJBNW <L BQ<M HRWT H GL<D LM<N HRXJB >T GBWLM,<L CLCH PC<J BNJ <MWN W <L >RB<H L> >CJBNW,,<L CLCH PC<J BNJ <MWN W <L >RB<H,<L CLC/ PC</ BN/ <MWN/ W <L >RB</,,0,prep + prep,gens,anim,det,subs,complex,,,hif,impf,,,<L,<L,,,,,
2044144,CWB[,4Q82,Amos,1,13,>CJBNW,KH >MR JHWH <L CLWCH PJC<J BNJ <MWN W <L >RB<H LW> >CJBNW <L BQ<M HRWT H GL<D LM<N HRXJB >T GBWLM,<L CLWCH PJC<J BNJ <MWN W <L >RB<H LW> >CJBNW,,<L CLWCH PJC<J BNJ <MWN W <L >RB<H,,,0,,,,,,,0,,hif,impf,,,<L,<L,,,,,
2092245,HLK[,Mur88,Amos,1,15,HLK,W HLK MLKM B GWLH HW> W FRJW JXDW >MR JHWH,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
295654,HLK[,MT,Amos,1,15,HLK,W HLK MLKM B GWLH HW> W FRJW JXDW >MR JHWH,W HLK MLKM B GWLH,MLKM,B GWLH,B H GWLH/,,0,prep,,,det,subs,simple,,,qal,perf,,,B,,,,,,
2044177,HLK[,4Q82,Amos,1,15,HLK,W HLK MLKM B GWLH HW> W FRJW JXDW >MR JHWH,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
2092267,CWB[,Mur88,Amos,2,1,>CJBNW,KH >MR JHWH <L CLCH PC<J MW>B W <L >RB<H L> >CJBNW <L FRPW <YMWT MLK >DWM L FJD,None,None,,,,,,,,,,,0,,hif,impf,,,,,,,,,
295676,CWB[,MT,Amos,2,1,>CJBNW,KH >MR JHWH <L CLCH PC<J MW>B W <L >RB<H L> >CJBNW <L FRPW <YMWT MLK >DWM L FJD,<L CLCH PC<J MW>B W <L >RB<H L> >CJBNW,,<L CLCH PC<J MW>B W <L >RB<H,<L CLC/ PC</ MW>B/ W <L >RB</,,0,prep + prep,"pers,gens,topo",,det,subs,complex,,,hif,impf,,,<L,<L,,,,,
295728,CWB[,MT,Amos,2,4,>CJBNW,KH >MR JHWH <L CLCH PC<J JHWDH W <L >RB<H L> >CJBNW <L M>SM >T TWRT JHWH W XQJW L> CMRW W JT<WM KZBJHM >CR HLKW >BWTM >XRJHM,<L CLCH PC<J JHWDH W <L >RB<H L> >CJBNW,,<L CLCH PC<J JHWDH W <L >RB<H,<L CLC/ PC</ JHWDH/ W <L >RB</,,0,prep + prep,"pers,gens,topo",,det,subs,complex,,,hif,impf,,,<L,<L,,,,,
295739,T<H[,MT,Amos,2,4,JT<WM,KH >MR JHWH <L CLCH PC<J JHWDH W <L >RB<H L> >CJBNW <L M>SM >T TWRT JHWH W XQJW L> CMRW W JT<WM KZBJHM >CR HLKW >BWTM >XRJHM,W JT<WM KZBJHM,KZBJHM,no complement,no complement,,,,,,,,,,,hif,wayq,,,,,,,,,
