verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
2072843,<LH[,5Q2,1_Kings,1,35,<LJTM,W <LJTM >XRJW W B> W JCB <L KS>J W HW> JMLK TXTJ W >TW YWJTJ L HJWT NGJD <L JFR>L W <L JHWDH,W <LJTM >XRJW,,>XRJW,,,0,,,,,,,0,,qal,perf,,,,,,,,,
176895,JRD[,MT,1_Kings,1,38,JRD,W JRD YDWQ H KHN W NTN H NBJ> W BNJHW BN JHWJD< W H KRTJ W H PLTJ W JRKBW >T CLMH <L PRDT H MLK DWD W JLKW >TW <L GXWN,W JRD YDWQ H KHN W NTN H NBJ> W BNJHW BN JHWJD< W H KRTJ W H PLTJ,YDWQ H KHN W NTN H NBJ> W BNJHW BN JHWJD< W H KRTJ W H PLTJ,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
176923,HLK[,MT,1_Kings,1,38,JLKW,W JRD YDWQ H KHN W NTN H NBJ> W BNJHW BN JHWJD< W H KRTJ W H PLTJ W JRKBW >T CLMH <L PRDT H MLK DWD W JLKW >TW <L GXWN,W JLKW >TW <L GXWN,,<L GXWN,<L GJXWN/,,0,prep,topo,inanim,det,nmpr,simple,,,hif,wayq,,,<L,,,,,,
176958,<LH[,MT,1_Kings,1,40,J<LW,W J<LW KL H <M >XRJW W H <M MXLLJM B XLLJM W FMXJM FMXH GDWLH W TBQ< H >RY B QWLM,W J<LW KL H <M >XRJW,KL H <M,>XRJW,>XR/,,0,vc,,,det,subs,complex,,,qal,wayq,,,,,,,,,
177016,BW>[,MT,1_Kings,1,42,B>,<WDNW MDBR W HNH JWNTN BN >BJTR H KHN B> W J>MR >DNJHW B> KJ >JC XJL >TH W VWB TBFR,W HNH JWNTN BN >BJTR H KHN B>,JWNTN BN >BJTR H KHN,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
177020,BW>[,MT,1_Kings,1,42,B>,<WDNW MDBR W HNH JWNTN BN >BJTR H KHN B> W J>MR >DNJHW B> KJ >JC XJL >TH W VWB TBFR,B>,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
177112,BW>[,MT,1_Kings,1,47,B>W,W GM B>W <BDJ H MLK L BRK >T >DNJNW H MLK DWD L >MR JJVB >LHJK >T CM CLMH M CMK W JGDL >T KS>W M KS>K W JCTXW H MLK <L H MCKB,W GM B>W <BDJ H MLK,<BDJ H MLK,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
177176,HLK[,MT,1_Kings,1,49,JLKW,W JXRDW W JQMW KL H QR>JM >CR L >DNJHW W JLKW >JC L DRKW,W JLKW,,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
177189,HLK[,MT,1_Kings,1,50,JLK,W >DNJHW JR> M PNJ CLMH W JQM W JLK W JXZQ B QRNWT H MZBX,W JLK,,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
177242,NPL[,MT,1_Kings,1,52,JPL,W J>MR CLMH >M JHJH L BN XJL L> JPL M F<RTW >RYH W >M R<H TMY> BW W MT,L> JPL M F<RTW >RYH,M F<RTW,>RYH,>RY/,,1,dir-he,,,,subs,simple,,,qal,impf,,,,,,,,,
177259,JRD[,MT,1_Kings,1,53,JRDHW,W JCLX H MLK CLMH W JRDHW M <L H MZBX W JB> W JCTXW L MLK CLMH W J>MR LW CLMH LK L BJTK,W JRDHW M <L H MZBX,,M <L H MZBX,MN <L H MZBX/,,0,prep + prep,,,det,subs,simple,,,hif,wayq,,,MN,<L,,,,,
177265,BW>[,MT,1_Kings,1,53,JB>,W JCLX H MLK CLMH W JRDHW M <L H MZBX W JB> W JCTXW L MLK CLMH W J>MR LW CLMH LK L BJTK,W JB>,,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
177276,HLK[,MT,1_Kings,1,53,LK,W JCLX H MLK CLMH W JRDHW M <L H MZBX W JB> W JCTXW L MLK CLMH W J>MR LW CLMH LK L BJTK,LK L BJTK,,L BJTK,L BJT/,,0,prep,,,det,subs,complex,,,qal,impv,,,L,,,,,,
184359,BW>[,MT,1_Kings,10,1,TB>,W MLKT CB> CM<T >T CM< CLMH L CM JHWH W TB> L NSTW B XJDWT,W TB>,,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
184365,BW>[,MT,1_Kings,10,2,TB>,W TB> JRWCLMH B XJL KBD M>D GMLJM NF>JM BFMJM W ZHB RB M>D W >BN JQRH W TB> >L CLMH W TDBR >LJW >T KL >CR HJH <M LBBH,W TB> JRWCLMH B XJL KBD M>D,,JRWCLMH,JRWCLM/,,1,dir-he,topo,inanim,,nmpr,simple,,,qal,wayq,,,,,,,,,
184382,BW>[,MT,1_Kings,10,2,TB>,W TB> JRWCLMH B XJL KBD M>D GMLJM NF>JM BFMJM W ZHB RB M>D W >BN JQRH W TB> >L CLMH W TDBR >LJW >T KL >CR HJH <M LBBH,W TB> >L CLMH,,>L CLMH,>L CLMH=/,,0,prep,pers,anim,det,nmpr,simple,,,qal,wayq,,,>L,,,,,,
184441,<LH[,MT,1_Kings,10,5,J<LH,W M>KL CLXNW W MWCB <BDJW W M<MD MCRTW W MLBCJHM W MCQJW W <LTW >CR J<LH BJT JHWH W L> HJH BH <WD RWX,>CR J<LH BJT JHWH,,BJT JHWH,BJT/ JHWH/,,0,vc,pers,anim,det,subs,complex,,,hif,impf,,,,,,,,,
184476,BW>[,MT,1_Kings,10,7,B>TJ,W L> H>MNTJ L DBRJM <D >CR B>TJ W TR>JNH <JNJ W HNH L> HGD LJ H XYJ HWSPT XKMH W VWB >L H CMW<H >CR CM<TJ,<D >CR B>TJ,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
184556,BW>[,MT,1_Kings,10,10,B>,W TTN L MLK M>H W <FRJM KKR ZHB W BFMJM HRBH M>D W >BN JQRH L> B> K BFM H HW> <WD L RB >CR NTNH MLKT CB> L MLK CLMH,L> B> K BFM H HW> <WD L RB,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
184617,BW>[,MT,1_Kings,10,12,B>,W J<F H MLK >T <YJ H >LMGJM MS<D L BJT JHWH W L BJT H MLK W KNRWT W NBLJM L CRJM L> B> KN <YJ >LMGJM W L> NR>H <D H JWM H ZH,L> B> KN <YJ >LMGJM,<YJ >LMGJM,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
184654,PNH[,MT,1_Kings,10,13,TPN,W H MLK CLMH NTN L MLKT CB> >T KL XPYH >CR C>LH M L BD >CR NTN LH K JD H MLK CLMH W TPN W TLK L >RYH HJ> W <BDJH,W TPN,,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
184656,HLK[,MT,1_Kings,10,13,TLK,W H MLK CLMH NTN L MLKT CB> >T KL XPYH >CR C>LH M L BD >CR NTN LH K JD H MLK CLMH W TPN W TLK L >RYH HJ> W <BDJH,W TLK L >RYH HJ> W <BDJH,HJ> W <BDJH,L >RYH,L >RY/,,0,prep,,,det,subs,complex,,,qal,wayq,,,L,,,,,,
184668,BW>[,MT,1_Kings,10,14,B>,W JHJ MCQL H ZHB >CR B> L CLMH B CNH >XT CC M>WT CCJM W CC KKR ZHB,>CR B> L CLMH B CNH >XT,,L CLMH,L CLMH=/,,0,prep,pers,anim,det,nmpr,simple,,,qal,perf,,,L,,,,,,
184712,<LH[,MT,1_Kings,10,16,J<LH,W J<F H MLK CLMH M>TJM YNH ZHB CXWV CC M>WT ZHB J<LH <L H YNH H >XT,CC M>WT ZHB J<LH <L H YNH H >XT,CC M>WT ZHB,<L H YNH H >XT,<L H YNH/ H >XD/,,0,prep,,,det,subs,complex,,,hif,impf,,,<L,,,,,,
184727,<LH[,MT,1_Kings,10,17,J<LH,W CLC M>WT MGNJM ZHB CXWV CLCT MNJM ZHB J<LH <L H MGN H >XT W JTNM H MLK BJT J<R H LBNWN,CLCT MNJM ZHB J<LH <L H MGN H >XT,CLCT MNJM ZHB,<L H MGN H >XT,<L H MGN/ H >XD/,,0,prep,,,det,subs,complex,,,hif,impf,,,<L,,,,,,
184846,BW>[,MT,1_Kings,10,22,TBW>,KJ >NJ TRCJC L MLK B JM <M >NJ XJRM >XT L CLC CNJM TBW> >NJ TRCJC NF>T ZHB W KSP CNHBJM W QPJM W TKJJM,>XT L CLC CNJM TBW> >NJ TRCJC,>NJ TRCJC,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
184989,<LH[,MT,1_Kings,10,29,T<LH,W T<LH W TY> MRKBH M MYRJM B CC M>WT KSP W SWS B XMCJM W M>H W KN L KL MLKJ H XTJM W L MLKJ >RM B JDM JY>W,W T<LH,,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
185018,JY>[,MT,1_Kings,10,29,JY>W,W T<LH W TY> MRKBH M MYRJM B CC M>WT KSP W SWS B XMCJM W M>H W KN L KL MLKJ H XTJM W L MLKJ >RM B JDM JY>W,W KN L KL MLKJ H XTJM W L MLKJ >RM B JDM JY>W,,L KL MLKJ H XTJM W L MLKJ >RM,L KL/ MLK/ H XTJ/ W L MLK/ >RM/,,0,prep + prep,topo,inanim,det,subs,complex,,,hif,impf,,,L,L,,,,,
185046,BW>[,MT,1_Kings,11,2,TB>W,MN H GWJM >CR >MR JHWH >L BNJ JFR>L L> TB>W BHM W HM L> JB>W BKM >KN JVW >T LBBKM >XRJ >LHJHM BHM DBQ CLMH L >HBH,L> TB>W BHM,,BHM,B,,0,prep,prsf,,det,prsf,simple,,,qal,impf,,,B,,,,,,
185051,BW>[,MT,1_Kings,11,2,JB>W,MN H GWJM >CR >MR JHWH >L BNJ JFR>L L> TB>W BHM W HM L> JB>W BKM >KN JVW >T LBBKM >XRJ >LHJHM BHM DBQ CLMH L >HBH,W HM L> JB>W BKM,HM,BKM,B,,0,prep,prsf,,det,prsf,simple,,,qal,impf,,,B,,,,,,
185106,HLK[,MT,1_Kings,11,5,JLK,W JLK CLMH >XRJ <CTRT >LHJ YDNJM W >XRJ MLKM CQY <MNJM,W JLK CLMH >XRJ <CTRT >LHJ YDNJM W >XRJ MLKM CQY <MNJM,CLMH,>XRJ <CTRT >LHJ YDNJM W >XRJ MLKM CQY <MNJM,>XR/ <CTRT==/ >LHJM/ YJDNJ/ W >XR/ MLKM/ CQWY/ <MWNJ/,,0,vc,pers pers,anim anim,det,subs,complex,,,qal,wayq,,,,,,,,,
185194,HLK[,MT,1_Kings,11,10,LKT,W YWH >LJW <L H DBR H ZH L BLTJ LKT >XRJ >LHJM >XRJM W L> CMR >T >CR YWH JHWH,L BLTJ LKT >XRJ >LHJM >XRJM,,>XRJ >LHJM >XRJM,>XR/ >LHJM/ >XR=/,,0,vc,,,und,subs,complex,,,qal,infc,,,,,,,,,
185292,<LH[,MT,1_Kings,11,15,<LWT,W JHJ B HJWT DWD >T >DWM B <LWT JW>B FR H YB> L QBR >T H XLLJM W JK KL ZKR B >DWM,B <LWT JW>B FR H YB>,JW>B FR H YB>,no complement,no complement,,,,,,,,,,,qal,infc,,,,,,,,,
185324,BRX[,MT,1_Kings,11,17,JBRX,W JBRX >DD HW> W >NCJM >DMJJM M <BDJ >BJW >TW L BW> MYRJM W HDD N<R QVN,W JBRX >DD,>DD,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
185335,BW>[,MT,1_Kings,11,17,BW>,W JBRX >DD HW> W >NCJM >DMJJM M <BDJ >BJW >TW L BW> MYRJM W HDD N<R QVN,L BW> MYRJM,,MYRJM,MYRJM/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,infc,,,,,,,,,
185346,BW>[,MT,1_Kings,11,18,JB>W,W JQMW M MDJN W JB>W P>RN W JQXW >NCJM <MM M P>RN W JB>W MYRJM >L PR<H MLK MYRJM W JTN LW BJT W LXM >MR LW W >RY NTN LW,W JB>W P>RN,,P>RN,P>RN/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,wayq,,,,,,,,,
185355,BW>[,MT,1_Kings,11,18,JB>W,W JQMW M MDJN W JB>W P>RN W JQXW >NCJM <MM M P>RN W JB>W MYRJM >L PR<H MLK MYRJM W JTN LW BJT W LXM >MR LW W >RY NTN LW,W JB>W MYRJM >L PR<H MLK MYRJM,,MYRJM >L PR<H MLK MYRJM,MYRJM/ >L PR<H/ MLK/ MYRJM/,,0,prep,topo topo,inanim inanim,det,nmpr,complex,,,qal,wayq,,,>L,,,,,,
185440,HLK[,MT,1_Kings,11,21,>LK,W HDD CM< B MYRJM KJ CKB DWD <M >BTJW W KJ MT JW>B FR H YB> W J>MR HDD >L PR<H CLXNJ W >LK >L >RYJ,W >LK >L >RYJ,,>L >RYJ,>L >RY/,,0,prep,,,det,subs,complex,,,qal,impf,,,>L,,,,,,
185456,HLK[,MT,1_Kings,11,22,LKT,W J>MR LW PR<H KJ MH >TH XSR <MJ W HNK MBQC L LKT >L >RYK W J>MR L> KJ CLX TCLXNJ,L LKT >L >RYK,,>L >RYK,>L >RY/,,0,prep,,,det,subs,complex,,,qal,infc,,,>L,,,,,,
185475,BRX[,MT,1_Kings,11,23,BRX,W JQM >LHJM LW FVN >T RZWN BN >LJD< >CR BRX M >T HDD<ZR MLK YWBH >DNJW,>CR BRX M >T HDD<ZR MLK YWBH >DNJW,,M >T HDD<ZR MLK YWBH >DNJW,MN >T== HDD<ZR/ MLK/ YWB>/ >DWN/,,0,prep + prep,pers topo,anim inanim,det,nmpr,complex,,,qal,perf,,,MN,>T==,,,,,
185495,HLK[,MT,1_Kings,11,24,JLKW,W JQBY <LJW >NCJM W JHJ FR GDWD B HRG DWD >TM W JLKW DMFQ W JCBW BH W JMLKW B DMFQ,W JLKW DMFQ,,DMFQ,DMFQ/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,wayq,,,,,,,,,
185717,HLK[,MT,1_Kings,11,33,HLKW,J<N >CR <ZBWNJ W JCTXWW L <CTRT >LHJ YDNJN L KMWC >LHJ MW>B W L MLKM >LHJ BNJ <MWN W L> HLKW B DRKJ L <FWT H JCR B <JNJ W XQTJ W MCPVJ K DWD >BJW,W L> HLKW B DRKJ,,B DRKJ,B DRK/,,0,prep,,,det,subs,complex,,,qal,perf,,,B,,,,,,
185825,HLK[,MT,1_Kings,11,38,HLKT,W HJH >M TCM< >T KL >CR >YWK W HLKT B DRKJ W <FJT H JCR B <JNJ L CMWR XQWTJ W MYWTJ K >CR <FH DWD <BDJ W HJJTJ <MK W BNJTJ LK BJT N>MN K >CR BNJTJ L DWD W NTTJ LK >T JFR>L,W HLKT B DRKJ,,B DRKJ,B DRK/,,0,prep,,,det,subs,complex,,,qal,perf,,,B,,,,,,
185885,BRX[,MT,1_Kings,11,40,JBRX,W JBQC CLMH L HMJT >T JRB<M W JQM JRB<M W JBRX MYRJM >L CJCQ MLK MYRJM W JHJ B MYRJM <D MWT CLMH,W JBRX MYRJM >L CJCQ MLK MYRJM,,MYRJM >L CJCQ MLK MYRJM,MYRJM/ >L CJCQ/ MLK/ MYRJM/,,0,prep,topo pers topo,inanim anim inanim,det,nmpr,complex,,,qal,wayq,,,>L,,,,,,
185946,HLK[,MT,1_Kings,12,1,JLK,W JLK RXB<M CKM KJ CKM B> KL JFR>L L HMLJK >TW,W JLK RXB<M CKM,RXB<M,CKM,CKM=/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,wayq,,,,,,,,,
185951,BW>[,MT,1_Kings,12,1,B>,W JLK RXB<M CKM KJ CKM B> KL JFR>L L HMLJK >TW,KJ CKM B> KL JFR>L,KL JFR>L,CKM,CKM=/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,perf,,,,,,,,,
