verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
90250,BW>[,MT,Numbers,32,19,B>H,KJ L> NNXL >TM M <BR L JRDN W HL>H KJ B>H NXLTNW >LJNW M <BR H JRDN MZRXH,,qal,perf,KJ B>H NXLTNW >LJNW M <BR H JRDN MZRXH,NXLTNW,>LJNW,>L,,0,prep,,,det,,simple,,,>L,,,,,,,
1976745,BW>[,4Q27,Numbers,32,19,B>H,KJ> LW> NNXL >TM M <BR L JRDN W HL>H KJ> B>H NXLTNW >LJNW M <BR,111 111 1111 110 0 111 1 1111 1 1111 111 111 111111 11111 1 111,qal,perf,None,None,,,,,,,,,,,,,,,,,,,,[KJ> LW> NNXL >T]M M [<BR L JRDN W HL>H KJ> B>H NXLTNW >LJNW M <BR]
90278,<BR[,MT,Numbers,32,21,<BR,W <BR LKM KL XLWY >T H JRDN L PNJ JHWH <D HWRJCW >T >JBJW M PNJW,,qal,perf,W <BR LKM KL XLWY >T H JRDN L PNJ JHWH,KL XLWY,no complement,no complement,,,,,,,,,,,,,,,,,,
90303,CWB[,MT,Numbers,32,22,TCBW,W NKBCH H >RY L PNJ JHWH W >XR TCBW W HJJTM NQJJM M JHWH W M JFR>L W HJTH H >RY H Z>T LKM L >XZH L PNJ JHWH,,qal,impf,W >XR TCBW,,no complement,no complement,,,,,,,,,,,,,,,,,,
1976827,JY>[,4Q27,Numbers,32,24,JWY>,BNW LKMH <RJM L VPKMH W GDRWT L YW>NKMH W H JWY> M PJKMH T<FW,111 1111 1100 0 00001 1 11111 1 1111110 0 0 0011 1 00000 0000,qal,ptca,None,None,,,,,,,,,,,,,,,,,,,,[BNW LKMH <R]JM L VPKM[H W GDRWT L YW>NKM]H W H JW[Y> M] PJKMH T<FW
1965833,JY>[,4Q23,Numbers,32,24,JY>,BNW LKM <RJM L VPKM W GDRT L Y>NKM W H JY> M PJKM T<FW,111 111 1111 1 1100 0 0000 0 00000 1 1 111 1 1111 1111,qal,ptca,None,None,,,,,,,,,,,,,,,,,,,,[BNW LKM <RJM L VP]KM W GDRT L Y>NKM [W H JY> M PJKM T<FW]
90385,<BR[,MT,Numbers,32,27,J<BRW,W <BDJK J<BRW KL XLWY YB> L PNJ JHWH L MLXMH K >CR >DNJ DBR,,qal,impf,W <BDJK J<BRW KL XLWY YB> L PNJ JHWH L MLXMH,<BDJK KL XLWY YB>,L PNJ JHWH,L PNH/ JHWH/,,0,prep,pers,anim,det,subs,complex,,,L,,,,,,,
90385,<BR[,MT,Numbers,32,27,J<BRW,W <BDJK J<BRW KL XLWY YB> L PNJ JHWH L MLXMH K >CR >DNJ DBR,,qal,impf,W <BDJK J<BRW KL XLWY YB> L PNJ JHWH L MLXMH,<BDJK KL XLWY YB>,L MLXMH,L H MLXMH/,,0,prep,,,det,subs,simple,,,L,,,,,,,
1976872,<BR[,4Q27,Numbers,32,27,J<BWRW,W <BDJKH J<BWRW KWL XLWY YB> L PNJ JHWH L MLXMH K >CR >DWNJ DWBR,0 000000 000000 011 1111 111 1 111 1111 0 00000 0 000 11111 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,W <BDJKH J<BWRW K[WL XLWY YB> L PNJ JHWH] L MLXMH K >CR [>DWNJ DWBR]
1965871,<BR[,4Q23,Numbers,32,27,J<BRW,W <BDJK J<BRW KL XLWY YB> L PNJ JHWH L MLXMH K >CR >DNJ DBR,1 11111 00000 00 0000 000 0 000 1111 1 11111 1 111 1111 111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,[W <BDJK] J<BRW KL XLWY YB> L PNJ [JHWH L MLXMH K >CR >DNJ DBR]
90426,<BR[,MT,Numbers,32,29,J<BRW,W J>MR MCH >LHM >M J<BRW BNJ GD W BNJ R>WBN >TKM >T H JRDN KL XLWY L MLXMH L PNJ JHWH W NKBCH H >RY L PNJKM W NTTM LHM >T >RY H GL<D L >XZH,,qal,impf,>M J<BRW BNJ GD W BNJ R>WBN >TKM >T H JRDN KL XLWY L MLXMH L PNJ JHWH,BNJ GD W BNJ R>WBN KL XLWY L MLXMH,no complement,no complement,,,,,,,,,,,,,,,,,,
1976916,<BR[,4Q27,Numbers,32,29,J<BWRW,W JW>MR MWCH >LJHM >M J<BWRW BNJ R>WBN W BNJ GD W XYJ CBV H MNCH >TKMH >T H JRDN KWL XLWY L MLXMH L PNJ JHWH W NKBCH H >RY L PNJKMH W NTTM LHMH >T >RY H GL<D L >XWZH,1 10000 1111 11111 11 111111 111 11111 1 111 11 1 111 111 1 1111 11111 11 1 1111 111 1000 0 11111 1 111 1111 1 11111 1 111 1 111111 1 1111 1111 00 000 0 0000 0 11111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,[W J]W>MR [MWCH >LJHM >M J<BWRW BNJ R>WBN W BNJ GD W XYJ CBV H MNCH >TKMH >T H JRDN KWL X]LWY L [MLXMH L PNJ JHWH W NKBCH H >RY L PNJKMH W NTTM LHMH] >T >RY H GL<D L [>XWZH]
1965913,<BR[,4Q23,Numbers,32,29,J<BRW,W J>MR MCH >LHM >M J<BRW BNJ GD W BNJ R>WBN >TKM >T H JRDN KL XLWY L MLXMH L PNJ JHWH W NKBCH H >RY L PNJKM W NTTM LHM >T >RY H GL<D L >XZH,1 1111 111 1111 11 00000 000 00 0 000 01111 1111 10 1 1111 11 1111 1 11111 1 111 1111 1 11111 1 111 1 11000 0 0000 000 00 001 1 1111 1 0000,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,[W J>MR MCH >LHM >M] J<BRW BNJ GD W BNJ R[>WBN >TKM >]T [H JRDN KL XLWY L MLXMH L PNJ JHWH W NKBCH H >RY L PN]JKM W NTTM LHM >T >R[Y H GL<D L] >XZH
90462,<BR[,MT,Numbers,32,30,J<BRW,W >M L> J<BRW XLWYJM >TKM W N>XZW B TKKM B >RY KN<N,,qal,impf,W >M L> J<BRW XLWYJM >TKM,,>TKM,>T==,,0,prep,,,det,,simple,,,>T==,,,,,,,
1976957,<BR[,4Q27,Numbers,32,30,J<BWRW,W >M LW> J<BWRW XLWYJM >TKMH L MLXMH L PNJ JHWH W H<BJRW >T VPM W >T NCJHM W >T MQNJHM L PNJKMH >L >RY KN<N W NW>XZW,1 11 111 001111 111111 11111 1 11111 1 111 1111 1 111111 11 111 1 11 00001 1 11 111111 1 111111 11 111 1111 1 111111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,[W >M LW>] J<[BWRW XLWYJM >TKMH L MLXMH L PNJ JHWH W H<BJRW >T VPM W >T] NCJH[M W >T MQNJHM L PNJKMH >L >RY KN<N W NW>XZW]
1976966,<BR[,4Q27,Numbers,32,30,H<BJRW,W >M LW> J<BWRW XLWYJM >TKMH L MLXMH L PNJ JHWH W H<BJRW >T VPM W >T NCJHM W >T MQNJHM L PNJKMH >L >RY KN<N W NW>XZW,1 11 111 001111 111111 11111 1 11111 1 111 1111 1 111111 11 111 1 11 00001 1 11 111111 1 111111 11 111 1111 1 111111,hif,perf,None,None,,,,,,,,,,,,,,,,,,,,[W >M LW>] J<[BWRW XLWYJM >TKMH L MLXMH L PNJ JHWH W H<BJRW >T VPM W >T] NCJH[M W >T MQNJHM L PNJKMH >L >RY KN<N W NW>XZW]
1965949,<BR[,4Q23,Numbers,32,30,J<BRW,W >M L> J<BRW XLWYJM >TKM W N>XZW B TKKM B >RY KN<N,1 11 11 11111 111111 1111 1 11111 1 1110 0 000 0000,qal,impf,W >M L> J<BRW XLWYJM >TKM,,>TKM,,,0,,,,,,,,,>TKM,,,,,,,[W >M L> J<BRW XLWYJM >TKM W N>XZW B TKK]M B >RY KN<N
90490,<BR[,MT,Numbers,32,32,N<BR,NXNW N<BR XLWYJM L PNJ JHWH >RY KN<N W >TNW >XZT NXLTNW M <BR L JRDN,,qal,impf,NXNW N<BR XLWYJM L PNJ JHWH >RY KN<N,NXNW,L PNJ JHWH,L PNH/ JHWH/,,0,prep,pers,anim,det,subs,complex,,,L,,,,,,,
1965979,<BR[,4Q23,Numbers,32,32,N<BR,NXNW N<BR XLYJM L PNJ JHWH >RY KN<N W >TNW >XZT NXLTNW M <BR L JRDN,1111 0000 00000 0 000 0000 011 1111 1 1111 1111 111111 1 111 1 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,[NXNW] N<BR XLYJM L PNJ JHWH >[RY KN<N W >TNW >XZT NXLTNW M <BR L JRDN]
90596,SBB[,MT,Numbers,32,38,MWSBT,W >T NBW W >T B<L_M<WN MWSBT CM W >T FBMH W JQR>W B CMT >T CMWT H <RJM >CR BNW,,hof,ptcp,MWSBT CM,,no complement,no complement,,,,,,,,,,,,,,,,,,
1977028,SBB[,4Q27,Numbers,32,38,MWSBWT,W >T NBW W >T B<L M<WN MWSBWT CM W >T FBMH W JQR>W B CMWT >T CMWT H <RJM >CR BNW,1 11 111 1 11 111 1111 111111 11 1 11 1000 0 00000 0 1111 11 1111 1 1111 111 111,hof,ptca,None,None,,,,,,,,,,,,,,,,,,,,[W >T NBW W >T B<L M<WN MWSBWT CM W >T F]BMH W JQR>W B [CMWT >T CMWT H <RJM >CR BNW]
1966094,SBB[,4Q23,Numbers,32,38,MWSBT,W >T NBW W >T B<L M<WN MWSBT CM W >T FBMH W JQR>W B CMT >T CMWT H <RJM >CR BNW,1 11 111 1 11 111 1000 00000 00 0 00 0011 1 11111 1 111 11 1111 1 1111 111 111,hof,ptca,None,None,,,,,,,,,,,,,,,,,,,,[W >T NBW W >T B<L M]<WN MWSBT CM W >T FB[MH W JQR>W B CMT >T CMWT H <RJM >CR BNW]
90612,HLK[,MT,Numbers,32,39,JLKW,W JLKW BNJ MKJR BN MNCH GL<DH W JLKDH W JWRC >T H >MRJ >CR BH,,qal,wayq,W JLKW BNJ MKJR BN MNCH GL<DH,BNJ MKJR BN MNCH,GL<DH,GL<D/,,1,dir-he,topo,inanim,det,nmpr,simple,,,,,,,,,,
1977045,HLK[,4Q27,Numbers,32,39,JLKW,W JLKW BNJ MKJR BN MNCH BN JWSP GL<DH W JLKDWH W JWRJCW >T H >MWRJ >CR BH,1 1111 111 1111 11 1111 11 1110 00000 1 001111 1 111111 11 1 11111 111 11,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[W JLKW BNJ MKJR BN MNCH BN JWS]P GL<DH [W] JL[KDWH W JWRJCW >T H >MWRJ >CR BH]
1966111,HLK[,4Q23,Numbers,32,39,JLKW,W JLKW BNJ MKJR BN MNCH GL<DH W JLKD W JWRC >T H >MRJ >CR BH,1 1111 111 1111 11 0000 00000 0 0000 1 1111 11 1 1111 111 11,qal,wayq,W JLKW BNJ MKJR BN MNCH GL<DH,BNJ MKJR BN MNCH,GL<DH,,,1,,,,,,,,,,,,,,,,[W JLKW BNJ MKJR BN] MNCH GL<DH W JLKD [W JWRC >T H >MRJ >CR BH]
90644,HLK[,MT,Numbers,32,41,HLK,W J>JR BN MNCH HLK W JLKD >T XWTJHM W JQR> >THN XWT J>JR,,qal,perf,W J>JR BN MNCH HLK,J>JR BN MNCH,no complement,no complement,,,,,,,,,,,,,,,,,,
90656,HLK[,MT,Numbers,32,42,HLK,W NBX HLK W JLKD >T QNT W >T BNTJH W JQR> LH NBX B CMW,,qal,perf,W NBX HLK,NBX,no complement,no complement,,,,,,,,,,,,,,,,,,
1966158,HLK[,4Q23,Numbers,32,42,HLK,W NBX HLK W JLKD >T QNT W >T BNTJH W JQR> LH,1 111 111 1 1111 11 000 0 00 01111 1 1111 11,qal,perf,None,None,,,,,,,,,,,,,,,,,,,,[W NBX HLK W JLKD >T] QNT W >T B[NTJH W JQR> LH]
1977101,JY>[,4Q27,Numbers,33,1,JY>W,>LH MS<J BNJ JFR>L >CR JY>W M >RY MYRJM L YB>WTM B JD MWCH W >HRWN,111 1111 111 11100 000 1111 1 111 11111 1 111111 1 11 1111 1 11111,qal,perf,>CR JY>W M >RY MYRJM L YB>WTM B JD MWCH W >HRWN,,M >RY MYRJM,,,0,,,,,,,,,M,,,,,,,[>LH MS<J BNJ JFR]>L >CR [JY>W M >RY MYRJM L YB>WTM B JD MWCH W >HRWN]
90723,JY>[,MT,Numbers,33,3,JY>W,W JS<W M R<MSS B XDC H R>CWN B XMCH <FR JWM L XDC H R>CWN M MXRT H PSX JY>W BNJ JFR>L B JD RMH L <JNJ KL MYRJM,,qal,perf,M MXRT H PSX JY>W BNJ JFR>L B JD RMH L <JNJ KL MYRJM,BNJ JFR>L,no complement,no complement,,,,,,,,,,,,,,,,,,
1977130,NS<[,4Q27,Numbers,33,3,JS<W,W JS<W M R<MSS B XWDC H R>CWN B XMCH <FR JWM L XWDC H R>CWN M MWXRT H PSX JY>W BNJ JFR>L B JD RMH L <JNJ KWL MYRJM,1 1111 1 11111 1 1111 1 11111 1 1111 101 000 0 0011 1 11111 1 11111 1 111 1111 111 11111 1 11 111 1 1111 111 11111,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[W JS<W M R<MSS B XWDC H R>CWN B XMCH <]F[R] JWM L XW[DC H R>CWN M MWXRT H PSX JY>W BNJ JFR>L B JD RMH L <JNJ KWL MYRJM]
1977149,JY>[,4Q27,Numbers,33,3,JY>W,W JS<W M R<MSS B XWDC H R>CWN B XMCH <FR JWM L XWDC H R>CWN M MWXRT H PSX JY>W BNJ JFR>L B JD RMH L <JNJ KWL MYRJM,1 1111 1 11111 1 1111 1 11111 1 1111 101 000 0 0011 1 11111 1 11111 1 111 1111 111 11111 1 11 111 1 1111 111 11111,qal,perf,None,None,,,,,,,,,,,,,,,,,,,,[W JS<W M R<MSS B XWDC H R>CWN B XMCH <]F[R] JWM L XW[DC H R>CWN M MWXRT H PSX JY>W BNJ JFR>L B JD RMH L <JNJ KWL MYRJM]
1966177,NS<[,4Q23,Numbers,33,6,JS<W,W JS<W M SKT W JXNW B >TM >CR B QYH H MDBR,0 0001 1 111 1 1100 0 001 111 1 111 1 1111,qal,wayq,W JS<W M SKT,,M SKT,,,0,,,,,,,,,M,,,,,,,W JS<[W M SKT W JX]NW B >T[M >CR B QYH H MDBR]
90777,CWB[,MT,Numbers,33,7,JCB,W JS<W M >TM W JCB <L PJ_HXJRT >CR <L PNJ B<L_YPWN W JXNW L PNJ MGDL,,qal,wayq,W JCB <L PJ_HXJRT,,<L PJ_HXJRT,<L PJ_HXJRWT/,,0,prep,topo,inanim,det,nmpr,simple,,,<L,,,,,,,
1966191,NS<[,4Q23,Numbers,33,7,JS<W,W JS<W M >TM W JCB <L PJ H XJRT >CR <L PNJ B<L YPWN W JXNW L PNJ MGDL,1 1111 1 111 1 111 11 11 1 1111 111 00 001 111 1110 0 0000 0 111 1111,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[W JS<W M >TM W JCB <L PJ H XJRT >CR] <L PN[J B<L YPW]N W JXNW L [PNJ MGDL]
1966195,CWB[,4Q23,Numbers,33,7,JCB,W JS<W M >TM W JCB <L PJ H XJRT >CR <L PNJ B<L YPWN W JXNW L PNJ MGDL,1 1111 1 111 1 111 11 11 1 1111 111 00 001 111 1110 0 0000 0 111 1111,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[W JS<W M >TM W JCB <L PJ H XJRT >CR] <L PN[J B<L YPW]N W JXNW L [PNJ MGDL]
90795,<BR[,MT,Numbers,33,8,J<BRW,W JS<W M PNJ HXJRT W J<BRW B TWK H JM H MDBRH W JLKW DRK CLCT JMJM B MDBR >TM W JXNW B MRH,,qal,wayq,W J<BRW B TWK H JM H MDBRH,,B TWK H JM,B TWK/ H JM/,,0,prep,,,det,subs,complex,,,B,,,,,,,
90795,<BR[,MT,Numbers,33,8,J<BRW,W JS<W M PNJ HXJRT W J<BRW B TWK H JM H MDBRH W JLKW DRK CLCT JMJM B MDBR >TM W JXNW B MRH,,qal,wayq,W J<BRW B TWK H JM H MDBRH,,H MDBRH,H MDBR/,,1,dir-he,,,det,subs,simple,,,,,,,,,,
90803,HLK[,MT,Numbers,33,8,JLKW,W JS<W M PNJ HXJRT W J<BRW B TWK H JM H MDBRH W JLKW DRK CLCT JMJM B MDBR >TM W JXNW B MRH,,qal,wayq,W JLKW DRK CLCT JMJM B MDBR >TM,,B MDBR >TM,B MDBR/ >TM/,,0,prep,topo,inanim,det,subs,complex,,,B,,,,,,,
1966212,NS<[,4Q23,Numbers,33,8,JS<W,W JS<W M PNJ H XJRT W J<BRW B TWK H JM H MDBRH W JLKW DRK CLCT JMJM B MDBR >TM W JXNW B MRH,1 1111 1 111 1 1111 1 11111 1 111 1 11 1 11111 1 0000 000 1111 1110 0 0011 111 1 1111 1 111,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[W JS<W M PNJ H XJRT W J<BRW B TWK H JM H MDBRH W] JLKW DRK [CLCT JMJ]M B MD[BR >TM W JXNW B MRH]
1966218,<BR[,4Q23,Numbers,33,8,J<BRW,W JS<W M PNJ H XJRT W J<BRW B TWK H JM H MDBRH W JLKW DRK CLCT JMJM B MDBR >TM W JXNW B MRH,1 1111 1 111 1 1111 1 11111 1 111 1 11 1 11111 1 0000 000 1111 1110 0 0011 111 1 1111 1 111,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[W JS<W M PNJ H XJRT W J<BRW B TWK H JM H MDBRH W] JLKW DRK [CLCT JMJ]M B MD[BR >TM W JXNW B MRH]
1966226,HLK[,4Q23,Numbers,33,8,JLKW,W JS<W M PNJ H XJRT W J<BRW B TWK H JM H MDBRH W JLKW DRK CLCT JMJM B MDBR >TM W JXNW B MRH,1 1111 1 111 1 1111 1 11111 1 111 1 11 1 11111 1 0000 000 1111 1110 0 0011 111 1 1111 1 111,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[W JS<W M PNJ H XJRT W J<BRW B TWK H JM H MDBRH W] JLKW DRK [CLCT JMJ]M B MD[BR >TM W JXNW B MRH]
90819,BW>[,MT,Numbers,33,9,JB>W,W JS<W M MRH W JB>W >JLMH W B >JLM CTJM <FRH <JNT MJM W CB<JM TMRJM W JXNW CM,,qal,wayq,W JB>W >JLMH,,>JLMH,>JLM=/,,1,dir-he,topo,inanim,det,nmpr,simple,,,,,,,,,,
1966239,NS<[,4Q23,Numbers,33,9,JS<W,W JS<W M MRH W JB>W >JLMH W B >JLM CTJM <FRH <JNT MJM,1 1111 1 111 1 1111 11111 1 1 1111 1011 1111 1111 111,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[W JS<W M MRH W JB>W >JLMH W B >JLM C]T[JM <FRH <JNT MJM]
1966243,BW>[,4Q23,Numbers,33,9,JB>W,W JS<W M MRH W JB>W >JLMH W B >JLM CTJM <FRH <JNT MJM,1 1111 1 111 1 1111 11111 1 1 1111 1011 1111 1111 111,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[W JS<W M MRH W JB>W >JLMH W B >JLM C]T[JM <FRH <JNT MJM]
1977177,NS<[,4Q27,Numbers,33,23,JS<W,W JS<W M QHLTH W JXNW B HR CPR,1 1111 1 11100 1 1111 1 11 111,qal,wayq,None,None,,,,,,,,,,,,,,,,,,,,[W JS<W M QHL]TH [W JXNW B HR CPR]
1966262,NS<[,4Q23,Numbers,33,23,JS<W,W JS<W M QHLTH W JXNW B HR CPR,1 1111 1 11111 1 1111 1 11 111,qal,wayq,W JS<W M QHLTH,,M QHLTH,,,0,,,,,,,,,M,,,,,,,[W JS<W M QHLTH W JXNW B HR CPR]
1977187,NS<[,4Q27,Numbers,33,24,JS<W,W JS<W M HR CPR W JXNW B XRDH,1 1111 1 11 111 1 1111 1 1111,qal,wayq,W JS<W M HR CPR,,M HR CPR,,,0,,,,,,,,,M,,,,,,,[W JS<W M HR CPR W JXNW B XRDH]
