verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
411861,CWB[,MT,2_Chronicles,10,6,HCJB,W JW<Y H MLK RXB<M >T H ZQNJM >CR HJW <MDJM L PNJ CLMH >BJW B HJTW XJ L >MR >JK >TM NW<YJM L HCJB L <M H ZH DBR,L HCJB L <M H ZH DBR,,L <M H ZH,L H <M/ H ZH,0,prep,,,det,subs,,,hif,infc,L,,,,,,,,,,
411923,CWB[,MT,2_Chronicles,10,9,NCJB,W J>MR >LHM MH >TM NW<YJM W NCJB DBR >T H <M H ZH >CR DBRW >LJ L >MR HQL MN H <L >CR NTN >BJK <LJNW,W NCJB DBR >T H <M H ZH,,no complement,no complement,,,,,,,,,hif,impf,,,,,,,,,,,
412004,BW>[,MT,2_Chronicles,10,12,JB>,W JB> JRB<M W KL H <M >L RXB<M B JWM H CLCJ K >CR DBR H MLK L >MR CWBW >LJ B JWM H CLCJ,W JB> JRB<M W KL H <M >L RXB<M B JWM H CLCJ,JRB<M W KL H <M,>L RXB<M,>L RXB<M/,0,prep,pers,anim,det,nmpr,,,qal,wayq,>L,,,,,,,,,,
412024,CWB[,MT,2_Chronicles,10,12,CWBW,W JB> JRB<M W KL H <M >L RXB<M B JWM H CLCJ K >CR DBR H MLK L >MR CWBW >LJ B JWM H CLCJ,CWBW >LJ B JWM H CLCJ,,>LJ,>L,0,prep,,,det,,,,qal,impv,>LJ,,,,,,,,,,
412113,CWB[,MT,2_Chronicles,10,16,JCJBW,W KL JFR>L KJ L> CM< H MLK LHM W JCJBW H <M >T H MLK L >MR MH LNW XLQ B DWJD W L> NXLH B BN JCJ >JC L >HLJK JFR>L <TH R>H BJTK DWJD W JLK KL JFR>L L >HLJW,W JCJBW H <M >T H MLK,H <M,no complement,no complement,,,,,,,,,hif,wayq,,,,,,,,,,,
412141,HLK[,MT,2_Chronicles,10,16,JLK,W KL JFR>L KJ L> CM< H MLK LHM W JCJBW H <M >T H MLK L >MR MH LNW XLQ B DWJD W L> NXLH B BN JCJ >JC L >HLJK JFR>L <TH R>H BJTK DWJD W JLK KL JFR>L L >HLJW,W JLK KL JFR>L L >HLJW,KL JFR>L,L >HLJW,L >HL/,0,prep,,,det,subs,,,qal,wayq,L,,,,,,,,,,
412183,<LH[,MT,2_Chronicles,10,18,<LWT,W JCLX H MLK RXB<M >T HDRM >CR <L H MS W JRGMW BW BNJ JFR>L >BN W JMT W H MLK RXB<M HT>MY L <LWT B MRKBH L NWS JRWCLM,L <LWT B MRKBH,,B MRKBH,B H MRKBH/,0,prep,,,det,subs,,,qal,infc,B,,,,,,,,,,
412188,NWS[,MT,2_Chronicles,10,18,NWS,W JCLX H MLK RXB<M >T HDRM >CR <L H MS W JRGMW BW BNJ JFR>L >BN W JMT W H MLK RXB<M HT>MY L <LWT B MRKBH L NWS JRWCLM,L NWS JRWCLM,,JRWCLM,JRWCLM/,0,vc,topo,inanim,det,nmpr,,,qal,infc,,,,,,,,,,,
412202,BW>[,MT,2_Chronicles,11,1,JB>,W JB> RXB<M JRWCLM W JQHL >T BJT JHWDH W BNJMN M>H W CMWNJM >LP BXWR <FH MLXMH L HLXM <M JFR>L L HCJB >T H MMLKH L RXB<M,W JB> RXB<M JRWCLM,RXB<M,JRWCLM,JRWCLM/,0,vc,topo,inanim,det,nmpr,,,qal,wayq,,,,,,,,,,,
412206,QHL[,MT,2_Chronicles,11,1,JQHL,W JB> RXB<M JRWCLM W JQHL >T BJT JHWDH W BNJMN M>H W CMWNJM >LP BXWR <FH MLXMH L HLXM <M JFR>L L HCJB >T H MMLKH L RXB<M,W JQHL >T BJT JHWDH W BNJMN,,no complement,no complement,,,,,,,,,hif,wayq,,,,,,,,,,,
412224,CWB[,MT,2_Chronicles,11,1,HCJB,W JB> RXB<M JRWCLM W JQHL >T BJT JHWDH W BNJMN M>H W CMWNJM >LP BXWR <FH MLXMH L HLXM <M JFR>L L HCJB >T H MMLKH L RXB<M,L HCJB >T H MMLKH L RXB<M,,L RXB<M,L RXB<M/,0,prep,pers,anim,det,nmpr,,,hif,infc,L,,,,,,,,,,
412262,<LH[,MT,2_Chronicles,11,4,T<LW,KH >MR JHWH L> T<LW W L> TLXMW <M >XJKM CWBW >JC L BJTW KJ M >TJ NHJH H DBR H ZH W JCM<W >T DBRJ JHWH W JCBW M LKT >L JRB<M,L> T<LW,,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
412268,CWB[,MT,2_Chronicles,11,4,CWBW,KH >MR JHWH L> T<LW W L> TLXMW <M >XJKM CWBW >JC L BJTW KJ M >TJ NHJH H DBR H ZH W JCM<W >T DBRJ JHWH W JCBW M LKT >L JRB<M,CWBW,,no complement,no complement,,,,,,,,,qal,impv,,,,,,,,,,,
412286,CWB[,MT,2_Chronicles,11,4,JCBW,KH >MR JHWH L> T<LW W L> TLXMW <M >XJKM CWBW >JC L BJTW KJ M >TJ NHJH H DBR H ZH W JCM<W >T DBRJ JHWH W JCBW M LKT >L JRB<M,W JCBW,,no complement,no complement,,,,,,,,,qal,wayq,,,,,,,,,,,
412288,HLK[,MT,2_Chronicles,11,4,LKT,KH >MR JHWH L> T<LW W L> TLXMW <M >XJKM CWBW >JC L BJTW KJ M >TJ NHJH H DBR H ZH W JCM<W >T DBRJ JHWH W JCBW M LKT >L JRB<M,M LKT >L JRB<M,,>L JRB<M,>L JRB<M/,0,prep,pers,anim,det,nmpr,,,qal,infc,>L,,,,,,,,,,
412417,HLK[,MT,2_Chronicles,11,14,JLKW,KJ <ZBW H LWJM >T MGRCJHM W >XZTM W JLKW L JHWDH W L JRWCLM KJ HZNJXM JRB<M W BNJW M KHN L JHWH,W JLKW L JHWDH W L JRWCLM,,L JHWDH W L JRWCLM,L JHWDH/ W L JRWCLM/,0,prep + prep,"pers,gens,topo topo",inanim,det,nmpr nmpr,,,qal,wayq,L,L,,,,,,,,,
412465,BW>[,MT,2_Chronicles,11,16,B>W,W >XRJHM M KL CBVJ JFR>L H NTNJM >T LBBM L BQC >T JHWH >LHJ JFR>L B>W JRWCLM L ZBWX L JHWH >LHJ >BWTJHM,W >XRJHM M KL CBVJ JFR>L B>W JRWCLM,,M KL CBVJ JFR>L,MN KL/ CBV/ JFR>L/,0,prep,"pers,gens,topo",,det,subs subs nmpr,,,qal,perf,M,,,,,,,,,,
