verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
2036940,BW>[,4Q76,Malachi,3,10,HBJ>W,HBJ>W >T KL M<FR >L BJT H >WYR W JHJ VRP B BTJ W BXNWNJ N> B ZWT >MR JHWH YB>WT >M L> >PTX LKM >T >RBWT H CMJM W HRJQTJ LKM >T H BRKH <D BLJ DJ,None,None,,,,,,,,0,00000 00 00 0000 00 000 0 0000 0 000 000 0 0000 0 0000000 00 0 000 000 0000 00000 00 00 0000 0000 00 00000 0 0000 0 000000 0000 00 0 0000 00 000 00 00,hifil,impv,,,,,,,,,
310445,HLK[,MT,Malachi,3,14,HLKNW,>MRTM CW> <BD >LHJM W MH BY< KJ CMRNW MCMRTW W KJ HLKNW QDRNJT M PNJ JHWH YB>WT,W KJ HLKNW QDRNJT M PNJ JHWH YB>WT,,no complement,,,,,,,,,qal,perf,,,,,,,,,
310516,CWB[,MT,Malachi,3,18,CBTM,W CBTM W R>JTM BJN YDJQ L RC< BJN <BD >LHJM L >CR L> <BDW,W CBTM,,no complement,,,,,,,,,qal,perf,,,,,,,,,
310534,BW>[,MT,Malachi,3,19,B>,KJ HNH H JWM B> B<R K TNWR W HJW KL ZDJM W KL <FH RC<H QC W LHV >TM H JWM H B> >MR JHWH YB>WT >CR L> J<ZB LHM CRC W <NP,KJ HNH H JWM B>,H JWM,no complement,,,,,,,,,qal,ptca,,,,,,,,,
310554,BW>[,MT,Malachi,3,19,B>,KJ HNH H JWM B> B<R K TNWR W HJW KL ZDJM W KL <FH RC<H QC W LHV >TM H JWM H B> >MR JHWH YB>WT >CR L> J<ZB LHM CRC W <NP,W LHV >TM H JWM H B>,H JWM H B>,no complement,,,,,,,,,qal,ptca,,,,,,,,,
2037136,BW>[,4Q76,Malachi,3,19,B>,KJ HNH H JWM B> B<R K TNWR W HJW KL ZDJM W KL <FH RC<H QC W LHV >TM H JWM H B> >MR JHWH YB>WT >CR L> J<ZB LHM CRC W <NP,None,None,,,,,,,,0,00 000 0 000 00 000 0 0000 0 000 00 0000 0 00 000 0000 00 0 000 0000 0 000 0 00 000 0000 00000 000 00 0000 0000 000 0 000 00,qal,ptca,,,,,,,,,
2037155,BW>[,4Q76,Malachi,3,19,B>,KJ HNH H JWM B> B<R K TNWR W HJW KL ZDJM W KL <FH RC<H QC W LHV >TM H JWM H B> >MR JHWH YB>WT >CR L> J<ZB LHM CRC W <NP,None,None,,,,,,,,0,00 000 0 000 00 000 0 0000 0 000 00 0000 0 00 000 0000 00 0 000 0000 0 000 0 00 000 0000 00000 000 00 0000 0000 000 0 000 00,qal,ptca,,,,,,,,,
310577,JY>[,MT,Malachi,3,20,JY>TM,W ZRXH LKM JR>J CMJ CMC YDQH W MRP> B KNPJH W JY>TM W PCTM K <GLJ MRBQ,W JY>TM,,no complement,,,,,,,,,qal,perf,,,,,,,,,
310626,BW>[,MT,Malachi,3,23,BW>,HNH >NKJ CLX LKM >T >LJH H NBJ> L PNJ BW> JWM JHWH H GDWL W H NWR>,L PNJ BW> JWM JHWH H GDWL W H NWR>,JWM JHWH H GDWL W H NWR>,no complement,,,,,,,,,qal,infc,,,,,,,,,
310635,CWB[,MT,Malachi,3,24,HCJB,W HCJB LB >BWT <L BNJM W LB BNJM <L >BWTM PN >BW> W HKJTJ >T H >RY XRM,W HCJB LB >BWT <L BNJM,,<L BNJM,0,,,,,,,,hif,perf,<L,,,,,,,,
310646,BW>[,MT,Malachi,3,24,>BW>,W HCJB LB >BWT <L BNJM W LB BNJM <L >BWTM PN >BW> W HKJTJ >T H >RY XRM,PN >BW>,,no complement,,,,,,,,,qal,impf,,,,,,,,,
2037240,CWB[,4Q76,Malachi,3,24,HCJB,W HCJB LB >BWT <L BNJM W LB BNJM <L >BWTM PN >BW> W HKJTJ >T H >RY XRM,W HCJB LB >BWT <L BNJM,,<L BNJM,0,,,,,,0,0 0000 00 0000 00 0000 0 00 0000 00 000000 00 0000 0 00000 00 0 000 000 00,hifil,perf,<L,,,,,,,,
