verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
1996919,<LH[,4Q51,1_Samuel,1,22,J<LH,W XNH LW> <LTH <MW KJ >MRH L >JCH <D >CR J<LH H N<R <D GMLTJHW W NR>H >T PNJ JHWH W JCB L PNJ JHWH W JCB CM <D <WLM W NTTJHW NZJR <D <WLM KWL JMJ XJJW,None,None,,,,,,,,0,01 0 000 000 0000 0000 00 0000 0 00000 00 000 0000 0 000 00 00000000 0 0000 00 000 0000 0 000 0 000 0000 0 000 00 00 0000 0 0000000 0000 00 0000 000 000 00000 00,qal,impf,,,,,,,,,
1996966,JY>[,4Q51,1_Samuel,1,23,JWY>,W J>MR LH >LQNH >JCH <FJ H VWB B <JNJK CBJ <D GMLK >WTW >K JQM JHWH H JWY> M PJK W TCB H >CH W TJNQ >T BNH <D GMLH >WTW,None,None,,,,,,,,0,0 0000 000 00000 00000 000 0 000 0 000000 000 00 00000 00000 00 000 0000 0 0000 0 0000 0 000 0 000 0 0000 00 0000 00 00000 00000 00,qal,ptca,,,,,,,,,
142025,<LH[,MT,1_Samuel,1,24,T<LHW,W T<LHW <MH K >CR GMLTW B PRJM CLCH W >JPH >XT QMX W NBL JJN W TB>HW BJT JHWH CLW W H N<R N<R,W T<LHW <MH B PRJM CLCH W >JPH >XT QMX W NBL JJN,,<MH,0,,,,,,,,hif,wayq,<MH,,,,,,,,
142025,<LH[,MT,1_Samuel,1,24,T<LHW,W T<LHW <MH K >CR GMLTW B PRJM CLCH W >JPH >XT QMX W NBL JJN W TB>HW BJT JHWH CLW W H N<R N<R,W T<LHW <MH B PRJM CLCH W >JPH >XT QMX W NBL JJN,,B PRJM CLCH W >JPH >XT QMX W NBL JJN,0,,,,,,,,hif,wayq,B,,,,,,,,
142041,BW>[,MT,1_Samuel,1,24,TB>HW,W T<LHW <MH K >CR GMLTW B PRJM CLCH W >JPH >XT QMX W NBL JJN W TB>HW BJT JHWH CLW W H N<R N<R,W TB>HW BJT JHWH CLW,,BJT JHWH CLW,0,,,,,,,,hif,wayq,,,,,,,,,
1996982,<LH[,4Q51,1_Samuel,1,24,T<L,W T<L >WTW CJLH K >CR J<LH >LQNH L ZBX L JHWH B PR BN BQR MCLC W LXM W >JPH >XT QMX W NBL JJN W TBJ>HW BJT JHWH CJLH W H N<R <MM W JBJ>WHW L PNJ JHWH W JCXV >BJHW >T H ZBX K >CR J<FH M JMJM JMJMH L JHWH,None,None,,,,,,,,1,0 000 00000 0000 0 000 0000 00000 0 000 0 0000 0 00 00 000 0000 0 000 01111 0 0000 000 000 0 000 000 0 0000000 000 0000 0000 0 0 000 0000 0 00000000 0 000 0000 0 0000 000000 00 0 000 0 000 0000 0 0000 000000 0 0000 00,hifil,wayy,,,,,,,,,
1996987,<LH[,4Q51,1_Samuel,1,24,J<LH,W T<L >WTW CJLH K >CR J<LH >LQNH L ZBX L JHWH B PR BN BQR MCLC W LXM W >JPH >XT QMX W NBL JJN W TBJ>HW BJT JHWH CJLH W H N<R <MM W JBJ>WHW L PNJ JHWH W JCXV >BJHW >T H ZBX K >CR J<FH M JMJM JMJMH L JHWH,None,None,,,,,,,,1,0 000 00000 0000 0 000 0000 00000 0 000 0 0000 0 00 00 000 0000 0 000 01111 0 0000 000 000 0 000 000 0 0000000 000 0000 0000 0 0 000 0000 0 00000000 0 000 0000 0 0000 000000 00 0 000 0 000 0000 0 0000 000000 0 0000 00,qal,impf,,,,,,,,,
1997009,BW>[,4Q51,1_Samuel,1,24,TBJ>HW,W T<L >WTW CJLH K >CR J<LH >LQNH L ZBX L JHWH B PR BN BQR MCLC W LXM W >JPH >XT QMX W NBL JJN W TBJ>HW BJT JHWH CJLH W H N<R <MM W JBJ>WHW L PNJ JHWH W JCXV >BJHW >T H ZBX K >CR J<FH M JMJM JMJMH L JHWH,None,None,,,,,,,,1,0 000 00000 0000 0 000 0000 00000 0 000 0 0000 0 00 00 000 0000 0 000 01111 0 0000 000 000 0 000 000 0 0000000 000 0000 0000 0 0 000 0000 0 00000000 0 000 0000 0 0000 000000 00 0 000 0 000 0000 0 0000 000000 0 0000 00,hifil,wayy,,,,,,,,,
1997018,BW>[,4Q51,1_Samuel,1,24,JBJ>WHW,W T<L >WTW CJLH K >CR J<LH >LQNH L ZBX L JHWH B PR BN BQR MCLC W LXM W >JPH >XT QMX W NBL JJN W TBJ>HW BJT JHWH CJLH W H N<R <MM W JBJ>WHW L PNJ JHWH W JCXV >BJHW >T H ZBX K >CR J<FH M JMJM JMJMH L JHWH,None,None,,,,,,,,1,0 000 00000 0000 0 000 0000 00000 0 000 0 0000 0 00 00 000 0000 0 000 01111 0 0000 000 000 0 000 000 0 0000000 000 0000 0000 0 0 000 0000 0 00000000 0 000 0000 0 0000 000000 00 0 000 0 000 0000 0 0000 000000 0 0000 00,hifil,wayy,,,,,,,,,
142055,BW>[,MT,1_Samuel,1,25,JBJ>W,W JCXVW >T H PR W JBJ>W >T H N<R >L <LJ,W JBJ>W >T H N<R >L <LJ,,>L <LJ,0,,,,,,,,hif,wayq,>L,,,,,,,,
1997043,BW>[,4Q51,1_Samuel,1,25,TBW>,W JCXV >T H PR W TBW> XNH >M H N<R >L <LJ,None,None,,,,,,,,0,0 0000 00 0 00 0 0000 000 00 0 000 00 000 00,qal,wayy,,,,,,,,,
146239,HLK[,MT,1_Samuel,10,2,LKTK,B LKTK H JWM M <MDJ W MY>T CNJ >NCJM <M QBRT RXL B GBWL BNJMN B YLYX W >MRW >LJK NMY>W H >TNWT >CR HLKT L BQC W HNH NVC >BJK >T DBRJ H >TNWT W D>G LKM L >MR MH ><FH L BNJ,B LKTK H JWM M <MDJ,,M <MDJ,0,,,,,,,,qal,infc,M,,,,,,,,
146263,HLK[,MT,1_Samuel,10,2,HLKT,B LKTK H JWM M <MDJ W MY>T CNJ >NCJM <M QBRT RXL B GBWL BNJMN B YLYX W >MRW >LJK NMY>W H >TNWT >CR HLKT L BQC W HNH NVC >BJK >T DBRJ H >TNWT W D>G LKM L >MR MH ><FH L BNJ,>CR HLKT,,no complement,,,,,,,,,qal,perf,,,,,,,,,
146284,XLP[,MT,1_Samuel,10,3,XLPT,W XLPT M CM W HL>H W B>T <D >LWN TBWR W MY>WK CM CLCH >NCJM <LJM >L H >LHJM BJT_>L >XD NF> CLCH GDJJM W >XD NF> CLCT KKRWT LXM W >XD NF> NBL JJN,W XLPT M CM W HL>H,,M CM W HL>H,0,,,,,,,,qal,perf,M,,,,,,,,
146290,BW>[,MT,1_Samuel,10,3,B>T,W XLPT M CM W HL>H W B>T <D >LWN TBWR W MY>WK CM CLCH >NCJM <LJM >L H >LHJM BJT_>L >XD NF> CLCH GDJJM W >XD NF> CLCT KKRWT LXM W >XD NF> NBL JJN,W B>T <D >LWN TBWR,,<D >LWN TBWR,0,,,,,,,,qal,perf,<D,,,,,,,,
146299,<LH[,MT,1_Samuel,10,3,<LJM,W XLPT M CM W HL>H W B>T <D >LWN TBWR W MY>WK CM CLCH >NCJM <LJM >L H >LHJM BJT_>L >XD NF> CLCH GDJJM W >XD NF> CLCT KKRWT LXM W >XD NF> NBL JJN,<LJM >L H >LHJM BJT_>L,,>L H >LHJM,0,,,,,,,,qal,ptca,>L,,,,,,,,
1999334,BW>[,4Q51,1_Samuel,10,3,B>T,M CM W HL>H W B>T <D >LWN TBWR W MY>WK CM CLCH >NCJM <LJM >L H >LHJM BJT >L >XD NF> CLCH GDJJM W >XD NF> CLWCT KLWBJ KKRWT LXM W >XD NWF> NBL JJN,None,None,,,,,,,,0,0 00 0 0000 0 000 00 0000 0000 0 000000 00 0000 00000 0000 00 0 00000 000 00 000 000 0000 00000 0 000 000 00000 00000 00000 000 0 000 0000 000 000 00,qal,perf,,,,,,,,,
1999343,<LH[,4Q51,1_Samuel,10,3,<LJM,M CM W HL>H W B>T <D >LWN TBWR W MY>WK CM CLCH >NCJM <LJM >L H >LHJM BJT >L >XD NF> CLCH GDJJM W >XD NF> CLWCT KLWBJ KKRWT LXM W >XD NWF> NBL JJN,None,None,,,,,,,,0,0 00 0 0000 0 000 00 0000 0000 0 000000 00 0000 00000 0000 00 0 00000 000 00 000 000 0000 00000 0 000 000 00000 00000 00000 000 0 000 0000 000 000 00,qal,ptca,,,,,,,,,
146335,BW>[,MT,1_Samuel,10,5,TBW>,>XR KN TBW> GB<T H >LHJM >CR CM NYBJ PLCTJM W JHJ K B>K CM H <JR W PG<T XBL NBJ>JM JRDJM M H BMH W L PNJHM NBL W TP W XLJL W KNWR W HMH MTNB>JM,>XR KN TBW> GB<T H >LHJM,,GB<T H >LHJM,0,,,,,,,,qal,impf,,,,,,,,,
146346,BW>[,MT,1_Samuel,10,5,B>K,>XR KN TBW> GB<T H >LHJM >CR CM NYBJ PLCTJM W JHJ K B>K CM H <JR W PG<T XBL NBJ>JM JRDJM M H BMH W L PNJHM NBL W TP W XLJL W KNWR W HMH MTNB>JM,K B>K CM H <JR,,CM H <JR,0,,,,,,,,qal,infc,,,,,,,,,
146354,JRD[,MT,1_Samuel,10,5,JRDJM,>XR KN TBW> GB<T H >LHJM >CR CM NYBJ PLCTJM W JHJ K B>K CM H <JR W PG<T XBL NBJ>JM JRDJM M H BMH W L PNJHM NBL W TP W XLJL W KNWR W HMH MTNB>JM,JRDJM M H BMH,,M H BMH,0,,,,,,,,qal,ptca,M,,,,,,,,
1999384,BW>[,4Q51,1_Samuel,10,5,TBW>,W >XR KN TBW> GB<T H >LWHJM >CR CM NYJB PLCTJ W HJH K BW>K CM H <JR W PG<T XBL NB>JM JRDJM M H BMH W L PNJHM NBL W TWP W KNWR W HMH MTNB>JM,None,None,,,,,,,,0,0 000 00 0000 0000 0 000000 000 00 0000 00000 0 000 0 00000 00 0 000 0 0000 000 00000 00000 0 0 000 0 0 000000 000 0 000 0 0000 0 000 0000000 00,qal,impf,,,,,,,,,
1999395,BW>[,4Q51,1_Samuel,10,5,BW>K,W >XR KN TBW> GB<T H >LWHJM >CR CM NYJB PLCTJ W HJH K BW>K CM H <JR W PG<T XBL NB>JM JRDJM M H BMH W L PNJHM NBL W TWP W KNWR W HMH MTNB>JM,None,None,,,,,,,,0,0 000 00 0000 0000 0 000000 000 00 0000 00000 0 000 0 00000 00 0 000 0 0000 000 00000 00000 0 0 000 0 0 000000 000 0 000 0 0000 0 000 0000000 00,qal,infc,,,,,,,,,
1999403,JRD[,4Q51,1_Samuel,10,5,JRDJM,W >XR KN TBW> GB<T H >LWHJM >CR CM NYJB PLCTJ W HJH K BW>K CM H <JR W PG<T XBL NB>JM JRDJM M H BMH W L PNJHM NBL W TWP W KNWR W HMH MTNB>JM,None,None,,,,,,,,0,0 000 00 0000 0000 0 000000 000 00 0000 00000 0 000 0 00000 00 0 000 0 0000 000 00000 00000 0 0 000 0 0 000000 000 0 000 0 0000 0 000 0000000 00,qal,ptca,,,,,,,,,
146387,BW>[,MT,1_Samuel,10,7,TB>JNH,W HJH KJ TB>JNH H >TWT H >LH LK <FH LK >CR TMY> JDK KJ H >LHJM <MK,KJ TB>JNH H >TWT H >LH LK,H >TWT H >LH,LK,0,,,,,,,,qal,impf,LK,,,,,,,,
1999436,BW>[,4Q51,1_Samuel,10,7,TB>NH,W HJH KJ TB>NH H >TWT H >LH LK <FH KWL >CR TMY> JDK KJ H >LWHJM <MK,None,None,,,,,,,,0,0 000 00 00000 0 0000 0 000 000 000 000 000 0000 0000 00 0 000000 0000 00,qal,impf,,,,,,,,,
146403,JRD[,MT,1_Samuel,10,8,JRDT,W JRDT L PNJ H GLGL W HNH >NKJ JRD >LJK L H<LWT <LWT L ZBX ZBXJ CLMJM CB<T JMJM TWXL <D BW>J >LJK W HWD<TJ LK >T >CR T<FH,W JRDT L PNJ H GLGL,,L PNJ,0,,,,,,,,qal,perf,L,,,,,,,,
146403,JRD[,MT,1_Samuel,10,8,JRDT,W JRDT L PNJ H GLGL W HNH >NKJ JRD >LJK L H<LWT <LWT L ZBX ZBXJ CLMJM CB<T JMJM TWXL <D BW>J >LJK W HWD<TJ LK >T >CR T<FH,W JRDT L PNJ H GLGL,,H GLGL,0,,,,,,,,qal,perf,,,,,,,,,
146411,JRD[,MT,1_Samuel,10,8,JRD,W JRDT L PNJ H GLGL W HNH >NKJ JRD >LJK L H<LWT <LWT L ZBX ZBXJ CLMJM CB<T JMJM TWXL <D BW>J >LJK W HWD<TJ LK >T >CR T<FH,>NKJ JRD >LJK,>NKJ,>LJK,0,,,,,,,,qal,ptca,>LJK,,,,,,,,
