verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
163376,BW>[,MT,2_Samuel,5,23,B>T,W JC>L DWD B JHWH W J>MR L> T<LH HSB >L >XRJHM W B>T LHM M MWL BK>JM,W B>T LHM M MWL BK>JM,,LHM,L,0,prep,,,det,,,,,qal,perf,L,,,,,,,,,
163376,BW>[,MT,2_Samuel,5,23,B>T,W JC>L DWD B JHWH W J>MR L> T<LH HSB >L >XRJHM W B>T LHM M MWL BK>JM,W B>T LHM M MWL BK>JM,,M MWL BK>JM,MN MWL/ BK>/,0,prep,,,det,subs,,,,qal,perf,MN,,,,,,,,,
163396,JY>[,MT,2_Samuel,5,24,JY>,W JHJ B CM<K >T QWL Y<DH B R>CJ H BK>JM >Z TXRY KJ >Z JY> JHWH L PNJK L HKWT B MXNH PLCTJM,KJ >Z JY> JHWH L PNJK,JHWH,L PNJK,L PNH/,0,prep,,,det,subs,,,,qal,perf,L,,,,,,,,,
163420,BW>[,MT,2_Samuel,5,25,B>K,W J<F DWD KN K >CR YWHW JHWH W JK >T PLCTJM M GB< <D B>K GZR,<D B>K GZR,,GZR,GZR=/,0,vc,topo,inanim,det,nmpr,,,,qal,infc,,,,,,,,,,
163436,HLK[,MT,2_Samuel,6,2,JLK,W JQM W JLK DWD W KL H <M >CR >TW M B<LJ_JHWDH L H<LWT M CM >T >RWN H >LHJM >CR NQR> CM CM JHWH YB>WT JCB H KRBJM <LJW,W JLK DWD W KL H <M M B<LJ_JHWDH,DWD W KL H <M,M B<LJ_JHWDH,MN B<LJ_JHWDH/,0,prep,topo,inanim,det,nmpr,,,,qal,wayq,MN,,,,,,,,,
163447,<LH[,MT,2_Samuel,6,2,H<LWT,W JQM W JLK DWD W KL H <M >CR >TW M B<LJ_JHWDH L H<LWT M CM >T >RWN H >LHJM >CR NQR> CM CM JHWH YB>WT JCB H KRBJM <LJW,L H<LWT M CM >T >RWN H >LHJM,,M CM,MN CM,0,prep,,,det,,,,,hif,infc,MN,,,,,,,,,
2004447,<LH[,4Q51,2_Samuel,6,2,H<LWT,W KWL H <M >CR >TW B<LH HJ> QRJT J<RJM >CR L JHWDH L H<LWT M CM >T >RWN H >LWHJM >T >CR NQR> CM CM JHWH JWCB H KRWBJM <LJW,None,None,,,,,,,,,,0,0 000 0 00 000 000 0000 000 0000 00000 000 0 00000 0 00000 0 00 00 0000 0 000000 00 000 0000 00 00 0000 0000 0 000000 0000,hif,infc,,,,,,,,,,
163508,HLK[,MT,2_Samuel,6,4,HLK,W JF>HW M BJT >BJNDB >CR B GB<H <M >RWN H >LHJM W >XJW HLK L PNJ H >RWN,W >XJW HLK L PNJ H >RWN,>XJW,L PNJ H >RWN,L PNH/ H >RWN/,0,prep,,,det,subs,,,,qal,ptca,L,,,,,,,,,
2004499,HLK[,4Q51,2_Samuel,6,4,HLK,<M >RWN JHWH W >XJW HLK L PNJ >RWN JHWH,None,None,,,,,,,,,,0,00 0000 0000 0 0000 000 0 000 0000 0000,qal,ptca,,,,,,,,,,
163543,BW>[,MT,2_Samuel,6,6,JB>W,W JB>W <D GRN NKWN W JCLX <Z> >L >RWN H >LHJM W J>XZ BW KJ CMVW H BQR,W JB>W <D GRN NKWN,,<D GRN NKWN,<D GRN/ NKWN=/,0,prep,pers,anim,det,subs,,,,qal,wayq,<D,,,,,,,,,
2004537,BW>[,4Q51,2_Samuel,6,6,JB>W,W JB>W <D GRN NWDN W JCLX <Z> >T JDW >L >RWN H >LWHJM L >XZ BW KJ CMVW H BQR,None,None,,,,,,,,,,0,0 0000 00 000 0000 0 0000 000 00 000 00 0000 0 000000 0 000 00 00 0000 0 000,qal,wayq,,,,,,,,,,
163619,BW>[,MT,2_Samuel,6,9,JBW>,W JR> DWD >T JHWH B JWM H HW> W J>MR >JK JBW> >LJ >RWN JHWH,>JK JBW> >LJ >RWN JHWH,>RWN JHWH,>LJ,>L,0,prep,,,det,,,,,qal,impf,>L,,,,,,,,,
2004620,BW>[,4Q51,2_Samuel,6,9,JBW>,W JJR> DWJD >T JHWH B JWM H HW> L >MWR >JK JBW> >LJ H >RWN W JBW> >RWN JHWH,None,None,,,,,,,,,,0,0 0000 0000 00 0000 0 000 0 000 0 0000 000 0000 000 0 0000 0 0000 0000 0000,qal,impf,,,,,,,,,,
2004625,BW>[,4Q51,2_Samuel,6,9,JBW>,W JJR> DWJD >T JHWH B JWM H HW> L >MWR >JK JBW> >LJ H >RWN W JBW> >RWN JHWH,None,None,,,,,,,,,,0,0 0000 0000 00 0000 0 000 0 000 0 0000 000 0000 000 0 0000 0 0000 0000 0000,qal,wayq,,,,,,,,,,
163628,SWR[,MT,2_Samuel,6,10,HSJR,W L> >BH DWD L HSJR >LJW >T >RWN JHWH <L <JR DWD W JVHW DWD BJT <BD_>DWM H GTJ,L HSJR >LJW >T >RWN JHWH <L <JR DWD,,>LJW,>L,0,prep,,,det,,,,,hif,infc,>L,,,,,,,,,
163628,SWR[,MT,2_Samuel,6,10,HSJR,W L> >BH DWD L HSJR >LJW >T >RWN JHWH <L <JR DWD W JVHW DWD BJT <BD_>DWM H GTJ,L HSJR >LJW >T >RWN JHWH <L <JR DWD,,<L <JR DWD,<L <JR/ DWD==/,0,prep,pers,anim,det,subs,,,,hif,infc,<L,,,,,,,,,
2004634,SWR[,4Q51,2_Samuel,6,10,HSJR,W LW> >BH DWJD L HSJR >LJW >T >RWN BRJT JHWH >L <JR DWJD W JVHW DWJD L BJT <WBD >DWM H GTJ,None,None,,,,,,,,,,0,0 000 000 0000 0 0000 0000 00 0000 0000 0000 00 000 0000 0 0000 0000 0 000 0000 0000 0 000,hif,infc,,,,,,,,,,
163686,HLK[,MT,2_Samuel,6,12,JLK,W JGD L MLK DWD L >MR BRK JHWH >T BJT <BD_>DM W >T KL >CR LW B <BWR >RWN H >LHJM W JLK DWD W J<L >T >RWN H >LHJM M BJT <BD_>DM <JR DWD B FMXH,W JLK DWD,DWD,no complement,no complement,,,,,,,,,,qal,wayq,,,,,,,,,,
163689,<LH[,MT,2_Samuel,6,12,J<L,W JGD L MLK DWD L >MR BRK JHWH >T BJT <BD_>DM W >T KL >CR LW B <BWR >RWN H >LHJM W JLK DWD W J<L >T >RWN H >LHJM M BJT <BD_>DM <JR DWD B FMXH,W J<L >T >RWN H >LHJM M BJT <BD_>DM <JR DWD B FMXH,,M BJT <BD_>DM,MN BJT/ <BD_>DWM/,0,prep,pers,anim,det,subs,,,,hif,wayq,MN,,,,,,,,,
163689,<LH[,MT,2_Samuel,6,12,J<L,W JGD L MLK DWD L >MR BRK JHWH >T BJT <BD_>DM W >T KL >CR LW B <BWR >RWN H >LHJM W JLK DWD W J<L >T >RWN H >LHJM M BJT <BD_>DM <JR DWD B FMXH,W J<L >T >RWN H >LHJM M BJT <BD_>DM <JR DWD B FMXH,,<JR DWD,<JR/ DWD==/,0,vc,pers,anim,det,subs,,,,hif,wayq,,,,,,,,,,
2004699,CWB[,4Q51,2_Samuel,6,12,>CJB,W JGD L MLK DWJD BRK JHWH >T BJT <WBD >DWM W >T KWL >CR LW B <BWR >RWN H >LWHJM W J>MR DWJD >CJB >T H BRKH >L BJTJ W JLK DWJD W J<L >T >RWN H >LWHJM M BJT <WBD >DWM <JR DWJD B FMXH,None,None,,,,,,,,,,0,0 000 0 000 0000 000 0000 00 000 0000 0000 0 00 000 000 00 0 0000 0000 0 000000 0 0000 0000 0000 00 0 0000 00 0000 0 000 0000 0 000 00 0000 0 000000 0 000 0000 0000 000 0000 0 0000,hif,impf,,,,,,,,,,
2004706,HLK[,4Q51,2_Samuel,6,12,JLK,W JGD L MLK DWJD BRK JHWH >T BJT <WBD >DWM W >T KWL >CR LW B <BWR >RWN H >LWHJM W J>MR DWJD >CJB >T H BRKH >L BJTJ W JLK DWJD W J<L >T >RWN H >LWHJM M BJT <WBD >DWM <JR DWJD B FMXH,None,None,,,,,,,,,,0,0 000 0 000 0000 000 0000 00 000 0000 0000 0 00 000 000 00 0 0000 0000 0 000000 0 0000 0000 0000 00 0 0000 00 0000 0 000 0000 0 000 00 0000 0 000000 0 000 0000 0000 000 0000 0 0000,qal,wayq,,,,,,,,,,
2004709,<LH[,4Q51,2_Samuel,6,12,J<L,W JGD L MLK DWJD BRK JHWH >T BJT <WBD >DWM W >T KWL >CR LW B <BWR >RWN H >LWHJM W J>MR DWJD >CJB >T H BRKH >L BJTJ W JLK DWJD W J<L >T >RWN H >LWHJM M BJT <WBD >DWM <JR DWJD B FMXH,None,None,,,,,,,,,,0,0 000 0 000 0000 000 0000 00 000 0000 0000 0 00 000 000 00 0 0000 0000 0 000000 0 0000 0000 0000 00 0 0000 00 0000 0 000 0000 0 000 00 0000 0 000000 0 000 0000 0000 000 0000 0 0000,hif,wayq,,,,,,,,,,
163704,Y<D[,MT,2_Samuel,6,13,Y<DW,W JHJ KJ Y<DW NF>J >RWN JHWH CCH Y<DJM W JZBX CWR W MRJ>,KJ Y<DW NF>J >RWN JHWH CCH Y<DJM,NF>J >RWN JHWH,no complement,no complement,,,,,,,,,,qal,perf,,,,,,,,,,
2004726,Y<D[,4Q51,2_Samuel,6,13,Y<DW,W HJH KJ Y<DW NWF>J >RWN JHWH CB<H XBLJM W JZBX DWJD CB<H PRJM W CB<H >JLJM,None,None,,,,,,,,,,0,0 000 00 0000 00000 0000 0000 0000 00000 0 0000 0000 0000 0000 0 0000 00000,qal,perf,,,,,,,,,,
163735,<LH[,MT,2_Samuel,6,15,M<LJM,W DWD W KL BJT JFR>L M<LJM >T >RWN JHWH B TRW<H W B QWL CWPR,W DWD W KL BJT JFR>L M<LJM >T >RWN JHWH B TRW<H W B QWL CWPR,DWD W KL BJT JFR>L,no complement,no complement,,,,,,,,,,hif,ptca,,,,,,,,,,
