verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
127928,JY>[,MT,Judges,1,24,JWY>,W JR>W H CMRJM >JC JWY> MN H <JR W J>MRW LW HR>NW N> >T MBW> H <JR W <FJNW <MK XSD,>JC JWY> MN H <JR,>JC,MN H <JR,0,,,,,,,,qal,ptca,MN,,,,,,,,
127969,HLK[,MT,Judges,1,26,JLK,W JLK H >JC >RY H XTJM W JBN <JR W JQR> CMH LWZ HW> CMH <D H JWM H ZH,W JLK H >JC >RY H XTJM,H >JC,>RY H XTJM,0,,,,,,,,qal,wayq,,,,,,,,,
128171,JRD[,MT,Judges,1,34,RDT,W JLXYW H >MRJ >T BNJ DN H HRH KJ L> NTNW L RDT L <MQ,L RDT L <MQ,,L <MQ,0,,,,,,,,qal,infc,L,,,,,,,,
134282,<BR[,MT,Judges,10,9,J<BRW,W J<BRW BNJ <MWN >T H JRDN L HLXM GM B JHWDH W B BNJMJN W B BJT >PRJM W TYR L JFR>L M>D,W J<BRW BNJ <MWN >T H JRDN,BNJ <MWN,no complement,,,,,,,,,qal,wayq,,,,,,,,,
134376,HLK[,MT,Judges,10,14,LKW,LKW W Z<QW >L H >LHJM >CR BXRTM BM HMH JWCJ<W LKM B <T YRTKM,LKW,,no complement,,,,,,,,,qal,impv,,,,,,,,,
134415,SWR[,MT,Judges,10,16,JSJRW,W JSJRW >T >LHJ H NKR M QRBM W J<BDW >T JHWH W TQYR NPCW B <ML JFR>L,W JSJRW >T >LHJ H NKR M QRBM,,M QRBM,0,,,,,,,,hif,wayq,M,,,,,,,,
134522,BRX[,MT,Judges,11,3,JBRX,W JBRX JPTX M PNJ >XJW W JCB B >RY VWB W JTLQVW >L JPTX >NCJM RJQJM W JY>W <MW,W JBRX JPTX M PNJ >XJW,JPTX,M PNJ >XJW,0,,,,,,,,qal,wayq,M,,,,,,,,
134539,JY>[,MT,Judges,11,3,JY>W,W JBRX JPTX M PNJ >XJW W JCB B >RY VWB W JTLQVW >L JPTX >NCJM RJQJM W JY>W <MW,W JY>W <MW,,<MW,0,,,,,,,,qal,wayq,<MW,,,,,,,,
134561,HLK[,MT,Judges,11,5,JLKW,W JHJ K >CR NLXMW BNJ <MWN <M JFR>L W JLKW ZQNJ GL<D L QXT >T JPTX M >RY VWB,W JLKW ZQNJ GL<D,ZQNJ GL<D,no complement,,,,,,,,,qal,wayq,,,,,,,,,
134575,HLK[,MT,Judges,11,6,LKH,W J>MRW L JPTX LKH W HJJTH LNW L QYJN W NLXMH B BNJ <MWN,LKH,,no complement,,,,,,,,,qal,impv,,,,,,,,,
134604,BW>[,MT,Judges,11,7,B>TM,W J>MR JPTX L ZQNJ GL<D H L> >TM FN>TM >WTJ W TGRCWNJ M BJT >BJ W MDW< B>TM >LJ <TH K >CR YR LKM,W MDW< B>TM >LJ <TH,,>LJ,0,,,,,,,,qal,perf,>LJ,,,,,,,,
134619,CWB[,MT,Judges,11,8,CBNW,W J>MRW ZQNJ GL<D >L JPTX LKN <TH CBNW >LJK W HLKT <MNW W NLXMT B BNJ <MWN W HJJT LNW L R>C L KL JCBJ GL<D,LKN <TH CBNW >LJK,,>LJK,0,,,,,,,,qal,perf,>LJK,,,,,,,,
134622,HLK[,MT,Judges,11,8,HLKT,W J>MRW ZQNJ GL<D >L JPTX LKN <TH CBNW >LJK W HLKT <MNW W NLXMT B BNJ <MWN W HJJT LNW L R>C L KL JCBJ GL<D,W HLKT <MNW,,<MNW,0,,,,,,,,qal,perf,<MNW,,,,,,,,
134645,CWB[,MT,Judges,11,9,MCJBJM,W J>MR JPTX >L ZQNJ GL<D >M MCJBJM >TM >WTJ L HLXM B BNJ <MWN W NTN JHWH >WTM L PNJ >NKJ >HJH LKM L R>C,>M MCJBJM >TM >WTJ,>TM,no complement,,,,,,,,,hif,ptca,,,,,,,,,
134681,HLK[,MT,Judges,11,11,JLK,W JLK JPTX <M ZQNJ GL<D W JFJMW H <M >WTW <LJHM L R>C W L QYJN W JDBR JPTX >T KL DBRJW L PNJ JHWH B MYPH,W JLK JPTX <M ZQNJ GL<D,JPTX,<M ZQNJ GL<D,0,,,,,,,,qal,wayq,<M,,,,,,,,
