verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
307993,<BR[,MT,Zechariah,10,11,<BR,W <BR B JM YRH W HKH B JM GLJM W HBJCW KL MYWLWT J>R W HWRD G>WN >CWR W CBV MYRJM JSWR,W <BR B JM YRH,,B JM,B H JM/,0,prep,,,det,subs,,,qal,perf,B,,,,,,,,,,
308010,JRD[,MT,Zechariah,10,11,HWRD,W <BR B JM YRH W HKH B JM GLJM W HBJCW KL MYWLWT J>R W HWRD G>WN >CWR W CBV MYRJM JSWR,W HWRD G>WN >CWR,G>WN >CWR,no complement,no complement,,,,,,,,,hof,perf,,,,,,,,,,,
308016,SWR[,MT,Zechariah,10,11,JSWR,W <BR B JM YRH W HKH B JM GLJM W HBJCW KL MYWLWT J>R W HWRD G>WN >CWR W CBV MYRJM JSWR,W CBV MYRJM JSWR,CBV MYRJM,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
2046809,JRD[,4Q82,Zechariah,10,11,HWRD,B JM GLJM W HBJCW KL MYWLWT J>R W HWRD G>WN >CWR W CBV MYRJM JSWR,None,None,,,,,,,,,0,0 00 0000 0 00000 00 000000 000 0 0000 0000 0000 0 000 00000 0000,hof,perf,,,,,,,,,,,
2046815,SWR[,4Q82,Zechariah,10,11,JSWR,B JM GLJM W HBJCW KL MYWLWT J>R W HWRD G>WN >CWR W CBV MYRJM JSWR,None,None,,,,,,,,,0,0 00 0000 0 00000 00 000000 000 0 0000 0000 0000 0 000 00000 0000,qal,impf,,,,,,,,,,,
308024,HLK[,MT,Zechariah,10,12,JTHLKW,W GBRTJM B JHWH W B CMW JTHLKW N>M JHWH,W B CMW JTHLKW,,B CMW,B CM/,0,prep,,,det,subs,,,hit,impf,B,,,,,,,,,,
308038,NPL[,MT,Zechariah,11,2,NPL,HJLL BRWC KJ NPL >RZ >CR >DRJM CDDW HJLJLW >LWNJ BCN KJ JRD J<R H BYWR,KJ NPL >RZ,>RZ,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
308047,JRD[,MT,Zechariah,11,2,JRD,HJLL BRWC KJ NPL >RZ >CR >DRJM CDDW HJLJLW >LWNJ BCN KJ JRD J<R H BYWR,KJ JRD J<R H BYWR,J<R H BYWR,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
2046840,NPL[,4Q82,Zechariah,11,2,NPL,HJLL BRWC KJ NPL >RZ >CR >DRJM CDDW HJLJLW >LWNJ BCN KJ JRD J<R,None,None,,,,,,,,,0,0000 0000 00 000 000 000 00000 0000 000000 00000 000 00 000 000,qal,perf,,,,,,,,,,,
2046849,JRD[,4Q82,Zechariah,11,2,JRD,HJLL BRWC KJ NPL >RZ >CR >DRJM CDDW HJLJLW >LWNJ BCN KJ JRD J<R,None,None,,,,,,,,,0,0000 0000 00 000 000 000 00000 0000 000000 00000 000 00 000 000,qal,perf,,,,,,,,,,,
