verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
357927,<BR[,MT,Song_of_songs,2,11,<BR,KJ HNH H STW <BR H GCM XLP HLK LW,KJ HNH H STW <BR,H STW,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
357930,XLP[,MT,Song_of_songs,2,11,XLP,KJ HNH H STW <BR H GCM XLP HLK LW,H GCM XLP,H GCM,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
357931,HLK[,MT,Song_of_songs,2,11,HLK,KJ HNH H STW <BR H GCM XLP HLK LW,HLK LW,,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
357965,HLK[,MT,Song_of_songs,2,13,LKJ,H T>NH XNVH PGJH W H GPNJM SMDR NTNW RJX QWMJ LKJ R<JTJ JPTJ W LKJ LK,W LKJ LK,,no complement,no complement,,,,,,,,,qal,impv,,,,,,,,,,,
2056514,HLK[,4Q107,Song_of_songs,2,13,LKJ,HNH H TN>H XNVH PGJH W H GPNJM SMDR NTNW RJX QWMJ LK R<JTJ JPTJ W LKJ LK,None,None,,,,,,,,,0,000 0 0000 0000 0000 0 0 00000 0000 0000 000 0000 00 00000 0000 0 000 00,qal,impv,,,,,,,,,,,
358014,NWS[,MT,Song_of_songs,2,17,NSW,<D C JPWX H JWM W NSW H YLLJM SB DMH LK DWDJ L YBJ >W L <PR H >JLJM <L HRJ BTR,W NSW H YLLJM,H YLLJM,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
358017,SBB[,MT,Song_of_songs,2,17,SB,<D C JPWX H JWM W NSW H YLLJM SB DMH LK DWDJ L YBJ >W L <PR H >JLJM <L HRJ BTR,SB,,no complement,no complement,,,,,,,,,qal,impv,,,,,,,,,,,
2056565,NWS[,4Q107,Song_of_songs,2,17,NSW,<D C JPWX H JWM W NSW H VLLJM SWB DMH LK DWDJ L YBJ <L HRRJ BTR,None,None,,,,,,,,,0,00 0 0000 0 000 0 000 0 00000 000 000 00 0000 0 000 00 0000 000,qal,perf,,,,,,,,,,,
2056568,SBB[,4Q107,Song_of_songs,2,17,SWB,<D C JPWX H JWM W NSW H VLLJM SWB DMH LK DWDJ L YBJ <L HRRJ BTR,None,None,,,,,,,,,0,00 0 0000 0 000 0 000 0 00000 000 000 00 0000 0 000 00 0000 000,qal,impv,,,,,,,,,,,
358048,SBB[,MT,Song_of_songs,3,2,>SWBBH,>QWMH N> W >SWBBH B <JR B CWQJM W B RXBWT >BQCH >T C >HBH NPCJ BQCTJW W L> MY>TJW,W >SWBBH B <JR B CWQJM W B RXBWT,,B <JR B CWQJM W B RXBWT,B H <JR/ B H CWQ=/ W B H RXB==/,0,prep + prep + prep,,,det,subs subs subs,,,piel,impf,B,B,B,,,,,,,,
358072,SBB[,MT,Song_of_songs,3,3,SBBJM,MY>WNJ H CMRJM H SBBJM B <JR >T C >HBH NPCJ R>JTM,H SBBJM B <JR,,B <JR,B H <JR/,0,prep,,,det,subs,,,qal,ptca,B,,,,,,,,,,
358084,<BR[,MT,Song_of_songs,3,4,<BRTJ,K M<V C <BRTJ MHM <D C MY>TJ >T C >HBH NPCJ >XZTJW W L> >RPNW <D C HBJ>TJW >L BJT >MJ W >L XDR HWRTJ,C <BRTJ MHM,,MHM,MN,0,prep,,,det,,,,qal,perf,MHM,,,,,,,,,,
358099,BW>[,MT,Song_of_songs,3,4,HBJ>TJW,K M<V C <BRTJ MHM <D C MY>TJ >T C >HBH NPCJ >XZTJW W L> >RPNW <D C HBJ>TJW >L BJT >MJ W >L XDR HWRTJ,<D C HBJ>TJW >L BJT >MJ W >L XDR HWRTJ,,>L BJT >MJ W >L XDR HWRTJ,>L BJT/ >M/ W >L XDR/ HRH[,0,prep + prep,,,det,subs subs subs,,,hif,perf,>L,>L,,,,,,,,,
2056106,BW>[,4Q106,Song_of_songs,3,4,HBJ>TJW,W L> >RPNW <D C HBJ>TJW >L BJT >MJ W >L XDR HWRTJ,None,None,,,,,,,,,0,1 11 11 1 1 1111 1 11 1 1 0 00 00000 00 0 0000000 00 000 000 0 00 000 00000,hif,perf,,,,,,,,,,,
358131,<LH[,MT,Song_of_songs,3,6,<LH,MJ Z>T <LH MN H MDBR K TJMRWT <CN MQVRT MWR W LBWNH M KL >BQT RWKL,MJ Z>T <LH MN H MDBR K TJMRWT <CN,MJ Z>T,MN H MDBR,MN H MDBR/,0,prep,,,det,subs,,,qal,ptca,MN,,,,,,,,,,
358195,JY>[,MT,Song_of_songs,3,11,Y>JNH,Y>JNH W R>JNH BNWT YJWN B MLK CLMH B <VRH C <VRH LW >MW B JWM XTNTW W B JWM FMXT LBW,Y>JNH,,no complement,no complement,,,,,,,,,qal,impv,,,,,,,,,,,
2056646,JY>[,4Q107,Song_of_songs,3,11,Y>JNH,Y>JNH W R>JNH BNWT YJWN B MLK CLMH B <VRH C <VRH LW >MW B JWM XTNTW W B JWM FMXT LBW,None,None,,,,,,,,,0,00000 0 00000 0000 0000 0 000 0000 0 0000 0 0000 00 000 0 000 00000 0 0 000 0000 000,qal,impv,,,,,,,,,,,
2056174,JY>[,4Q106,Song_of_songs,3,11,Y>JNH,Y>JNH W R>JNH BNWT JRWCLM B MLK CLMH B <VRH C <VRH LW >MW B JWM XTNTW B JWM FMXT LBW,None,None,,,,,,,,,0,00000 0 00000 0000 000000 0 000 0000 0 0000 0 0000 00 000 0 000 00000 0 000 0000 000,qal,impv,,,,,,,,,,,
358246,<LH[,MT,Song_of_songs,4,2,<LW,CNJK K <DR H QYWBWT C <LW MN H RXYH C KLM MT>JMWT W CKLH >JN BHM,C <LW MN H RXYH,,MN H RXYH,MN H RXYH/,0,prep,,,det,subs,,,qal,perf,MN,,,,,,,,,,
2056698,<LH[,4Q107,Song_of_songs,4,2,<LW,CNJK K <DR H QYWBWT C <LW MN H RXYH C KLM MT>MWT W CKLH >JN BHM,C <LW MN H RXYH,,MN H RXYH,,0,,,,,,0,0000 0 000 0 000000 0 000 00 0 0000 0 000 000000 0 0000 000 000,qal,perf,MN,,,,,,,,,,
2056223,<LH[,4Q106,Song_of_songs,4,2,<LW,K <DR H QYWBWT CNJK <LW MN H RXYH C KLM MT>JMWT W CKLH >JNH BHM,None,None,,,,,,,,,0,0 000 0 000000 0000 000 00 0 0000 0 000 0000000 0 0000 0000 000,qal,perf,,,,,,,,,,,
358308,NWS[,MT,Song_of_songs,4,6,NSW,<D C JPWX H JWM W NSW H YLLJM >LK LJ >L HR H MWR W >L GB<T H LBWNH,W NSW H YLLJM,H YLLJM,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
358311,HLK[,MT,Song_of_songs,4,6,>LK,<D C JPWX H JWM W NSW H YLLJM >LK LJ >L HR H MWR W >L GB<T H LBWNH,>LK LJ >L HR H MWR W >L GB<T H LBWNH,,>L HR H MWR W >L GB<T H LBWNH,>L HR/ H MR==/ W >L GB<H/ H LBNH=/,0,prep + prep,,,det,subs subs subs subs,,,qal,impf,>L,>L,,,,,,,,,
2056287,NWS[,4Q106,Song_of_songs,4,6,NSW,<D C JPWX H JWM W NSW H YLLJM >LK LJ >L HR H MWR >L GB<T H LBWNH,None,None,,,,,,,,,0,00 0 0000 0 000 0 000 0 00000 000 00 00 00 0 000 00 0000 0 00000,qal,perf,,,,,,,,,,,
2056290,HLK[,4Q106,Song_of_songs,4,6,>LK,<D C JPWX H JWM W NSW H YLLJM >LK LJ >L HR H MWR >L GB<T H LBWNH,None,None,,,,,,,,,0,00 0 0000 0 000 0 000 0 00000 000 00 00 00 0 000 00 0000 0 00000,qal,impf,,,,,,,,,,,
