verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
389188,BW>[,MT,Nehemiah,10,40,JBJ>W,KJ >L H LCKWT JBJ>W BNJ JFR>L W BNJ H LWJ >T TRWMT H DGN H TJRWC W H JYHR W CM KLJ H MQDC W H KHNJM H MCRTJM W H CW<RJM W H MCRRJM W L> N<ZB >T BJT >LHJNW,KJ >L H LCKWT JBJ>W BNJ JFR>L W BNJ H LWJ >T TRWMT H DGN H TJRWC W H JYHR,BNJ JFR>L W BNJ H LWJ,>L H LCKWT,>L H LCKH/,0,prep,,,det,subs,,,hif,impf,>L,,,,,,,,,,
389237,NPL[,MT,Nehemiah,11,1,HPJLW,W JCBW FRJ H <M B JRWCLM W C>R H <M HPJLW GWRLWT L HBJ> >XD MN H <FRH L CBT B JRWCLM <JR H QDC W TC< H JDWT B <RJM,W C>R H <M HPJLW GWRLWT,C>R H <M,no complement,no complement,,,,,,,,,hif,perf,,,,,,,,,,,
389240,BW>[,MT,Nehemiah,11,1,HBJ>,W JCBW FRJ H <M B JRWCLM W C>R H <M HPJLW GWRLWT L HBJ> >XD MN H <FRH L CBT B JRWCLM <JR H QDC W TC< H JDWT B <RJM,L HBJ> >XD MN H <FRH,,no complement,no complement,,,,,,,,,hif,infc,,,,,,,,,,,
389783,<LH[,MT,Nehemiah,12,1,<LW,W >LH H KHNJM W H LWJM >CR <LW <M ZRBBL BN C>LTJ>L W JCW< FRJH JRMJH <ZR>,>CR <LW <M ZRBBL BN C>LTJ>L W JCW<,,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
390054,BW>[,MT,Nehemiah,12,27,HBJ>M,W B XNKT XWMT JRWCLM BQCW >T H LWJM M KL MQWMTM L HBJ>M L JRWCLM L <FT XNKH W FMXH W B TWDWT W B CJR MYLTJM NBLJM W B KNRWT,L HBJ>M L JRWCLM,,L JRWCLM,L JRWCLM/,0,prep,topo,inanim,det,nmpr,,,hif,infc,L,,,,,,,,,,
390126,<LH[,MT,Nehemiah,12,31,><LH,W ><LH >T FRJ JHWDH M <L L XWMH W ><MJDH CTJ TWDT GDWLT W THLKT L JMJN M <L L XWMH L C<R H >CPT,W ><LH >T FRJ JHWDH M <L L XWMH,,M <L L XWMH,MN <L L H XWMH/,0,prep + prep + prep,,,det,subs,,,hif,wayq,M,<L,L,,,,,,,,
390155,HLK[,MT,Nehemiah,12,32,JLK,W JLK >XRJHM HWC<JH W XYJ FRJ JHWDH,W JLK >XRJHM HWC<JH W XYJ FRJ JHWDH,HWC<JH W XYJ FRJ JHWDH,>XRJHM,>XR/,0,vc,,,det,subs,,,qal,wayq,,,,,,,,,,,
390226,<LH[,MT,Nehemiah,12,37,<LW,W <L C<R H <JN W NGDM <LW <L M<LWT <JR DWJD B M<LH L XWMH M <L L BJT DWJD W <D C<R H MJM MZRX,W NGDM <LW <L M<LWT <JR DWJD B M<LH L XWMH M <L L BJT DWJD W <D C<R H MJM MZRX,,<L M<LWT <JR DWJD,<L M<LH=/ <JR/ DWD==/,0,prep,pers,anim,det,subs subs nmpr,,,qal,perf,<L,,,,,,,,,,
390254,HLK[,MT,Nehemiah,12,38,HWLKT,W H TWDH H CNJT H HWLKT L MW>L W >NJ >XRJH W XYJ H <M M <L L H XWMH M <L L MGDL H TNWRJM W <D H XWMH H RXBH,H HWLKT L MW>L,,L MW>L,L MWL/,0,prep,,,det,subs,,,qal,ptca,L,,,,,,,,,,
390540,BW>[,MT,Nehemiah,13,1,JBW>,B JWM H HW> NQR> B SPR MCH B >ZNJ H <M W NMY> KTWB BW >CR L> JBW> <MNJ W M>BJ B QHL H >LHJM <D <WLM,>CR L> JBW> <MNJ W M>BJ B QHL H >LHJM <D <WLM,<MNJ W M>BJ,B QHL H >LHJM,B QHL/ H >LHJM/,0,prep,,,det,subs subs,,,qal,impf,B,,,,,,,,,,
