verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
314420,NPL[,MT,Psalms,27,2,NPLW,B QRB <LJ MR<JM L >KL >T BFRJ YRJ W >JBJ LJ HMH KCLW W NPLW,,qal,perf,W NPLW,,no complement,no complement,,,,,,,,,,,,,,,,,,
314594,JRD[,MT,Psalms,28,1,JWRDJ,L DWD >LJK JHWH >QR> YWRJ >L TXRC MMNJ PN TXCH MMNJ W NMCLTJ <M JWRDJ BWR,,qal,ptca,<M JWRDJ BWR,,BWR,BWR/,,0,vc,,,det,subs,simple,,,,,,,,,,
2049912,JRD[,4Q85,Psalms,28,1,JWRDJ,L DWD >LJK JHWH >QR> YWRJ >L TXRC MMNJ PN TXCH MMNJ W NMCLTJ <M JWRDJ BWR,1 111 1111 1111 1111 0000 00 1000 0011 11 1111 1111 0 000000 00 00011 111,qal,ptca,<M JWRDJ BWR,,BWR,,,0,,,,,,,,,,,,,,,,[L DWD >LJK JHWH >QR>] YWRJ >L [T]XRC MM[NJ PN TXCH MMNJ] W NMCLTJ <M JWR[DJ BWR]
314637,CWB[,MT,Psalms,28,4,HCB,TN LHM K P<LM W K R< M<LLJHM K M<FH JDJHM TN LHM HCB GMWLM LHM,,hif,impv,HCB GMWLM LHM,,LHM,L,,0,prep,,,det,,simple,,,L,,,,,,,
2049958,CWB[,4Q85,Psalms,28,4,HCB,TN LHM K P<LM W K R< M<LLJHM K M<FH JDJHM TN LHM HCB GMWLM LHM,11 000 1 1111 1 1 11 1111111 1 0000 00111 11 111 111 11111 111,hif,impv,HCB GMWLM LHM,,LHM,,,0,,,,,,,,,LHM,,,,,,,[TN] LHM [K P<LM W K R< M<LLJHM K] M<FH JD[JHM TN LHM HCB GMWLM LHM]
314845,JRD[,MT,Psalms,30,4,JWRDJ,JHWH H<LJT MN C>WL NPCJ XJJTNJ M JWRDJ BWR,,qal,infc,M JWRDJ BWR,,BWR,BWR/,,0,vc,,,det,subs,simple,,,,,,,,,,
314905,JRD[,MT,Psalms,30,10,RDTJ,MH BY< B DMJ B RDTJ >L CXT H JWDK <PR H JGJD >MTK,,qal,infc,B RDTJ >L CXT,,>L CXT,>L CXT/,,0,prep,,,det,subs,simple,,,>L,,,,,,,
2054068,JRD[,4Q98a,Psalms,30,10,RDTJ,MH BY< B DMJ B RDTJ L CXT H JWDK <PR H JGJD >MTK,11 111 1 111 1 1111 0 000 0 0111 111 1 1111 1111,qal,infc,None,None,,,,,,,,,,,,,,,,,,,,[MH BY< B DMJ B RDTJ] L CXT H J[WDK <PR H JGJD >MTK]
314951,XSH[,MT,Psalms,31,2,XSJTJ,BK JHWH XSJTJ >L >BWCH L <WLM B YDQTK PLVNJ,,qal,perf,BK XSJTJ,,BK,B,,0,prep,,,det,,simple,,,B,,,,,,,
2101633,XSH[,5/6hev1b,Psalms,31,2,XSJTJ,BK JHWH XSJTJ >L >BWCH L <WLM B YDQTK PLVNJ,01 1111 11111 11 11111 1 1111 1 11111 11111,qal,perf,BK JHWH XSJTJ,,BK,,,0,,,,,,,,,BK,,,,,,,B[K JHWH XSJTJ >L >BWCH L <WLM B YDQTK PLVNJ]
2101670,JY>[,5/6hev1b,Psalms,31,5,TWYJ>NJ,TWYJ>NJ M RCT ZW VMNW LJ KJ >TH M<WZJ,0000000 0 000 00 0000 00 00 001 11111,hif,impf,TWYJ>NJ M RCT,,M RCT,,,0,,,,,,,,,M,,,,,,,TWYJ>NJ M RCT ZW VMNW LJ KJ >T[H M<WZJ]
315165,XSH[,MT,Psalms,31,20,XSJM,MH RB VWBK >CR YPNT L JR>JK P<LT L XSJM BK NGD BNJ >DM,,qal,ptca,L XSJM BK,,BK,B,,0,prep,,,det,,simple,,,B,,,,,,,
2101862,XSH[,5/6hev1b,Psalms,31,20,XSJM,MH RB VWBK >CR YPNT L JR>JK P<LT L XSJM BK NGD BNJ >DM,11 11 1111 110 0000 0 00000 0011 1 1111 11 111 111 111,qal,ptca,None,None,,,,,,,,,,,,,,,,,,,,[MH RB VWBK >C]R YPNT L JR>JK P<[LT L XSJM BK NGD BNJ >DM]
315316,SBB[,MT,Psalms,32,7,TSWBBNJ,>TH STR LJ M YR TYRNJ RNJ PLV TSWBBNJ SLH,,piel,impf,RNJ TSWBBNJ,,no complement,no complement,,,,,,,,,,,,,,,,,,
315324,HLK[,MT,Psalms,32,8,TLK,>FKJLK W >WRK B DRK ZW TLK >J<YH <LJK <JNJ,,qal,impf,ZW TLK,,no complement,no complement,,,,,,,,,,,,,,,,,,
315344,QRB[,MT,Psalms,32,9,QRB,>L THJW K SWS K PRD >JN HBJN B MTG W RSN <DJW L BLWM BL QRB >LJK,,qal,infc,BL QRB >LJK,,>LJK,>L,,0,prep,,,det,,simple,,,>L,,,,,,,
315357,SBB[,MT,Psalms,32,10,JSWBBNW,RBJM MK>WBJM L RC< W H BWVX B JHWH XSD JSWBBNW,,piel,impf,XSD JSWBBNW,XSD,no complement,no complement,,,,,,,,,,,,,,,,,,
