verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,reconstructed_verse,spatial_arg_type
361403,HLK[,MT,Ecclesiastes,6,8,HLK,KJ MH JWTR L XKM MN H KSJL MH L <NJ JWD< L HLK NGD H XJJM,L HLK NGD H XJJM,,NGD H XJJM,NGD/ H XJ/,,0.0,vc,,,det,subs,complex,,,qal,infc,,,,,,,,,,,
361411,HLK[,MT,Ecclesiastes,6,9,HLK,VWB MR>H <JNJM M HLK NPC GM ZH HBL W R<WT RWX,M HLK NPC,NPC,no complement,no complement,,,,,,,,,,,qal,infc,,,,,,,,,,,
361496,HLK[,MT,Ecclesiastes,7,2,LKT,VWB L LKT >L BJT >BL M LKT >L BJT MCTH B >CR HW> SWP KL H >DM W H XJ JTN >L LBW,L LKT >L BJT >BL,,>L BJT >BL,>L BJT/ >BL==/,,0.0,prep,,,und,subs,complex,,,qal,infc,,,>L,,,,,,,,
361501,HLK[,MT,Ecclesiastes,7,2,LKT,VWB L LKT >L BJT >BL M LKT >L BJT MCTH B >CR HW> SWP KL H >DM W H XJ JTN >L LBW,M LKT >L BJT MCTH,,>L BJT MCTH,>L BJT/ MCTH/,,0.0,prep,,,und,subs,complex,,,qal,infc,,,>L,,,,,,,,
2057112,HLK[,4Q109,Ecclesiastes,7,2,LKT,VWB L LKT >L BJT >BL M LKT >L BJT FMXH B >CR HW>H KWL SWP H >DM W H XJ JT L LBW,None,None,,,,,,,,,,,0.0,000 0 000 00 000 111 1 111 11 111 1000 1 111 1000 000 000 1 111 1 1 11 11 0 000,qal,infc,,,,,,,,,,VWB L LKT >L BJT [>BL M LKT >L BJT F]MXH [B >CR H]W>H KWL SWP [H >DM W H XJ JT] L LBW,
2057117,HLK[,4Q109,Ecclesiastes,7,2,LKT,VWB L LKT >L BJT >BL M LKT >L BJT FMXH B >CR HW>H KWL SWP H >DM W H XJ JT L LBW,None,None,,,,,,,,,,,0.0,000 0 000 00 000 111 1 111 11 111 1000 1 111 1000 000 000 1 111 1 1 11 11 0 000,qal,infc,,,,,,,,,,VWB L LKT >L BJT [>BL M LKT >L BJT F]MXH [B >CR H]W>H KWL SWP [H >DM W H XJ JT] L LBW,
361597,NWX[,MT,Ecclesiastes,7,9,JNWX,>L TBHL B RWXK L K<WS KJ K<S B XJQ KSJLJM JNWX,KJ K<S B XJQ KSJLJM JNWX,K<S,B XJQ KSJLJM,B XJQ/ KSJL/,,0.0,prep,,,und,subs,complex,,,qal,impf,,,B,,,,,,,,
2057222,NWX[,4Q109,Ecclesiastes,7,9,JNWX,>L TBHL B RWXK L K<WS KJ K<S B XJQ KSJLJM JNWX,KJ K<S B XJQ KSJLJM JNWX,K<S,B XJQ KSJLJM,,,0.0,,,,,,,0.0,11 1111 0 0001 1 1111 11 111 1 111 111111 1111,qal,impf,,,B,,,,,,,[>L TBHL] B RWX[K L K<WS KJ K<S B XJQ KSJLJM JNWX],
361742,JY>[,MT,Ecclesiastes,7,18,JY>,VWB >CR T>XZ B ZH W GM M ZH >L TNX >T JDK KJ JR> >LHJM JY> >T KLM,KJ JR> >LHJM JY> >T KLM,JR> >LHJM,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
361820,SBB[,MT,Ecclesiastes,7,25,SBWTJ,SBWTJ >NJ W LBJ L D<T W L TWR W BQC XKMH W XCBWN W L D<T RC< KSL W H SKLWT HWLLWT,SBWTJ >NJ W LBJ,>NJ W LBJ,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,,,
