verb_id,book,chapter,verse_num,clause,cl_type,prec_cl,pr_cl_type,next_cl,n_cl_type
223343,Isaiah,34,5,הִנֵּה֙ עַל־אֱדֹ֣ום תֵּרֵ֔ד ,xYq0,כִּֽי־רִוְּתָ֥ה בַשָּׁמַ֖יִם חַרְבִּ֑י ,xQtX,וְעַל־עַ֥ם חֶרְמִ֖י לְמִשְׁפָּֽט׃ ,Ellp
223380,Isaiah,34,7,וְיָרְד֤וּ רְאֵמִים֙ עִמָּ֔ם ,WQtX,,,וּפָרִ֖ים עִם־אַבִּירִ֑ים ,Ellp
223429,Isaiah,34,10,לְעֹולָ֖ם יַעֲלֶ֣ה עֲשָׁנָ֑הּ ,xYqX,לַ֤יְלָה וְיֹומָם֙ לֹ֣א תִכְבֶּ֔ה ,xYq0,מִדֹּ֤ור לָדֹור֙ תֶּחֱרָ֔ב ,xYq0
223440,Isaiah,34,10,לְנֵ֣צַח נְצָחִ֔ים אֵ֥ין עֹבֵ֖ר בָּֽהּ׃ ,Ptcp,מִדֹּ֤ור לָדֹור֙ תֶּחֱרָ֔ב ,xYq0,,
223473,Isaiah,34,13,וְעָלְתָ֤ה אַרְמְנֹתֶ֨יהָ֙ סִירִ֔ים ,WQtX,,,קִמֹּ֥ושׂ וָחֹ֖וחַ בְּמִבְצָרֶ֑יהָ ,NmCl
223520,Isaiah,34,15,אַךְ־שָׁ֛ם נִקְבְּצ֥וּ דַיֹּ֖ות אִשָּׁ֥ה רְעוּתָֽהּ׃ ,xQtX,וְדָגְרָ֣ה בְצִלָּ֑הּ ,WQt0,,
223547,Isaiah,34,16,ה֥וּא קִבְּצָֽן׃ ,XQtl,וְרוּחֹ֖ו ,CPen,,
223550,Isaiah,34,17,וְהֽוּא־הִפִּ֤יל לָהֶן֙ גֹּורָ֔ל ,WXQt,,,וְיָדֹ֛ו חִלְּקַ֥תָּה לָהֶ֖ם בַּקָּ֑ו ,WXQt
223622,Isaiah,35,4,הִנֵּ֤ה אֱלֹֽהֵיכֶם֙ נָקָ֣ם יָבֹ֔וא גְּמ֣וּל אֱלֹהִ֔ים ,XYqt,אַל־תִּירָ֑אוּ ,xYq0,ה֥וּא יָבֹ֖וא ,XYqt
223626,Isaiah,35,4,ה֥וּא יָבֹ֖וא ,XYqt,הִנֵּ֤ה אֱלֹֽהֵיכֶם֙ נָקָ֣ם יָבֹ֔וא גְּמ֣וּל אֱלֹהִ֔ים ,XYqt,וְיֹשַׁעֲכֶֽם׃ ,WYq0
223691,Isaiah,35,8,לֹֽא־יַעַבְרֶ֥נּוּ טָמֵ֖א ,xYqX,דֶ֤רֶךְ הַקֹּ֨דֶשׁ֙ ,NmCl,וְהוּא־לָ֑מֹו ,NmCl
223696,Isaiah,35,8,הֹלֵ֥ךְ דֶּ֛רֶךְ וֶאֱוִילִ֖ים לֹ֥א יִתְעֽוּ׃ ,XYqt,וְהוּא־לָ֑מֹו ,NmCl,,
223710,Isaiah,35,9,וּפְרִ֤יץ חַיֹּות֙ בַּֽל־יַעֲלֶ֔נָּה ,WXYq,לֹא־יִהְיֶ֨ה שָׁ֜ם אַרְיֵ֗ה ,xYqX,לֹ֥א תִמָּצֵ֖א שָׁ֑ם ,xYq0
223715,Isaiah,35,9,וְהָלְכ֖וּ גְּאוּלִֽים׃ ,WQtX,לֹ֥א תִמָּצֵ֖א שָׁ֑ם ,xYq0,,
223720,Isaiah,35,10,וּפְדוּיֵ֨י יְהוָ֜ה יְשֻׁב֗וּן ,WXYq,,,וּבָ֤אוּ צִיֹּון֙ בְּרִנָּ֔ה ,WQt0
223722,Isaiah,35,10,וּבָ֤אוּ צִיֹּון֙ בְּרִנָּ֔ה ,WQt0,וּפְדוּיֵ֨י יְהוָ֜ה יְשֻׁב֗וּן ,WXYq,וְשִׂמְחַ֥ת עֹולָ֖ם עַל־רֹאשָׁ֑ם ,NmCl
223736,Isaiah,35,10,וְנָ֖סוּ יָגֹ֥ון וַאֲנָחָֽה׃ פ ,WQtX,שָׂשֹׂ֤ון וְשִׂמְחָה֙ יַשִּׂ֔יגוּ ,xYq0,,
223750,Isaiah,36,1,עָלָ֞ה סַנְחֵרִ֤יב מֶֽלֶךְ־אַשּׁוּר֙ עַ֣ל כָּל־עָרֵ֧י יְהוּדָ֛ה הַבְּצֻרֹ֖ות ,ZQtX,וַיְהִ֡י בְּאַרְבַּע֩ עֶשְׂרֵ֨ה שָׁנָ֜ה לַמֶּ֣לֶךְ חִזְקִיָּ֗הוּ ,Way0,וַֽיִּתְפְּשֵֽׂם׃ ,Way0
223763,Isaiah,36,2,וַיִּשְׁלַ֣ח מֶֽלֶךְ־אַשּׁ֣וּר׀ אֶת־רַב־שָׁקֵ֨ה מִלָּכִ֧ישׁ יְרוּשָׁלְַ֛מָה אֶל־הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ בְּחֵ֣יל כָּבֵ֑ד ,WayX,,,וַֽיַּעֲמֹ֗ד בִּתְעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה בִּמְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ,Way0
223791,Isaiah,36,3,וַיֵּצֵ֥א אֵלָ֛יו אֶלְיָקִ֥ים בֶּן־חִלְקִיָּ֖הוּ וְשֶׁבְנָא֙ הַסֹּפֵ֔ר וְיֹואָ֥ח בֶּן־אָסָ֖ף הַמַּזְכִּֽיר׃ ,WayX,,,אֲשֶׁ֣ר עַל־הַבָּ֑יִת ,NmCl
223867,Isaiah,36,6,וּבָ֥א בְכַפֹּ֖ו ,WQt0,אֲשֶׁ֨ר יִסָּמֵ֥ךְ אִישׁ֙ עָלָ֔יו ,xYqX,וּנְקָבָ֑הּ ,WQt0
223893,Isaiah,36,7,אֲשֶׁ֨ר הֵסִ֤יר חִזְקִיָּ֨הוּ֙ אֶת־בָּמֹתָ֣יו וְאֶת־מִזְבְּחֹתָ֔יו ,xQtX,הֲלֹוא־ה֗וּא ,NmCl,וַיֹּ֤אמֶר לִֽיהוּדָה֙ וְלִיר֣וּשָׁלִַ֔ם ,Way0
223937,Isaiah,36,9,וְאֵ֣יךְ תָּשִׁ֗יב אֵ֠ת פְּנֵ֨י פַחַ֥ת אַחַ֛ד עַבְדֵ֥י אֲדֹנִ֖י הַקְטַנִּ֑ים ,WxY0,,,וַתִּבְטַ֤ח לְךָ֙ עַל־מִצְרַ֔יִם לְרֶ֖כֶב וּלְפָרָשִֽׁים׃ ,Way0
