verb_id,lex,scroll,book,chapter,verse,g_cons,hebrew,g_cons_verse,stem,tense,subject,subj_heb,complement,cmpl_heb
215738,SWR[,MT,Isaiah,10,13,>SJR,אָסִ֣יר׀ ,KJ >MR B KX JDJ <FJTJ W B XKMTJ KJ NBNWTJ W >SJR GBWLT <MJM W <TJDTJHM CWFTJ W >WRJD K>BJR JWCBJM,hif,impf,,,[],
1898665,SWR[,1Qisaa,Isaiah,10,13,>SJR,אסיר ,KJ JW>MR B KWX JDJ <FJTJ W B XKMTJ KJ NBWNWTJ W >SJR GBLWT <MJM W <TJDWTJHMH CWCJTJ W >WRJD JWCBJM,hifil,impf,,,[],
215894,CWB[,MT,Isaiah,10,21,JCWB,יָשׁ֖וּב ,C>R JCWB C>R J<QB >L >L GBWR,qal,impf,C>R C>R J<QB,שְׁאָ֥ר שְׁאָ֣ר יַעֲקֹ֑ב ,>L >L GBWR,אֶל־אֵ֖ל גִּבֹּֽור׃ 
1898827,CWB[,1Qisaa,Isaiah,10,21,JCWB,ישוב ,C>R JCWB C>R J<QWB >L >L GBWR,qal,impf,,,[],
215914,CVP[,MT,Isaiah,10,22,CWVP,שֹׁוטֵ֥ף ,KJ >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,qal,ptca,,,[],
1898848,CVP[,1Qisaa,Isaiah,10,22,CWVP,שוטף ,KJ> >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,qal,ptca,,,[],
215910,CWB[,MT,Isaiah,10,22,JCWB,יָשׁ֣וּב ,KJ >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,qal,impf,C>R,שְׁאָ֖ר ,BW,בֹּ֑ו 
1898844,CWB[,1Qisaa,Isaiah,10,22,JCWB,ישוב ,KJ> >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,qal,impf,,,[],
215993,SWR[,MT,Isaiah,10,27,JSWR,יָס֤וּר ,W HJH B JWM H HW> JSWR SBLW M <L CKMK W <LW M <L YW>RK W XBL <L M PNJ CMN,qal,impf,SBLW,סֻבֳּלֹו֙ ,M <L CKMK,מֵעַ֣ל שִׁכְמֶ֔ךָ 
1898931,SWR[,1Qisaa,Isaiah,10,27,JSWR,יסור ,W HJH B JWM H HW> JSWR SBLW M <L CKMK W <WLW M <L YW>RK W XBL <WL M PNJ CMN,qal,impf,,,[],
216012,<BR[,MT,Isaiah,10,28,<BR,עָבַ֣ר ,B> <L <JT <BR B MGRWN L MKMF JPQJD KLJW,qal,perf,,,B MGRWN,בְּמִגְרֹ֑ון 
1898951,<BR[,1Qisaa,Isaiah,10,28,<BR,עבר ,B> <L <JTH <BR B MGRWN L MKMC JPQWD KLJW,qal,perf,,,[],
216009,BW>[,MT,Isaiah,10,28,B>,בָּ֥א ,B> <L <JT <BR B MGRWN L MKMF JPQJD KLJW,qal,perf,,,<L <JT,עַל־עַיַּ֖ת 
1898948,BW>[,1Qisaa,Isaiah,10,28,B>,בא ,B> <L <JTH <BR B MGRWN L MKMC JPQWD KLJW,qal,perf,,,[],
216019,<BR[,MT,Isaiah,10,29,<BRW,עָֽבְרוּ֙ ,<BRW M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,qal,perf,,,M<BRH,מַעְבָּרָ֔ה 
1898959,<BR[,1Qisaa,Isaiah,10,29,<BR,עבר ,<BR B M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,qal,perf,,,[],
216029,NWS[,MT,Isaiah,10,29,NSH,נָֽסָה׃ ,<BRW M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,qal,perf,GB<T C>WL,גִּבְעַ֥ת שָׁא֖וּל ,[],
1898970,NWS[,1Qisaa,Isaiah,10,29,NSH,נסה ,<BR B M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,qal,perf,,,[],
215564,BW>[,MT,Isaiah,10,3,TBW>,תָּבֹ֑וא ,W MH T<FW L JWM PQDH W L CW>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZBW KBWDKM,qal,impf,,,M MRXQ,מִמֶּרְחָ֣ק 
1898482,BW>[,1Qisaa,Isaiah,10,3,TBW>,תבוא ,W MH T<FW L JWM PQWDH W L C>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZWBW KBWDKM,qal,impf,,,[],
215567,NWS[,MT,Isaiah,10,3,TNWSW,תָּנ֣וּסוּ ,W MH T<FW L JWM PQDH W L CW>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZBW KBWDKM,qal,impf,,,<L MJ,עַל־מִי֙ 
1898485,NWS[,1Qisaa,Isaiah,10,3,TNWSW,תנוסו ,W MH T<FW L JWM PQWDH W L C>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZWBW KBWDKM,qal,impf,,,[],
216043,<WZ[,MT,Isaiah,10,31,H<JZW,הֵעִֽיזוּ׃ ,NDDH MDMNH JCBJ H GBJM H<JZW,hif,perf,JCBJ H GBJM,יֹשְׁבֵ֥י הַגֵּבִ֖ים ,[],
1898986,<WZ[,1Qisaa,Isaiah,10,31,H<JZW,העיזו ,NDDH MRMNH JWCBJ H GBJM H<JZW,hifil,perf,,,[],
216089,NPL[,MT,Isaiah,10,34,JPWL,יִפֹּֽול׃ ס ,W NQP SBKJ H J<R B BRZL W H LBNWN B >DJR JPWL,qal,impf,H LBNWN,הַלְּבָנֹ֖ון ,[],
1899034,NPL[,1Qisaa,Isaiah,10,34,JPWL,יפול ,W NQP SBKJ H J<R B BRZL W H LBNWN B >DJR JPWL,qal,impf,,,[],
215586,CWB[,MT,Isaiah,10,4,CB,שָׁ֣ב ,BLTJ KR< TXT >SJR W TXT HRWGJM JPLW B KL Z>T L> CB >PW W <WD JDW NVWJH,qal,perf,>PW,אַפֹּ֔ו ,[],
1898506,CWB[,1Qisaa,Isaiah,10,4,CB,שב ,BLTJ KR< TXT >SWR W TXT HRWGJM JPLW W B KWL ZW>T LW> CB >PW W <WD JDJW NVWJH,qal,perf,,,[],
215581,NPL[,MT,Isaiah,10,4,JPLW,יִפֹּ֑לוּ ,BLTJ KR< TXT >SJR W TXT HRWGJM JPLW B KL Z>T L> CB >PW W <WD JDW NVWJH,qal,impf,,,TXT HRWGJM,תַ֥חַת הֲרוּגִ֖ים 
1898500,NPL[,1Qisaa,Isaiah,10,4,JPLW,יפלו ,BLTJ KR< TXT >SWR W TXT HRWGJM JPLW W B KWL ZW>T LW> CB >PW W <WD JDJW NVWJH,qal,impf,,,[],
216091,JY>[,MT,Isaiah,11,1,JY>,יָצָ֥א ,W JY> XVR M GZ< JCJ W NYR M CRCJW JPRH,qal,perf,XVR,חֹ֖טֶר ,M GZ< JCJ,מִגֵּ֣זַע יִשָׁ֑י 
1899037,JY>[,1Qisaa,Isaiah,11,1,JY>,יצא ,W JY> XVR M GZ< JCJ W NYR M CWRCJW JPRH,qal,perf,,,[],
216327,SWR[,MT,Isaiah,11,13,SRH,סָ֨רָה֙ ,W SRH QN>T >PRJM W YRRJ JHWDH JKRTW >PRJM L> JQN> >T JHWDH W JHWDH L> JYR >T >PRJM,qal,perf,QN>T >PRJM,קִנְאַ֣ת אֶפְרַ֔יִם ,[],
1899280,SWR[,1Qisaa,Isaiah,11,13,SRH,סרה ,W SRH QN>T >PRJM W YWRRJ JHWDH JKRTW >PRJM LW> JQN> >T JHWDH W JHWDH LW> JYR >T >PRJM,qal,perf,,,[],
216346,<WP[,MT,Isaiah,11,14,<PW,עָפ֨וּ ,W <PW B KTP PLCTJM JMH JXDW JBZW >T BNJ QDM >DWM W MW>B MCLWX JDM W BNJ <MWN MCM<TM,qal,perf,,,PLCTJM,פְּלִשְׁתִּים֙ 
1899300,<WP[,1Qisaa,Isaiah,11,14,<PW,עפו ,W <PW B KTP PLCTJJM JMH JXDW W BZZW >T BNJ QDM >DWM W MW>B MCLWX JDM W BNJ <MWN MCM<TM,qal,perf,,,[],
216407,<LH[,MT,Isaiah,11,16,<LTW,עֲלֹתֹ֖ו ,W HJTH MSLH L C>R <MW >CR JC>R M >CWR K >CR HJTH L JFR>L B JWM <LTW M >RY MYRJM,qal,infc,,,M >RY MYRJM,מֵאֶ֥רֶץ מִצְרָֽיִם׃ 
1899364,<LH[,1Qisaa,Isaiah,11,16,<LWT,עלות׳ #  ,W HJJTH MSLH L C>R <MW >CR JC>R M >CWR K >CR HJJTH L JFR>L B JWM <LWT M >RY MYRJM,qal,infc,,,[],
216102,NWX[,MT,Isaiah,11,2,NXH,נָחָ֥ה ,W NXH <LJW RWX JHWH RWX XKMH W BJNH RWX <YH W GBWRH RWX D<T W JR>T JHWH,qal,perf,RWX JHWH RWX XKMH W BJNH RWX <YH W GBWRH RWX D<T W JR>T JHWH,ר֣וּחַ יְהוָ֑ה ר֧וּחַ חָכְמָ֣ה וּבִינָ֗ה ר֤וּחַ עֵצָה֙ וּגְבוּרָ֔ה ר֥וּחַ דַּ֖עַת וְיִרְאַ֥ת יְהוָֽה׃ ,<LJW,עָלָ֖יו 
1899049,NWX[,1Qisaa,Isaiah,11,2,NXH,נחה ,W NXH <LJW RWX JHWH RWX XKMH W BJNH RWX <YH W GBWRH RWX D<T W JR>T JHWH,qal,perf,,,[],
216423,CWB[,MT,Isaiah,12,1,JCB,יָשֹׁ֥ב ,W >MRT B JWM H HW> >WDK JHWH KJ >NPT BJ JCB >PK W TNXMNJ,qal,impf,>PK,אַפְּךָ֖ ,[],
1899381,CWB[,1Qisaa,Isaiah,12,1,CB,שב ,W >MRTH B JWM H HW> >WDKH JHWH KJ >NPTH BJ W CB >PKH W TNXMNJ,qal,perf,,,[],
216635,JY>[,MT,Isaiah,13,10,Y>TW,צֵאתֹ֔ו ,KJ KWKBJ H CMJM W KSJLJHM L> JHLW >WRM XCK H CMC B Y>TW W JRX L> JGJH >WRW,qal,infc,,,[],
1899605,JY>[,1Qisaa,Isaiah,13,10,Y>TW,צאת׳ו ,KJ KWKBJ H CMJM W KSLJHM LW> J>JRW >WRM XCK H CMC B Y>TW W JRX LW> JGJH >WRW,qal,infc,,,[],
216705,NWS[,MT,Isaiah,13,14,JNWSW,יָנֽוּסוּ׃ ,W HJH K YBJ MDX W K Y>N W >JN MQBY >JC >L <MW JPNW W >JC >L >RYW JNWSW,qal,impf,,,[],
1899679,NWS[,1Qisaa,Isaiah,13,14,JNWSW,ינוסו ,W HJW K YBJ MDX W K Y>WN W >JN MQBY >JC >L <MW JPNW W >JC >L >RYW JNWSW,qal,impf,,,[],
216700,PNH[,MT,Isaiah,13,14,JPNW,יִפְנ֔וּ ,W HJH K YBJ MDX W K Y>N W >JN MQBY >JC >L <MW JPNW W >JC >L >RYW JNWSW,qal,impf,,,[],
1899674,PNH[,1Qisaa,Isaiah,13,14,JPNW,יפנו ,W HJW K YBJ MDX W K Y>WN W >JN MQBY >JC >L <MW JPNW W >JC >L >RYW JNWSW,qal,impf,,,[],
216714,NPL[,MT,Isaiah,13,15,JPWL,יִפֹּ֥ול ,KL H NMY> JDQR W KL H NSPH JPWL B XRB,qal,impf,KL H NSPH,כָל־הַנִּסְפֶּ֖ה ,[],
