dpar,level,mean,median,lo_95,lo_80,lo_50,hi_50,hi_80,hi_95
dirhe,<BR[,-0.3451929264351436,-0.3362969884172684,-1.145480589957176,-0.8565332622138585,-0.6071288071750969,-0.07559621109255966,0.15722536143152094,0.40765730835147085
dirhe,<LH[,-0.9834366753874001,-0.9731386122124144,-1.600043967414028,-1.3718366123147514,-1.177836680945827,-0.7756057339872502,-0.6084652952103202,-0.423991046865905
dirhe,<WP[,-0.6626456796815321,-0.6514421400334894,-2.550562841726442,-1.809816425921736,-1.2247503831872046,-0.09284358766087143,0.4618616556275756,1.2105806659313574
dirhe,>TH[,-0.6604810195837434,-0.6493040874019773,-2.5552489150255093,-1.7727264444630924,-1.207881971976236,-0.09782500847082523,0.43785875539083013,1.1315825980215122
dirhe,BRX[,-0.4568250437449093,-0.45333427744414995,-1.6826282465193743,-1.2218295024897787,-0.8625761009084985,-0.04425744159551956,0.31667159602072126,0.7486288263213506
dirhe,BW>[,-0.5887360847413611,-0.5749733742786234,-1.120727667726374,-0.9156001627869055,-0.748912794505127,-0.41550897017717536,-0.27837256537765126,-0.130597174048559
dirhe,CQQ[,-0.8084630254326698,-0.774662350948674,-2.6698745516833617,-1.901977116879005,-1.3264313586546237,-0.24610848317355985,0.2460572496689414,0.8553383900906943
dirhe,CVP[,-0.7966292204944921,-0.7560034463379322,-2.690128812277851,-1.9108757617533332,-1.3230761656482264,-0.23018425949012353,0.269002796453643,0.8379758159522972
dirhe,CWB[,-1.0932479954941026,-1.0791940426168614,-1.8318008075210495,-1.5648858918129411,-1.33047185185047,-0.8456071314699916,-0.6398278121675842,-0.4102873081239321
dirhe,CWR=[,-0.6600427965077856,-0.6503184849574006,-2.5539402997189127,-1.8103743376365817,-1.218993285650531,-0.09234629430064806,0.46404624222995017,1.1931408721558845
dirhe,DXP[,-0.6679991183178551,-0.6464129049123154,-2.5623737874110377,-1.8293378270247798,-1.2397806317998095,-0.09284435727725611,0.4537703530295245,1.1643758826193147
dirhe,GJX[,-0.6472327327630962,-0.6375017249091209,-2.5794477409687846,-1.8011179796861756,-1.2153724978606628,-0.07514530635598426,0.4905793722473922,1.2330154548706174
dirhe,GLH[,0.8052674496930192,0.8039377434999938,-0.331135146828856,0.07989814682060231,0.41495308382939544,1.1915002607669114,1.5410263372444037,1.9357305433861052
dirhe,GLL[,-0.7145616375872582,-0.6917890815803994,-2.5808872500826934,-1.8276003356387527,-1.2710538057330087,-0.1463040719804029,0.3723593183023966,1.0271627381784356
dirhe,HLK[,-0.41683387873006505,-0.4073841672897215,-1.036549371926957,-0.8028894070534056,-0.6061388095162187,-0.21407196983193788,-0.04385823726317869,0.14891742125632032
dirhe,JRD[,-0.5762511683824305,-0.5663141789675745,-1.2638435628419453,-0.9989017663628529,-0.7923206931823106,-0.34840811764037827,-0.16002258171486444,0.04080357961795352
dirhe,JY>[,-1.0186690875507858,-1.0091718135031043,-1.7415271848372955,-1.476039792830594,-1.252928383614875,-0.7730070445955759,-0.5720831832330393,-0.3493872092825815
dirhe,MHR[,-0.45125575097000153,-0.4683903520898796,-2.0451234356138195,-1.463383232963439,-0.9776222534805845,0.059347218111677966,0.5733590844938519,1.2540701858092305
dirhe,MWC[,-0.06527066322533258,-0.12697728616419085,-1.7344672990142849,-1.1615363779517853,-0.6778746243398613,0.4839650076289113,1.111788010411467,1.9917483807545544
dirhe,NGC[,-1.5269362903621468,-1.4496200263224766,-3.291237852370917,-2.5395062618426483,-1.9930161061787297,-0.979846413341918,-0.6044827189890165,-0.21527486223476708
dirhe,NHR[,-0.8785911810359249,-0.8228223952079504,-2.7324524767636014,-1.9704153173795484,-1.388205823151402,-0.3131518751850261,0.15069657148125515,0.7269506899292133
dirhe,NPL[,-0.9575648225407768,-0.8991919700079403,-2.848287956582717,-2.0547521496690555,-1.4722329788256237,-0.3872526970435464,0.07153931949178688,0.6297905833343995
dirhe,NS<[,-0.1422953063543817,-0.15709909214288462,-1.277820097212954,-0.8943769918285561,-0.5447624788642573,0.2467434492777383,0.6301185478370497,1.0696364912374907
dirhe,NTK[,-0.8366210984666906,-0.794961837939141,-2.7101713580798106,-1.952407023206604,-1.358533979390815,-0.2675561129064581,0.22444659243910034,0.8419317520997532
dirhe,NWS[,0.30853979482134536,0.3115152052037947,-0.6859505877658475,-0.3445194013803697,-0.033862110075311896,0.644843161183424,0.9612274920468785,1.3195714889507941
dirhe,NWX[,-1.1382533223690368,-1.0709279804920997,-2.9479749412111693,-2.195975106630427,-1.6121144856797427,-0.5868960561597959,-0.17957157661437878,0.26029746354348976
dirhe,NXT[,-0.6713377254166515,-0.6591586769840463,-2.5982738352079955,-1.8122785893538886,-1.2248821569252881,-0.10621735653995547,0.4657152007175274,1.1810550566239202
dirhe,PF<[,-0.8021772781696871,-0.7674771950441248,-2.6586178490878063,-1.9004790691771185,-1.326481745820513,-0.24104650352971752,0.24947701767862304,0.8741887569689153
