dpar,level,mean,median,lo_95,lo_80,lo_50,hi_50,hi_80,hi_95
dirhe,1QH_1QH,-0.6780391083000644,-0.6561999415605033,-2.3043871553454456,-1.6580292065702222,-1.1631181992164872,-0.17344871348797058,0.26935836585162737,0.7937229397655423
dirhe,1QM_1QM,-0.8902956750790406,-0.8464153971504333,-2.5656143120206645,-1.8728641053342767,-1.3566848522990953,-0.3699828284701441,0.04122282416126935,0.5316948111237525
dirhe,1QS_1QS,-0.7217092920876108,-0.6931381254910516,-2.3617915529174516,-1.7016498039652777,-1.1990357773584508,-0.20738553334403106,0.22482028589471076,0.7495232572053138
dirhe,Amos_MT,-0.5931655470608668,-0.5774496581679132,-2.0217567137679615,-1.4737093650495696,-1.0259728636816814,-0.14078989182670326,0.25587224268955733,0.726465453873773
dirhe,Amos_Mur88,-0.6907297088874139,-0.6642134911969987,-2.3248560309621027,-1.7045647549041776,-1.1830486451099782,-0.17019256138699013,0.27651893303242403,0.8350951336285352
dirhe,Chronicles_MT,0.011665407507202814,0.002342862836651305,-1.147160084728973,-0.7399095295040702,-0.3916874294013399,0.40283676997066115,0.7727225760722359,1.2345840696378818
dirhe,Daniel_MT,-0.8019751846791495,-0.7669549896165613,-2.4257987647886914,-1.7852499104164639,-1.2546428954072573,-0.29998975010676476,0.12114700486833194,0.6107469799046402
dirhe,Deuteronomy_11Q3,-0.8239857136921267,-0.7901687045925587,-2.446286163011255,-1.7875866668408302,-1.28990268517336,-0.32083473738250373,0.10804176918770919,0.6116440855487476
dirhe,Deuteronomy_4Q128,-0.7590841116604433,-0.73625568197346,-2.3741143534745,-1.7242158739284377,-1.232950607420225,-0.24378047262358737,0.1783213934837679,0.664149480706988
dirhe,Deuteronomy_4Q129,-0.658643988905858,-0.6327854811624902,-2.3179012726945825,-1.6522713872298165,-1.150636215012582,-0.13891740166971642,0.3160132245810947,0.8532107319787727
dirhe,Deuteronomy_4Q134,-0.7618505941182719,-0.7294357431214181,-2.3755702952259257,-1.7269754141051405,-1.2285568597190877,-0.2659830476880331,0.17145439258607,0.6581419534392352
dirhe,Deuteronomy_4Q135,-0.6748124944621189,-0.6574783049906308,-2.298030648438615,-1.6569010814532381,-1.155528529962601,-0.16803833955851943,0.27682025519868825,0.8275990626000412
dirhe,Deuteronomy_4Q137,-0.7661070289824896,-0.7389565999729427,-2.3763740929402744,-1.7377153206928881,-1.226256314408681,-0.25669007332261645,0.17256342042076672,0.6593507586052565
dirhe,Deuteronomy_4Q138,-0.7953902630576275,-0.7626055443031711,-2.3893711649685434,-1.7744154469654134,-1.273660882327851,-0.2850760911331035,0.14199979874145516,0.6204424526436949
dirhe,Deuteronomy_4Q142,-0.7625384835306073,-0.7281542218187117,-2.3626584989732433,-1.7498129529674822,-1.2349469759624438,-0.2564738247540105,0.17362124706635823,0.6739853154171365
dirhe,Deuteronomy_4Q150,-0.31930750022533055,-0.3298182024623779,-1.7642370119238973,-1.2228770381647978,-0.7875299974161092,0.14741951640740333,0.5890563758107249,1.1762933205624324
dirhe,Deuteronomy_4Q28,-0.6894200095746951,-0.6660976275984065,-2.36847471747342,-1.690157806290823,-1.1753809439996448,-0.17497977233076648,0.27511157999493246,0.8309249744375105
dirhe,Deuteronomy_4Q30,-0.6611398392559598,-0.6388495670884642,-2.2846153648972267,-1.6557163701061608,-1.1518295002759797,-0.14304386327331414,0.30262081359782034,0.8656428959627062
dirhe,Deuteronomy_4Q31,-0.6692253866465602,-0.6532069521581569,-2.2929095866293867,-1.6666721778500577,-1.1586874287178988,-0.1576227232415895,0.29170645072242435,0.8247375647349778
dirhe,Deuteronomy_4Q35,-0.7929785494803723,-0.7616097484765764,-2.3918155717588463,-1.757223469775353,-1.2543680410182452,-0.28686502201877995,0.13162083756877846,0.6001623870389144
dirhe,Deuteronomy_4Q36,-0.6575024996813096,-0.6342619448075505,-2.319594942210133,-1.6444114947890422,-1.1423342967942387,-0.15329949069575793,0.30280122519725255,0.8776755751304541
dirhe,Deuteronomy_4Q37,-0.765618354064344,-0.7285007516180413,-2.391432385645883,-1.7423447308684596,-1.2252816475820185,-0.25782273034480363,0.16144672165200233,0.6452337492616692
dirhe,Deuteronomy_4Q38a,-0.7984230425655933,-0.7652239705736453,-2.4565448931493368,-1.7881554869134662,-1.2705262269452482,-0.27755007704478346,0.14404086214280687,0.6444768781013352
dirhe,Deuteronomy_4Q41,-0.7799145921584585,-0.7505964964596081,-2.3874173492449757,-1.724315047782313,-1.23768329978328,-0.28701463578789027,0.14614956139244886,0.6424272271387461
dirhe,Deuteronomy_8Q3,-0.7728959466739181,-0.735917784517794,-2.4173083367139845,-1.7551998501946398,-1.245045214263773,-0.26199696057764016,0.1620846559641493,0.6853465203647245
dirhe,Deuteronomy_MT,-0.5544123162207195,-0.5492700858253232,-1.3164759476952745,-1.0366193929054421,-0.8005215158868916,-0.3022577779499913,-0.07819509491917326,0.1721249562134811
dirhe,Deuteronomy_Xq2,-0.6755676426194468,-0.6485898596006141,-2.3065920227338004,-1.6618818352135456,-1.1469922038338503,-0.17120820105115975,0.27276804300735363,0.7829592323086766
dirhe,Deuteronomy_Xq3,-0.7691741545120111,-0.7380092258480382,-2.372536133508633,-1.735020932475435,-1.2398607758399602,-0.26545863899899813,0.17121571152934156,0.6508303804827971
dirhe,Ecclesiastes_MT,-0.6785568280778209,-0.6611375171191872,-2.2964441263647903,-1.6725778327824927,-1.1603799301891426,-0.1697619925816875,0.28692148822381663,0.8063605124278578
dirhe,Esther_MT,-0.8903094597683734,-0.8511849223763222,-2.5010108490029603,-1.8512034115489768,-1.347898801128145,-0.38242142262720097,0.018290790273639567,0.47027920800397077
dirhe,Exodus_34Se1,-0.6842694128918377,-0.6529534870713498,-2.3208361731370863,-1.6722765989285708,-1.1655131440013804,-0.1714193852246394,0.2552344125460917,0.8127953733837209
dirhe,Exodus_4Q1,-0.7989335729658594,-0.7579667787410116,-2.403584549083672,-1.7729640384254362,-1.2630193179374118,-0.2950303914259761,0.11319894017017451,0.6287067059650763
dirhe,Exodus_4Q11,-0.6786738658818278,-0.6498050141814672,-2.323907989616232,-1.6588953644788877,-1.1583369511531398,-0.16763429633417196,0.2754219862419482,0.7892957655665177
dirhe,Exodus_4Q13,-0.6565531512232239,-0.6292113599913257,-2.3168940651759224,-1.6581006910541203,-1.1453704513862384,-0.14998791057720126,0.31101586226043,0.8522215985093007
dirhe,Exodus_4Q130,-0.7074372093160675,-0.6747654373881924,-2.345629012115763,-1.700276958343634,-1.190779404055176,-0.18961996988962662,0.24255131639104502,0.7461879886067945
dirhe,Exodus_4Q134,-0.6790501223617035,-0.6534772992824864,-2.3029930370147804,-1.6637181058067543,-1.1689158404373627,-0.16078235136608648,0.28016877141070273,0.7813980775478326
dirhe,Exodus_4Q136,-0.7852450912795629,-0.7524477146807886,-2.382458688206538,-1.754263613164867,-1.255570753339566,-0.28486430821151737,0.14952271379123913,0.6304442657520802
dirhe,Exodus_4Q14,-0.3231998732885573,-0.33164715406016293,-1.7870390129498752,-1.2495952786194926,-0.8082496479359114,0.15224245674887038,0.6240966776077141,1.1879004341397565
dirhe,Exodus_4Q140,-0.7726290677331145,-0.740750824495795,-2.405409161258773,-1.7377262949757784,-1.236628941215171,-0.2694656606318523,0.15888602634844354,0.6269135943761404
dirhe,Exodus_4Q145,-0.6782556455867832,-0.6561061868372493,-2.3126434645035037,-1.6601365315006367,-1.1613723077763582,-0.17348609723640934,0.27367582418736963,0.8314702733641915
dirhe,Exodus_4Q155,-0.6838698494022445,-0.6518676974424105,-2.3179816846128123,-1.6722159100350311,-1.165871964883752,-0.1794642775929925,0.26873248817681383,0.8030835860660855
dirhe,Exodus_4Q16,-0.68269892728593,-0.651784020206807,-2.306883073545612,-1.6782069190655846,-1.1566672351519907,-0.1805386585202636,0.25991864995643527,0.7993268319383453
dirhe,Exodus_4Q17,-0.6581164116884192,-0.6366050180478596,-2.2924855681579035,-1.6510813579862729,-1.1406341957241388,-0.14931529924232523,0.30772569371922115,0.8571990521130196
dirhe,Exodus_4Q22,-0.4565270744642095,-0.44535383576808607,-1.8921062973155856,-1.3399682140958122,-0.9030928972432983,0.0020519723336416343,0.4210656337801866,0.9299454199648711
dirhe,Exodus_MT,-0.4610551473071509,-0.4553466665908258,-1.244831532662704,-0.960203767859967,-0.7184645693272055,-0.19561862205706754,0.029074586694900106,0.28924550912621516
dirhe,Exodus_Mur1,-0.7904820800362565,-0.7517290827577872,-2.4057463583865273,-1.7779967210745344,-1.2660617527847917,-0.28697973566970253,0.14355162554478793,0.6311915233923331
dirhe,Exodus_Mur4,-0.7034733267895954,-0.6819302942383145,-2.3153169940776275,-1.6788411260606602,-1.1824544405198334,-0.19784340319756022,0.2517548237895847,0.793900945293244
dirhe,Exodus_Xhev/se5,-0.7041643943233146,-0.6699649836684922,-2.333217294503421,-1.7005890861852413,-1.18433585761988,-0.19518988805541965,0.24495634715929912,0.7714612561064158
dirhe,Exodus_Xq1,-0.6842679422617783,-0.6582177457120529,-2.347958644602293,-1.694338916165303,-1.1702211319322036,-0.16765176787473482,0.2766374436478871,0.8423140655371965
dirhe,Exodus_Xq3,-0.6837703354660295,-0.6576291408963227,-2.361955903739589,-1.689674293385429,-1.1773907077485566,-0.16126653954320472,0.2781755427985591,0.8166954850468827
dirhe,Ezekiel_4Q73,-0.6556294504218616,-0.6244822466390703,-2.289569135464113,-1.6491807058245747,-1.1467893589923952,-0.14469084616061212,0.30333643304608365,0.8578381948913079
dirhe,Ezekiel_MT,6.79695934294867e-4,-0.008511610027805594,-1.0752749281880694,-0.7139966923143108,-0.38445447821086576,0.3722246305823753,0.7304704141234649,1.1461430155534922
dirhe,Ezekiel_Mas1d,-0.6938522629299647,-0.6653538895963858,-2.316213343214024,-1.6873615044599604,-1.1719045695245909,-0.18295642078513152,0.2601535866516,0.8112893757516633
dirhe,Ezra_MT,-1.073932975561785,-1.0259715453748657,-2.6976438452057026,-2.0259251879765747,-1.5218368990755804,-0.569176821036118,-0.17761647441134104,0.25254705581953846
dirhe,Genesis_4Q1,-0.2653887818545735,-0.2829304226968842,-1.5980802346742138,-1.1229812792522063,-0.7239091477564867,0.17410020151729763,0.6238326025415757,1.1348003688337578
dirhe,Genesis_4Q6,-0.33703367177113636,-0.3408548091786147,-1.7810475378350457,-1.2640039707024622,-0.8155823388716623,0.1268356724780315,0.5924054224881476,1.1725053700928927
