verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,reconstructed_verse,spatial_arg_type
2038772,NPL[,4Q78,Joel,2,8,JPLW,W >JC >XJW L> JDXQWN GBR B MSLTW JLKWN B<D H CLX JPLW L> JBY<W,None,None,,,,,,,,,,,0.0,1 111 1111 11 111111 111 1 11111 11111 000 0 011 1111 11 11111,qal,impf,,,,,,,,,,[W >JC >XJW L> JDXQWN GBR B MSLTW JLKWN] B<D H C[LX JPLW L> JBY<W],
294513,CQQ[,MT,Joel,2,9,JCQW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,B <JR JCQW,,B <JR,B H <JR/,,0.0,prep,,,det,subs,simple,,,qal,impf,,,B,,,,,,,,
294517,RWY[,MT,Joel,2,9,JRYWN,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,B XWMH JRYWN,,B XWMH,B H XWMH/,,0.0,prep,,,det,subs,simple,,,qal,impf,,,B,,,,,,,,
294521,<LH[,MT,Joel,2,9,J<LW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,B BTJM J<LW,,B BTJM,B H BJT/,,0.0,prep,,,det,subs,simple,,,qal,impf,,,B,,,,,,,,
294525,BW>[,MT,Joel,2,9,JB>W,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,B<D H XLWNJM JB>W K GNB,,B<D H XLWNJM,B<D/ H XLWN/,,0.0,vc,,,det,subs,complex,,,qal,impf,,,,,,,,,,,
2043589,CQQ[,4Q82,Joel,2,9,JCQW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,None,None,,,,,,,,,,,0.0,1 110 1000 0 0000 00000 1 1111 1111 111 1 111111 1111 1 111,qal,impf,,,,,,,,,,[B <J]R [J]CQW B XWMH JRYWN [B BTJM J<LW B<D H XLWNJM JB>W K GNB],
2043592,RWY[,4Q82,Joel,2,9,JRYWN,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,None,None,,,,,,,,,,,0.0,1 110 1000 0 0000 00000 1 1111 1111 111 1 111111 1111 1 111,qal,impf,,,,,,,,,,[B <J]R [J]CQW B XWMH JRYWN [B BTJM J<LW B<D H XLWNJM JB>W K GNB],
2043595,<LH[,4Q82,Joel,2,9,J<LW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,None,None,,,,,,,,,,,0.0,1 110 1000 0 0000 00000 1 1111 1111 111 1 111111 1111 1 111,qal,impf,,,,,,,,,,[B <J]R [J]CQW B XWMH JRYWN [B BTJM J<LW B<D H XLWNJM JB>W K GNB],
2043599,BW>[,4Q82,Joel,2,9,JB>W,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JB>W K GNB,None,None,,,,,,,,,,,0.0,1 110 1000 0 0000 00000 1 1111 1111 111 1 111111 1111 1 111,qal,impf,,,,,,,,,,[B <J]R [J]CQW B XWMH JRYWN [B BTJM J<LW B<D H XLWNJM JB>W K GNB],
2038778,CQQ[,4Q78,Joel,2,9,JCQW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JBW>W K GNB,None,None,,,,,,,,,,,0.0,1 111 1111 1 1111 11111 1 1111 1111 111 1 100000 00000 0 000,qal,impf,,,,,,,,,,[B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H X]LWNJM JBW>W K GNB,
2038781,RWY[,4Q78,Joel,2,9,JRYWN,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JBW>W K GNB,None,None,,,,,,,,,,,0.0,1 111 1111 1 1111 11111 1 1111 1111 111 1 100000 00000 0 000,qal,impf,,,,,,,,,,[B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H X]LWNJM JBW>W K GNB,
2038784,<LH[,4Q78,Joel,2,9,J<LW,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JBW>W K GNB,None,None,,,,,,,,,,,0.0,1 111 1111 1 1111 11111 1 1111 1111 111 1 100000 00000 0 000,qal,impf,,,,,,,,,,[B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H X]LWNJM JBW>W K GNB,
2038788,BW>[,4Q78,Joel,2,9,JBW>W,B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H XLWNJM JBW>W K GNB,None,None,,,,,,,,,,,0.0,1 111 1111 1 1111 11111 1 1111 1111 111 1 100000 00000 0 000,qal,impf,,,,,,,,,,[B <JR JCQW B XWMH JRYWN B BTJM J<LW B<D H X]LWNJM JBW>W K GNB,
294573,CWB[,MT,Joel,2,12,CBW,W GM <TH N>M JHWH CBW <DJ B KL LBBKM W B YWM W B BKJ W B MSPD,CBW <DJ B KL LBBKM,,<DJ,<D,,0.0,prep,prsf,,det,prsf,simple,,,qal,impv,,,<D,,,,,,,,
2043648,CWB[,4Q82,Joel,2,12,CBW,W GM <TH N>M JHWH CBW <DJ B KL LBBKM W B YWM W B BKJ W B MSPD,CBW <DJ B KL LBBKM,,<DJ,,,0.0,,,,,,,0.0,1 11 111 111 1111 111 111 1 11 11000 0 0 001 1 1 111 1 1 1111,qal,impv,,,<D,,,,,,,[W GM <TH N>M JHWH CBW <DJ B KL LB]BKM W B YW[M W B BKJ W B MSPD],
2038832,CWB[,4Q78,Joel,2,12,CBW,W GM <TH N>M JHWH CBW <DJ B KL LBBKM W B YWM W B BKJ W B MSPD,CBW <DJ B KL LBBKM,,<DJ,,,0.0,,,,,,,0.0,0 00 000 111 1111 111 111 1 11 11111 1 1 111 1 1 111 0 0 0000,qal,impv,,,<D,,,,,,,W GM <TH [N>M JHWH CBW <DJ B KL LBBKM W B YWM W B BKJ] W B MSPD,
294594,CWB[,MT,Joel,2,13,CWBW,W QR<W LBBKM W >L BGDJKM W CWBW >L JHWH >LHJKM KJ XNWN W RXWM HW> >RK >PJM W RB XSD W NXM <L H R<H,W CWBW >L JHWH >LHJKM,,>L JHWH >LHJKM,>L JHWH/ >LHJM/,,0.0,prep,pers,anim,det,nmpr,complex,,,qal,impv,,,>L,,,,,,,,
2043670,CWB[,4Q82,Joel,2,13,CWBW,W QR<W LBBKM W >L BGDJKM W CWBW >L JHWH >LWHJKM,None,None,,,,,,,,,,,0.0,1 1111 11111 1 11 111111 1 1111 00 0000 0000111,qal,impv,,,,,,,,,,[W QR<W LBBKM W >L BGDJKM W CWBW] >L JHWH >LWH[JKM],
2038854,CWB[,4Q78,Joel,2,13,CWBW,W QR<W LBBKMH W >L GDJKMH W CWBW >L JHWH >LHJKM KJ XNWN W RXWM HW> >RK >PJM W RB XSD W NXM <L H R<H,None,None,,,,,,,,,,,0.0,0 0000 000000 0 00 000011 1 1111 11 1111 111111 11 1111 1 1111 111 111 0000 0 00 000 0 000 00 0 010,qal,impv,,,,,,,,,,W QR<W LBBKMH W >L GDJK[MH W CWBW >L JHWH >LHJKM KJ XNWN W RXWM HW> >RK] >PJM W RB XSD W NXM <L H R[<]H,
