verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1943643,<LH[,4Q11,Exodus,16,14,T<L,W T<L CKBT H VL W HNH <L PNJ H MDBR DQ MXSPS DQ K KPR <L H >RY,None,None,,,,0,1 111 1111 1 11 1 111 11 111 1 1111 11 11111 11 1 111 10 1 111,qal,wayq,,,,,,,
1943747,NWX[,4Q11,Exodus,16,23,HNJXW,W J>MR >LJHM HW> >CR DBR JHWH CBTWN CBT QDC L JHWH MXR >T >CR T>PW >PW W >T >CR TBCLW BCLW W >T KL H <DP HNJXW LKM L MCMRT <D H BQR,None,None,,,,0,1 1000 00111 111 111 111 1111 11111 111 111 1 1111 111 10 000 0011 111 1 11 111 11111 1111 1 11 11 1 111 11111 110 0 00000 11 1 111,hif,impv,,,,,,,
1943809,JY>[,4Q11,Exodus,16,27,JY>W,B JWM H CBJ<J JY>W MN H <M L LQV W L> MY>W,None,None,,,,0,1 111 1 00000 0000 11 1 11 1 111 1 11 1111,qal,perf,,,,,,,
1943856,JY>[,4Q11,Exodus,16,29,JY>,R>W KJ JHWH NTN LKM H CBT <L KN HW> NTN LKM B JWM H CCJ LXM JWMJM CBW >JC TXTJW >L JY> >JC M MQWMW B JWM H CBJ<J,None,None,,,,0,111 11 1111 111 111 1 111 11 11 111 000 000 0 000 1 111 111 11111 111 111 11111 11 100 000 0 01111 1 111 1 11111,qal,impf,,,,,,,
1943901,NWX[,4Q11,Exodus,16,33,HNJX,W J>MR MCH >L >HRN QX YNYNT >XT W TN CMH ML> H <MR MN W HNJX >TW L PNJ JHWH L MCMRT L DRTJKM,W HNJX >TW L PNJ JHWH L MCMRT L DRTJKM,,L PNJ JHWH,,0,1,1 1110 000 00 0000 01 00011 111 1 11 111 111 1 111 11 1 1110 000 0 000 0000 0 00000 1 111111,hif,impv,L,,,,,,
1943937,BW>[,4Q11,Exodus,16,35,B>M,W BNJ JFR>L >KLW >T H MN >RB<JM CNH <D B>M >L >RY NWCBT >T H MN >KLW <D B>M >L QYH >RY KN<N,None,None,,,,0,1 111 11111 1111 00 0 00 000000 000 01 111 11 111 11111 11 1 11 1110 00 000 00 000 000 0110,qal,infc,,,,,,,
1943946,BW>[,4Q11,Exodus,16,35,B>M,W BNJ JFR>L >KLW >T H MN >RB<JM CNH <D B>M >L >RY NWCBT >T H MN >KLW <D B>M >L QYH >RY KN<N,None,None,,,,0,1 111 11111 1111 00 0 00 000000 000 01 111 11 111 11111 11 1 11 1110 00 000 00 000 000 0110,qal,infc,,,,,,,
1943963,NS<[,4Q11,Exodus,17,1,JS<W,W JS<W KL <DT BNJ JFR>L L MS<JHM M MDBR SJN <L PJ JHWH W JXNW B RPJDJM W >JN MJM L CTWT H <M,None,None,,,,0,1 1111 00 111 111 00000 0 101110 0 1111 111 11 11 1111 1 1111 1 111111 1 111 111 0 0010 0 00,qal,wayq,,,,,,,
1944030,<LH[,4Q11,Exodus,17,3,H<LJTNW,W JYM> CM H <M L MJM W JLN H <M <L MCH W J>MR LMH ZH H<LJTNW M MYRJM L HMJT >TJ W >T BNJ W >T MQNJ B YM>,None,None,,,,0,1 1000 00 0 00 0 000 0 111 1 11 11 111 1 1111 111 11 1111111 1 11111 0 0000 000 1 11 111 1 11 1111 1 111,hif,perf,,,,,,,
1944057,HLK[,4Q11,Exodus,17,5,HLKT,W MVK >CR HKJT BW >T H J>R QX B JDK W HLKT,None,None,,,,0,1 111 111 1111 11 11 1 111 11 1 100 0 0100,qal,perf,,,,,,,
