verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1891666,HLK[,1Q4,Deuteronomy,13,6,LKT,W H NBJ H HW>H >W H LM H XLWM H HW> JWMT KJ DBR SRH <L JHWH >LHJKM H MWYJ> >TKM M >RY MYRJM W H PWDKH M BJT <BDJM L HDJXK MN H DRK >CR YWK JHWH >LHJK L LKT BH W B<RT H R< M QRBKH,None,None,,,,0,0 0 000 0 0000 00 0 00 0 1111 1 111 1111 11 111 111 11 1111 111111 1 11111 1111 1 111 10000 0 0 11111 0 001 11111 1 11111 11 1 111 111 111 1111 11111 1 111 11 1 1111 1 11 1 00000,qal,infc,,,,,,,
1891707,JY>[,1Q4,Deuteronomy,13,14,JY>W,JY>W >NCJM BNJ BLJ<L M QRBK W JDJXW >T JCBJ <JRMH L >MWR NLKH W N<BDH >LHJM >XRJM >CR L> JD<TM,JY>W >NCJM BNJ BLJ<L M QRBK,>NCJM BNJ BLJ<L,M QRBK,,0,0,1111 11111 111 11111 1 1111 1 11111 11 1111 00000 0 0011 1111 1 11111 11111 11111 111 11 11111,qal,perf,MN,,,,,,
1891802,HLK[,1Q4,Deuteronomy,14,25,HLKT,W NTTH B KSP W YRT H KSP B JDK W HLKT >L H MQWM >CR JBXR JHWH >LWHJKH BW,None,None,,,,0,1 1111 1 111 1 111 1 111 1 111 1 1111 11 1 1111 111 1100 0000 0000000 00,qal,perf,,,,,,,
1891865,BW>[,1Q4,Deuteronomy,16,6,BW>,KJ >M >L H MQWM >CR JBXR JHWH >LWHJKH BW L CKN CMW CM TZBX >T H PSX B <RB K BW> H CMC MW<D Y>TK M MYRJM,None,None,,,,0,11 11 11 1 1111 111 1111 1111 1110000 00 1 111 111 11 1111 11 1 111 1 111 1 111 1 111 1111 1111 1 11111,qal,infc,,,,,,,
1891869,JY>[,1Q4,Deuteronomy,16,6,Y>TK,KJ >M >L H MQWM >CR JBXR JHWH >LWHJKH BW L CKN CMW CM TZBX >T H PSX B <RB K BW> H CMC MW<D Y>TK M MYRJM,None,None,,,,0,11 11 11 1 1111 111 1111 1111 1110000 00 1 111 111 11 1111 11 1 111 1 111 1 111 1 111 1111 1111 1 11111,qal,infc,,,,,,,
1891885,PNH[,1Q4,Deuteronomy,16,7,PNJT,W BCLTH W >KLT B MQWM >CR JBXR JHWH >LHJK BW W PNJT,None,None,,,,0,0 00000 0 0000 1 1111 111 1111 1111 11111 11 1 1111,qal,perf,,,,,,,
1892290,<BR[,1Q5,Deuteronomy,11,31,<BRJM,KJ >TM <BRJM >T H JRDN L B> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM,None,None,,,,0,11 111 11111 11 1 1111 1 11 1 111 00 1 111 111 1111 111111 111 111,qal,ptca,,,,,,,
1892295,BW>[,1Q5,Deuteronomy,11,31,B>,KJ >TM <BRJM >T H JRDN L B> L RCT >T H >RY >CR JHWH >LHJKM NTN LKM,None,None,,,,0,11 111 11111 11 1 1111 1 11 1 111 00 1 111 111 1111 111111 111 111,qal,infc,,,,,,,
1892363,CWB[,1Q5,Deuteronomy,17,16,CWB,>T H <M MYRJMH LM<N HRBWT SWS W JHWH >MR LKM L> TSPWN L CWB B DRK H ZH <WD,None,None,,,,1,11 1 11 111111 1111 11111 111 1 1111 000 000 01 11111 1 111 1 111 1 11 111,qal,infc,,,,,,,
1892430,JY>[,1Q5,Deuteronomy,24,5,JY>,KJ JQX >JC >CH XDCH L> JY> B YB> W L> J<BR <LJW L KL DBR,None,None,,,,0,11 111 111 111 1111 11 111 0 000 1 11 1111 1111 1 11 111,qal,impf,,,,,,,
1892435,<BR[,1Q5,Deuteronomy,24,5,J<BR,KJ JQX >JC >CH XDCH L> JY> B YB> W L> J<BR <LJW L KL DBR,None,None,,,,0,11 111 111 111 1111 11 111 0 000 1 11 1111 1111 1 11 111,qal,impf,,,,,,,
1892445,BW>[,1Q5,Deuteronomy,24,10,TB>,MC>T M>WMH L> TB> >L BJTW L <BV <BVW,None,None,,,,0,0011 11111 11 111 11 1111 1 111 1111,qal,impf,,,,,,,
