verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
29499,BW>[,MT,Exodus,2,18,B>,W TB>NH >L R<W>L >BJHN W J>MR MDW< MHRTN B> H JWM,B>,,no complement,no complement,,,,,,,,,,,qal,infc,,,,,,,,,
29591,<LH[,MT,Exodus,2,23,T<L,W JHJ B JMJM H RBJM H HM W JMT MLK MYRJM W J>NXW BNJ JFR>L MN H <BDH W JZ<QW W T<L CW<TM >L H >LHJM MN H <BDH,W T<L CW<TM >L H >LHJM MN H <BDH,CW<TM,>L H >LHJM,>L H >LHJM/,,0,prep,,,det,subs,simple,,,qal,wayq,,,>L,,,,,,
29644,BW>[,MT,Exodus,3,1,JB>,W MCH HJH R<H >T Y>N JTRW XTNW KHN MDJN W JNHG >T H Y>N >XR H MDBR W JB> >L HR H >LHJM XRBH,W JB> >L HR H >LHJM XRBH,,>L HR H >LHJM,>L HR/ H >LHJM/,,0,prep,,,det,subs,complex,,,qal,wayq,,,>L,,,,,,
29644,BW>[,MT,Exodus,3,1,JB>,W MCH HJH R<H >T Y>N JTRW XTNW KHN MDJN W JNHG >T H Y>N >XR H MDBR W JB> >L HR H >LHJM XRBH,W JB> >L HR H >LHJM XRBH,,XRBH,XRB===/,,1,dir-he,topo,inanim,det,nmpr,simple,,,qal,wayq,,,,,,,,,
29680,SWR[,MT,Exodus,3,3,>SRH,W J>MR MCH >SRH N> W >R>H >T H MR>H H GDL H ZH MDW< L> JB<R H SNH,>SRH N>,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
29700,SWR[,MT,Exodus,3,4,SR,W JR> JHWH KJ SR L R>WT W JQR> >LJW >LHJM M TWK H SNH W J>MR MCH MCH W J>MR HNNJ,KJ SR,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
29721,QRB[,MT,Exodus,3,5,TQRB,W J>MR >L TQRB HLM CL N<LJK M <L RGLJK KJ H MQWM >CR >TH <WMD <LJW >DMT QDC HW>,>L TQRB HLM,,HLM,HLM,,0,vc,,,det,advb,simple,,,qal,impf,,,,,,,,,
29784,JRD[,MT,Exodus,3,8,>RD,W >RD L HYJLW M JD MYRJM W L H<LTW MN H >RY H HW> >L >RY VWBH W RXBH >L >RY ZBT XLB W DBC >L MQWM H KN<NJ W H XTJ W H >MRJ W H PRZJ W H XWJ W H JBWSJ,W >RD,,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
29792,<LH[,MT,Exodus,3,8,H<LTW,W >RD L HYJLW M JD MYRJM W L H<LTW MN H >RY H HW> >L >RY VWBH W RXBH >L >RY ZBT XLB W DBC >L MQWM H KN<NJ W H XTJ W H >MRJ W H PRZJ W H XWJ W H JBWSJ,W L H<LTW MN H >RY H HW> >L >RY VWBH W RXBH >L >RY ZBT XLB W DBC >L MQWM H KN<NJ W H XTJ W H >MRJ W H PRZJ W H XWJ W H JBWSJ,,MN H >RY H HW>,MN H >RY/ H HJ>,,0,prep,ppde,,det,subs,complex,,,hif,infc,,,MN,,,,,,
29792,<LH[,MT,Exodus,3,8,H<LTW,W >RD L HYJLW M JD MYRJM W L H<LTW MN H >RY H HW> >L >RY VWBH W RXBH >L >RY ZBT XLB W DBC >L MQWM H KN<NJ W H XTJ W H >MRJ W H PRZJ W H XWJ W H JBWSJ,W L H<LTW MN H >RY H HW> >L >RY VWBH W RXBH >L >RY ZBT XLB W DBC >L MQWM H KN<NJ W H XTJ W H >MRJ W H PRZJ W H XWJ W H JBWSJ,,>L >RY VWBH W RXBH >L >RY ZBT XLB W DBC >L MQWM H KN<NJ W H XTJ W H >MRJ W H PRZJ W H XWJ W H JBWSJ,>L >RY/ VWB/ W RXB/ >L >RY/ ZWB[ XLB/ W DBC/ >L MQWM/ H KN<NJ/ W H XTJ/ W H >MRJ/ W H PRZJ/ W H XWJ/ W H JBWSJ/,,0,prep + prep + prep,,,det,subs,complex,,,hif,infc,,,>L,>L,>L,,,,
