verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
2106180,<LH[,Mas1d,Ezekiel,37,6,H<LJTJ,W NTTJ <LJKM GJDJM W H<LJTJ <LJKM BFR W QRMTJ <LJKM <WR W NTTJ BKM RWX W XJJTM W JD<TM KJ >NJ JHWH,0 0011 11100 00000 0 000011 10000 001 1 11111 11111 000 0 1000 000 000 1 11100 1 11111 11 111 0000,hif,perf,W H<LJ[TJ <]LJKM BF[R],,<LJKM,<L,to / against you,0,prep,prps,anim,det,prsf,simple,fictive,location,<L,,,,,,reconstructed?,W NT[TJ <LJ]KM GJDJM W H<LJ[TJ <]LJKM BF[R W QRMTJ <LJKM] <WR W [N]TTJ BKM RWX [W XJJ]TM [W JD<TM KJ >NJ] JHWH
283333,QRB[,MT,Ezekiel,37,7,TQRBW,W NB>TJ K >CR YWJTJ W JHJ QWL K HNB>J W HNH R<C W TQRBW <YMWT <YM >L <YMW,,qal,wayq,W TQRBW <YMWT,<YMWT,no complement,no complement,,,,,,,,,,,,,,,,,,
2106212,QRB[,Mas1d,Ezekiel,37,7,TQRBW,W NB>TJ K >CR YWJTJ W JHJ QWL K HNB>J W HNH R<C TQRBW <YMWT <YM >L <YMW,0 00000 0 000 00000 1 110 000 1 11111 1 111 000 00000 00000 000 00 0111,qal,impf,TQRBW <YMWT,<YMWT,no complement,no complement,,,,,,,,,,,,,,,,,,W NB>TJ K >CR YWJTJ [W JH]J QWL [K HNB>J W HNH] R<C TQRBW <YMWT <YM >L <[YMW]
283346,<LH[,MT,Ezekiel,37,8,<LH,W R>JTJ W HNH <LJHM GDJM W BFR <LH W JQRM <LJHM <WR M L M<LH W RWX >JN BHM,,qal,perf,W BFR <LH,BFR,no complement,no complement,,,,,,,,,,,,,,,,,,
2106261,BW>[,Mas1d,Ezekiel,37,9,B>J,W J>MR >LJ HNB> >L H RWX HNB> BN >DM W >MRT >L H RWX KH >MR >DNJ JHWH M >RB< RWXWT B>J H RWX W PXJ B HRWGJM H >LH W JXJW,0 0000 001 1111 11 1 111 0000 00 000 0 0000 00 1 111 11 100 0000 0000 0 0000 00000 001 0 000 0 000 0 000000 1 000 0 0000,qal,impv,None,None,,,,,,,,,,,,,,,,,,,min excluded,W J>MR >L[J HNB> >L H RWX] HNB> BN >DM W >MRT >L [H RWX KH >]MR >DNJ JHWH M >RB< RWXWT B>[J] H RWX W PXJ B HRWGJM [H] >LH W JXJW
283398,BW>[,MT,Ezekiel,37,10,TBW>,W HNB>TJ K >CR YWNJ W TBW> BHM H RWX W JXJW W J<MDW <L RGLJHM XJL GDWL M>D M>D,,qal,wayq,W TBW> BHM H RWX,H RWX,BHM,B,in them,0,prep,prps,inanim,det,prsf,simple,fictive,goal,B,,,,,,,
2106279,BW>[,Mas1d,Ezekiel,37,10,TB>,W HNB>TJ K >CR YWNJ W TB> BHM H RWX W JXJW W J<MDW <L RGLJHM XJL GDWL M>D M>D,0 000000 0 000 0000 0 000 000 0 000 0 1110 0 00100 00 000000 000 0000 000 000,qal,wayq,W TB> BHM H RWX,H RWX,BHM,B,in them,0,prep,prps,inanim,det,prsf,simple,fictive,goal,B,,,,,,,W HNB>TJ K >CR YWNJ W TB> BHM H RWX W [JXJ]W W J<[M]DW <L RGLJHM XJL GDWL M>D M>D
283455,BW>[,MT,Ezekiel,37,12,HB>TJ,LKN HNB> W >MRT >LJHM KH >MR >DNJ JHWH HNH >NJ PTX >T QBRWTJKM W H<LJTJ >TKM M QBRWTJKM <MJ W HB>TJ >TKM >L >DMT JFR>L,,hif,perf,W HB>TJ >TKM >L >DMT JFR>L,,>L >DMT JFR>L,>L >DMH/ JFR>L/,into the land of Israel,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,,,
2106334,<LH[,Mas1d,Ezekiel,37,12,H<LJTJ,L KN HNB> W >MRT >LJHM KH >MR >MR >DNJ JHWH HNH >NJ PTX >T QBRWTJKM W H<LJTJ >TKM M QBRWTJKM <MJ W HB>TJ >TKM >L >DMT JFR>L,0 00 0000 0 0000 11111 11 100 000 0000 0000 011 111 000 00 11111111 0 000000 0000 0 01111111 000 0 00000 0000 10 1111 11000,hif,perf,None,None,,,,,,,,,,,,,,,,,,,min excluded,L KN HNB> W >MRT [>LJHM KH >]MR >MR >DNJ JHWH H[NH >NJ] PTX >T [QBRWTJKM] W H<LJTJ >TKM M Q[BRWTJKM] <MJ W HB>TJ >TKM [>]L [>DMT JF]R>L
2106340,BW>[,Mas1d,Ezekiel,37,12,HB>TJ,L KN HNB> W >MRT >LJHM KH >MR >MR >DNJ JHWH HNH >NJ PTX >T QBRWTJKM W H<LJTJ >TKM M QBRWTJKM <MJ W HB>TJ >TKM >L >DMT JFR>L,0 00 0000 0 0000 11111 11 100 000 0000 0000 011 111 000 00 11111111 0 000000 0000 0 01111111 000 0 00000 0000 10 1111 11000,hif,perf,HB>TJ >TKM [>]L [>DMT JF]R>L,None,,,,,,,,,,,,,,,,,,,reconstructed,L KN HNB> W >MRT [>LJHM KH >]MR >MR >DNJ JHWH H[NH >NJ] PTX >T [QBRWTJKM] W H<LJTJ >TKM M Q[BRWTJKM] <MJ W HB>TJ >TKM [>]L [>DMT JF]R>L
2106357,<LH[,Mas1d,Ezekiel,37,13,H<LWTJ,W JD<TM KJ >NJ JHWH B PTXJ >T QBRWTJKM W B H<LWTJ >TKM M QBRWTJKM <MJ,0 00000 00 111 1000 0 0001 11 00000000 0 0 000000 1100 0 01111111 110,hif,infc,W B H<LWTJ >TKM M QBRWTJKM,,M QBRWTJKM,,,0,,,,,,,,,M,,,,,,min excluded,W JD<TM KJ [>NJ J]HWH B PTX[J >T] QBRWTJKM W B H<LWTJ [>T]KM M Q[BRWTJKM <M]J
283483,NWX[,MT,Ezekiel,37,14,HNXTJ,W NTTJ RWXJ BKM W XJJTM W HNXTJ >TKM <L >DMTKM W JD<TM KJ >NJ JHWH DBRTJ W <FJTJ N>M JHWH,,hif,perf,W HNXTJ >TKM <L >DMTKM,,<L >DMTKM,<L >DMH/,in your land,0,prep,place,inanim,det,subs,complex,factive,goal,<L,,,,,,,
2106370,NWX[,Mas1d,Ezekiel,37,14,HNXTJ,W NTTJ RWXJ BKM W XJJTM W HNXTJ >TKM <L >DMTKM W JD<TM KJ >NJ JHWH DBRTJ W <FJTJ N>M JHWH,0 0000 0000 000 0 00001 1 11111 1000 00 000000 0 00001 11 000 1111 11111 1 00111 111 1111,hif,perf,[W HNXTJ >]TKM <L >DMTKM,,<L >DMTKM,<L >DMH/,in your land,0,prep,place,inanim,det,subs,complex,factive,goal,<L,,,,,,reconstructed?,W NTTJ RWXJ BKM W XJJT[M W HNXTJ >]TKM <L >DMTKM W JD<T[M KJ] >NJ [JHWH DBRTJ W] <F[JTJ N>M JHWH]
283539,QRB[,MT,Ezekiel,37,17,QRB,W QRB >TM >XD >L >XD LK L <Y >XD W HJW L >XDJM B JDK,,piel,impv,W QRB >TM >XD >L >XD LK L <Y >XD,,L <Y >XD,L <Y/ >XD/,into one stick,0,prep,obj,inanim,det,subs,complex,posture/not motion,other,L,,,,,,,
283636,HLK[,MT,Ezekiel,37,21,HLKW,W DBR >LJHM KH >MR >DNJ JHWH HNH >NJ LQX >T BNJ JFR>L M BJN H GWJM >CR HLKW CM W QBYTJ >TM M SBJB W HB>TJ >WTM >L >DMTM,,qal,perf,>CR HLKW CM,,no complement,no complement,,,,,,,,,,,,,,,,,,
283644,BW>[,MT,Ezekiel,37,21,HB>TJ,W DBR >LJHM KH >MR >DNJ JHWH HNH >NJ LQX >T BNJ JFR>L M BJN H GWJM >CR HLKW CM W QBYTJ >TM M SBJB W HB>TJ >WTM >L >DMTM,,hif,perf,W HB>TJ >WTM >L >DMTM,,>L >DMTM,>L >DMH/,into their land,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,,,
283733,HLK[,MT,Ezekiel,37,24,JLKW,W <BDJ DWD MLK <LJHM W RW<H >XD JHJH L KLM W B MCPVJ JLKW W XQTJ JCMRW W <FW >WTM,,qal,impf,W B MCPVJ JLKW,,B MCPVJ,B MCPV/,in my judgments,0,prep,abs,inanim,det,subs,complex,fictive,trajectory,B,,,,,,,
283866,CWB[,MT,Ezekiel,38,4,CWBBTJK,W CWBBTJK W NTTJ XXJM B LXJJK W HWY>TJ >WTK W >T KL XJLK SWSJM W PRCJM LBCJ MKLWL KLM QHL RB YNH W MGN TPFJ XRBWT KLM,,piel,perf,W CWBBTJK,,no complement,no complement,,,,,,,,,,,,,,,,,,
283873,JY>[,MT,Ezekiel,38,4,HWY>TJ,W CWBBTJK W NTTJ XXJM B LXJJK W HWY>TJ >WTK W >T KL XJLK SWSJM W PRCJM LBCJ MKLWL KLM QHL RB YNH W MGN TPFJ XRBWT KLM,,hif,perf,W HWY>TJ >WTK W >T KL XJLK SWSJM W PRCJM QHL RB YNH W MGN,,no complement,no complement,,,,,,,,,,,,,,,,,,
2106529,CWB[,Mas1d,Ezekiel,38,4,CWBBTJK,W CWBBTJK W NTTJ XXJM B LXJJK W HWY>TJ >WTK W >T KL XJLK SWSJM W PRCJM LBCJ MKLWL KLM QHL RB YNH W MGN TPFJ XRBWT KLM,1 1111111 1 1111 1111 1 11111 0 011111 1111 1 11 11 1111 11111 1 11111 1100 00111 111 111 11 111 1 111 1111 11111 111,polel,perf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[W CWBBTJK W NTTJ XXJM B LXJJK] W H[WY>TJ >WTK W >T KL XJLK SWSJM W PRCJM LB]CJ MK[LWL KLM QHL RB YNH W MGN TPFJ XRBWT KLM]
